familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rhamnaceae,Frangula oreodendron,-83.78,9.7,17.333333651224773,259.3333333333333
Rhamnaceae,Frangula oreodendron,-83.525,10.45,25.600000222524006,300.25
Rhamnaceae,Frangula oreodendron,-82.85,9.09,11.066666603088379,269.4166666666667
Rhamnaceae,Frangula oreodendron,-82.81,9.02,9.766666650772095,206.33333333333334
Rhamnaceae,Frangula oreodendron,-82.5,8.75,19.416666666666668,254.08333333333334
Rhamnaceae,Frangula oreodendron,-83.88,9.65,14.116666634877523,183.08333333333334
Rhamnaceae,Frangula oreodendron,-83.866667,9.616667,10.183333396911621,174.58333333333334
Rhamnaceae,Frangula oreodendron,-83.9519,10.0114,17.35000006357829,334.6666666666667
Rhamnaceae,Frangula oreodendron,-82.525278,8.806944,9.30833331743876,174.58333333333334
Rhamnaceae,Frangula oreodendron,-79.9106,8.5714,27.283333778381348,160.33333333333334
Rhamnaceae,Frangula oreodendron,-83.75,9.57,8.358333309491476,196.91666666666666
Rhamnaceae,Frangula oreodendron,-83.85,9.65,10.891666571299234,181.33333333333334
Rhamnaceae,Frangula oreodendron,-83.9519,10.0114,17.35000006357829,334.6666666666667
Rhamnaceae,Frangula oreodendron,-83.864722,9.669167,11.866666555404663,175.16666666666666
Rhamnaceae,Frangula oreodendron,-83.85,9.66,11.541666746139526,189.16666666666666
Rhamnaceae,Frangula oreodendron,-83.9519,10.0114,17.35000006357829,334.6666666666667
Rhamnaceae,Frangula oreodendron,-83.95,9.73,14.108333428700766,215.41666666666666
Rhamnaceae,Frangula oreodendron,-83.9519,10.0114,17.35000006357829,334.6666666666667
Rhamnaceae,Frangula oreodendron,-83.95,9.7,13.600000143051147,178.25
Rhamnaceae,Frangula oreodendron,-83.816667,9.616667,10.099999984105429,218.83333333333334
Rhamnaceae,Frangula oreodendron,-83.749722,9.553889,8.650000095367432,181.33333333333334
Rhamnaceae,Frangula oreodendron,-83.72,9.55,9.383333285649618,192.33333333333334
Rhamnaceae,Frangula oreodendron,-83.9519,10.0114,17.35000006357829,334.6666666666667
Rhamnaceae,Frangula oreodendron,-83.733333,9.55,10.141666412353516,200.58333333333334
Rhamnaceae,Frangula oreodendron,-83.9519,10.0114,17.35000006357829,334.6666666666667
Rhamnaceae,Frangula oreodendron,-83.923333,9.6875,12.641666730244955,179.08333333333334
Rhamnaceae,Frangula oreodendron,-83.85,9.66,11.541666746139526,189.16666666666666
Rhamnaceae,Frangula oreodendron,-83.516389,9.448333,8.65833338101705,158.58333333333334
Rhamnaceae,Frangula oreodendron,-83.9519,10.0114,17.35000006357829,334.6666666666667
Rhamnaceae,Frangula oreodendron,-83.51,9.5,6.766666650772095,170.41666666666666
Rhamnaceae,Frangula oreodendron,-83.9519,10.0114,17.35000006357829,334.6666666666667
