familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Clusiaceae,Garcinia madruno,-66.6166667,-15.1666667,25.608333269755047,161.75
Clusiaceae,Garcinia madruno,-67.9869444,-14.3619444,24.12499984105428,154.16666666666666
Clusiaceae,Garcinia madruno,-77.6,-1.06666,23.958333174387615,355.3333333333333
Clusiaceae,Garcinia madruno,-61.1369444,-14.4258334,25.608333269755047,122.41666666666667
Clusiaceae,Garcinia madruno,-77.56,-0.83833,20.766666571299236,330.8333333333333
Clusiaceae,Garcinia madruno,-77.53833,-0.82833,19.399999777475994,308.75
Clusiaceae,Garcinia madruno,-77.56,-0.83833,20.766666571299236,330.8333333333333
Clusiaceae,Garcinia madruno,-77.53833,-0.82833,19.399999777475994,308.75
Clusiaceae,Garcinia madruno,-67.79277,-14.99,24.97500006357829,147.16666666666666
Clusiaceae,Garcinia madruno,-67.7927777,-14.99,24.97500006357829,147.16666666666666
Clusiaceae,Garcinia madruno,-77.845,-0.89666,21.208333174387615,318.8333333333333
Clusiaceae,Garcinia madruno,-77.51666,-1.06666,23.958333333333332,350.9166666666667
Clusiaceae,Garcinia madruno,-77.845,-0.89666,21.208333174387615,318.8333333333333
Clusiaceae,Garcinia madruno,-77.51666,-1.06666,23.958333333333332,350.9166666666667
Clusiaceae,Garcinia madruno,-72.404861,5.504389,22.69166660308838,227.33333333333334
Clusiaceae,Garcinia madruno,-63.66666,-17.45,24.174999713897705,127.33333333333333
Clusiaceae,Garcinia madruno,-72.48611,-12.42944,22.624999682108562,141.75
Clusiaceae,Garcinia madruno,-69.04944,-12.53666,25.43333339691162,170.83333333333334
Clusiaceae,Garcinia madruno,-75.4530556,-10.4375,17.18333339691162,79.16666666666667
Clusiaceae,Garcinia madruno,-74.0783334,-4.4563889,26.641666730244953,205
Clusiaceae,Garcinia madruno,-75.22888,-10.16972,25.39999993642171,190.83333333333334
Clusiaceae,Garcinia madruno,-75.2288889,-10.1697223,25.39999993642171,190.83333333333334
Clusiaceae,Garcinia madruno,-79.85346716,9.10538698,26.424999872843426,192.91666666666666
Clusiaceae,Garcinia madruno,-79.77443663,9.20040524,26.050000031789143,210.91666666666666
Clusiaceae,Garcinia madruno,-79.74066954,9.16886514,25.891666571299236,214.25
Clusiaceae,Garcinia madruno,-79.71263434,9.14681696,25.983333110809326,218.33333333333334
Clusiaceae,Garcinia madruno,-79.85346716,9.10538698,26.424999872843426,192.91666666666666
Clusiaceae,Garcinia madruno,-79.77443663,9.20040524,26.050000031789143,210.91666666666666
Clusiaceae,Garcinia madruno,-79.74066954,9.16886514,25.891666571299236,214.25
Clusiaceae,Garcinia madruno,-79.71263434,9.14681696,25.983333110809326,218.33333333333334
Clusiaceae,Garcinia madruno,-65.49861,-17.09416,23.458333492279053,272
Clusiaceae,Garcinia madruno,-65.7975,-16.65777,24.96666653951009,291.3333333333333
Clusiaceae,Garcinia madruno,-68.7347222,-14.6774445,20.37500015894572,118.91666666666667
Clusiaceae,Garcinia madruno,-68.7347222,-14.6774445,20.37500015894572,118.91666666666667
Clusiaceae,Garcinia madruno,-65.7975,-16.65777,24.96666653951009,291.3333333333333
Clusiaceae,Garcinia madruno,-78.1833,0.866667,17.649999777475994,105.25
Clusiaceae,Garcinia madruno,-52.6333333,5,25.59166653951009,246.58333333333334
Clusiaceae,Garcinia madruno,-73.08825,7.068625,22.883333206176758,131.41666666666666
Clusiaceae,Garcinia madruno,-73.088572,7.068072,22.883333206176758,131.41666666666666
Clusiaceae,Garcinia madruno,-74.6165,4.29682,26.90833346048991,171.25
Clusiaceae,Garcinia madruno,-75.5556,6.19495,19.391666730244953,198.83333333333334
Clusiaceae,Garcinia madruno,-75.7616,4.92624,21.8083332379659,165.08333333333334
Clusiaceae,Garcinia madruno,-74.8592,5.944,24.44166660308838,227.08333333333334
Clusiaceae,Garcinia madruno,-74.8493,5.93572,26.53333314259847,200
Clusiaceae,Garcinia madruno,-74.8493,5.93572,26.53333314259847,200
Clusiaceae,Garcinia madruno,-76.9448,7.65283,27.37499984105428,251.5
Clusiaceae,Garcinia madruno,-64.478,5.898,25.80833339691162,225.08333333333334
Clusiaceae,Garcinia madruno,-75.306694,3.35325,24.941666920979817,150.16666666666666
Clusiaceae,Garcinia madruno,-84.76,10.91,26.28333330154419,234.5
Clusiaceae,Garcinia madruno,-84.76,10.91,26.28333330154419,234.5
Clusiaceae,Garcinia madruno,-84.53,9.76,25.36666663487752,212.5
Clusiaceae,Garcinia madruno,-83.41,8.52,25.358333428700764,275
Clusiaceae,Garcinia madruno,-75.83333,4.88333,22.84999990463257,174.33333333333334
Clusiaceae,Garcinia madruno,-69.04944,-12.53666,25.43333339691162,170.83333333333334
Clusiaceae,Garcinia madruno,-69.6,-13.1333333,25.09999958674113,271.5
Clusiaceae,Garcinia madruno,-69.6,-13.13333,25.09999958674113,271.5
Clusiaceae,Garcinia madruno,-69.05,-12.53333,25.37500015894572,170.75
Clusiaceae,Garcinia madruno,-68.2,-13.6667,25.116666952768963,166.25
Clusiaceae,Garcinia madruno,-67.55,-14.3667,25.358333269755047,160.41666666666666
Clusiaceae,Garcinia madruno,-69.6,6.866667,27.25,168.75
Clusiaceae,Garcinia madruno,-76.6166667,-0.4166667,25.02500009536743,277.5833333333333
Clusiaceae,Garcinia madruno,-78.75,-0.8166667,9.258333285649618,77.66666666666667
Clusiaceae,Garcinia madruno,-76.1519444,-0.0977777,25.22500006357829,288.3333333333333
Clusiaceae,Garcinia madruno,-76.4666667,-0.2,25.041666825612385,286.25
Clusiaceae,Garcinia madruno,-76.5,3.75,19.62500015894572,133.41666666666666
Clusiaceae,Garcinia madruno,-64.5,9,26.14999993642171,85.91666666666667
Clusiaceae,Garcinia madruno,-84.8333,10,26.93333339691162,153
Clusiaceae,Garcinia madruno,-70.25,-12,24.558333079020183,225.75
Clusiaceae,Garcinia madruno,-65.5,-14,26.108333428700764,139.16666666666666
