familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Genipa americana,-92.608333,15.425,21.041666825612385,189.16666666666666
Rubiaceae,Genipa americana,-85.3,10.32,27.208333333333332,153.5
Rubiaceae,Genipa americana,-84.83,10.3,20.90833346048991,208.66666666666666
Rubiaceae,Genipa americana,-84.69,9.86,26.80833355585734,161
Rubiaceae,Genipa americana,-84.27,9.91,22,163.41666666666666
Rubiaceae,Genipa americana,-84.02,9.37,26.383333047231037,289.6666666666667
Rubiaceae,Genipa americana,-83.51,8.71,24.21666653951009,261.6666666666667
Rubiaceae,Genipa americana,-83.5,10.51,26.216667016347248,339.5
Rubiaceae,Genipa americana,-83.157694,8.962028,24.916666825612385,205.91666666666666
Rubiaceae,Genipa americana,-83.151556,8.963472,24.916666825612385,205.91666666666666
Rubiaceae,Genipa americana,-76.53308,3.39445,23.766666571299236,143.66666666666666
Rubiaceae,Genipa americana,-75.54679,5.055833,18.675000190734863,185.66666666666666
Rubiaceae,Genipa americana,-74.96528,-11.37417,9.691666603088379,92.91666666666667
Rubiaceae,Genipa americana,-74.33333,2.58333,25.391666730244953,178.75
Rubiaceae,Genipa americana,-74.16667,2.6667,25.516666412353516,190.66666666666666
Rubiaceae,Genipa americana,-73.76806,2.2544400000000002,26.19166644414266,202.91666666666666
Rubiaceae,Genipa americana,-73.4914,4.0821,25.60000006357829,282.9166666666667
Rubiaceae,Genipa americana,-73.426667,4.052222,25.741666475931805,264
Rubiaceae,Genipa americana,-72.642,5.002,26.34166669845581,237
Rubiaceae,Genipa americana,-72.62861,2.53639,27.958333333333332,235.33333333333334
Rubiaceae,Genipa americana,-72.625,2.33444,27.791666825612385,223
Rubiaceae,Genipa americana,-72.605,5.19,25.333333492279053,217.41666666666666
Rubiaceae,Genipa americana,-72.566667,4.3,26.75000015894572,230.58333333333334
Rubiaceae,Genipa americana,-72.45,5.41667,25.09999990463257,223.58333333333334
Rubiaceae,Genipa americana,-72.416778,5.33375,25.59999990463257,253.58333333333334
Rubiaceae,Genipa americana,-72.36667,5.53333,24.041666666666668,206.25
Rubiaceae,Genipa americana,-72.366667,5.533333,24.041666666666668,206.25
Rubiaceae,Genipa americana,-71.71625,6.46569,25.758333206176758,220.33333333333334
Rubiaceae,Genipa americana,-71.223333,4.844444,26.641666571299236,179.75
Rubiaceae,Genipa americana,-71.09486,5.71611,26.758333047231037,196.83333333333334
Rubiaceae,Genipa americana,-70.75776,7.0772,27.041666666666668,197.41666666666666
Rubiaceae,Genipa americana,-70.27275,4.83925,26.991666793823242,224.16666666666666
Rubiaceae,Genipa americana,-70.25,-3.783333,26.633333524068195,245.75
Rubiaceae,Genipa americana,-70.21514,5.60469,27.016666889190674,188.5
Rubiaceae,Genipa americana,-70.215,5.60472,27.016666889190674,188.5
Rubiaceae,Genipa americana,-70.2,-3.83333,26.608333587646484,245.75
Rubiaceae,Genipa americana,-70.070668,-12.573246,25.083332856496174,283.75
Rubiaceae,Genipa americana,-69.08047,6.20094,27.35000006357829,167.66666666666666
Rubiaceae,Genipa americana,-68.50592808,-10.65543132,25.47499990463257,149.08333333333334
Rubiaceae,Genipa americana,-67.583333,-14.466667,23.90000009536743,152.91666666666666
Rubiaceae,Genipa americana,-64.46666,-15.11666,25.891666571299236,162.25
Rubiaceae,Genipa americana,-63.5,9.03,26.99999984105428,87.16666666666667
Rubiaceae,Genipa americana,-63.33333,-17.66666,24.166666348775227,106.08333333333333
Rubiaceae,Genipa americana,-63.2,-17.74166,24.233333110809326,103.83333333333333
Rubiaceae,Genipa americana,-60.42017,3.12467,27.891666730244953,138.25
Rubiaceae,Genipa americana,-60.413604,3.120215,27.88333336512248,127.08333333333333
Rubiaceae,Genipa americana,-60.388812,3.156373,27.86666663487752,132.25
Rubiaceae,Genipa americana,-59.47,3.07,27.216666380564373,137.66666666666666
Rubiaceae,Genipa americana,-59.466667,3.066667,27.216666380564373,137.66666666666666
Rubiaceae,Genipa americana,-59.46666,3.06666,27.108333110809326,138
Rubiaceae,Genipa americana,-58.391024,-23.236211,23.916666507720947,91.25
Rubiaceae,Genipa americana,-58.22,-25.9,22.25000015894572,109.08333333333333
Rubiaceae,Genipa americana,-57.18333,-25.41666,21.925000190734863,123.58333333333333
Rubiaceae,Genipa americana,-57.18,-25.42,21.958333492279053,123.66666666666667
Rubiaceae,Genipa americana,-57,-25,23.174999872843426,122.5
Rubiaceae,Genipa americana,-54.700922,-2.450628,26.34166669845581,186.25
Rubiaceae,Genipa americana,-49.859597,-2.005058,26.299999872843426,207.91666666666666
Rubiaceae,Genipa americana,-49.380556,-20.81,23.0666667620341,108.58333333333333
Rubiaceae,Genipa americana,-49.354444,-20.776944,22.99166663487752,105.66666666666667
Rubiaceae,Genipa americana,-48.976167,-1.619222,26.47499990463257,217.66666666666666
Rubiaceae,Genipa americana,-48.507464,-0.667394,27.03333346048991,254.91666666666666
Rubiaceae,Genipa americana,-48.491667,-1.280278,26.61666663487752,225.66666666666666
Rubiaceae,Genipa americana,-48.490178,-1.455731,26.616666793823242,246.58333333333334
Rubiaceae,Genipa americana,-48.398819,-1.402528,26.55833355585734,229.91666666666666
Rubiaceae,Genipa americana,-48.263139,-1.355306,26.3166667620341,220.83333333333334
Rubiaceae,Genipa americana,-47.944594,-1.993058,26.175000031789143,192.66666666666666
Rubiaceae,Genipa americana,-47.766531,-1.665533,26.324999968210857,190.41666666666666
Rubiaceae,Genipa americana,-41.536761,-5.303772,25.97499990463257,86.66666666666667
Rubiaceae,Genipa americana,-37.68503,-9.66222,25.208333492279053,43.166666666666664
Rubiaceae,Genipa americana,-73.470951,3.622571,25.9416667620341,259.3333333333333
Rubiaceae,Genipa americana,-73.0243,3.55318,26.516666730244953,229.75
Rubiaceae,Genipa americana,-76,20.5,25.824999809265137,100.08333333333333
Rubiaceae,Genipa americana,-90.349444,14.456111,21.15833330154419,134.08333333333334
Rubiaceae,Genipa americana,-60.95,-16.366667,25.175000190734863,95.25
Rubiaceae,Genipa americana,-80.609308,22.274527,25.06666660308838,121
Rubiaceae,Genipa americana,-61.7075,15.98426,25.60000006357829,130
Rubiaceae,Genipa americana,-58.391024,-23.236211,23.916666507720947,91.25
Rubiaceae,Genipa americana,-65.793074,18.297894,20.68333339691162,168.5
Rubiaceae,Genipa americana,-77.661731,21.754936,25.733333110809326,108.16666666666667
Rubiaceae,Genipa americana,-82.124574,23.092556,24.94166660308838,114.08333333333333
Rubiaceae,Genipa americana,-58.391024,-23.236211,23.916666507720947,91.25
