familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Arecaceae,Geonoma interrupta,-90.916667,16.116667,25.90833330154419,250.16666666666666
Arecaceae,Geonoma interrupta,-78.12,-2.3,21.291666666666668,201.91666666666666
Arecaceae,Geonoma interrupta,-73.9,2.51667,25.21666653951009,198.5
Arecaceae,Geonoma interrupta,-73.18222,2.355,26.958333492279053,211.08333333333334
Arecaceae,Geonoma interrupta,-72.86722,2.46694,27.474999745686848,220
Arecaceae,Geonoma interrupta,-76.64528,1.07972,23.824999968210857,361.1666666666667
Arecaceae,Geonoma interrupta,-72.61603,5.1903,25.233333428700764,216.41666666666666
Arecaceae,Geonoma interrupta,-72.61603,5.19035,25.233333428700764,216.41666666666666
Arecaceae,Geonoma interrupta,-72.616,5.19022,25.233333428700764,216.41666666666666
Arecaceae,Geonoma interrupta,-72.616,5.19038,25.233333428700764,216.41666666666666
Arecaceae,Geonoma interrupta,-72.08114,-0.65238,26.09166669845581,229.41666666666666
Arecaceae,Geonoma interrupta,-75.61833,1.70472,24.766666571299236,238.5
Arecaceae,Geonoma interrupta,-75.61,1.65,25.3083332379659,259.75
Arecaceae,Geonoma interrupta,-75.61,1.7,24.46666653951009,229.83333333333334
Arecaceae,Geonoma interrupta,-74.33333,2.58333,25.391666730244953,178.75
Arecaceae,Geonoma interrupta,-74.14806,3.46889,20.99999984105428,200.08333333333334
Arecaceae,Geonoma interrupta,-74.14831,3.46903,20.99999984105428,200.08333333333334
Arecaceae,Geonoma interrupta,-76.831167,1.192194,14.87500007947286,188.41666666666666
Arecaceae,Geonoma interrupta,-74.179333,2.292083,25.59999958674113,191.33333333333334
Arecaceae,Geonoma interrupta,-75.881667,1.436667,24.799999872843426,285.4166666666667
Arecaceae,Geonoma interrupta,-75.88,1.45,24.1916667620341,268.4166666666667
Arecaceae,Geonoma interrupta,-75.867889,1.5825,24.266666730244953,236.08333333333334
Arecaceae,Geonoma interrupta,-75.894083,1.448472,23.958333333333332,261.0833333333333
Arecaceae,Geonoma interrupta,-75.89,1.44,24.391666412353516,272.5833333333333
Arecaceae,Geonoma interrupta,-77.063167000000007,0.693667,21.983333587646484,291.3333333333333
Arecaceae,Geonoma interrupta,-75.680806,1.734722,21.641666730244953,166.16666666666666
Arecaceae,Geonoma interrupta,-75.678236,1.739,21.641666730244953,166.16666666666666
Arecaceae,Geonoma interrupta,-74.903444,2.346111,24.1833332379659,155.75
Arecaceae,Geonoma interrupta,-75.905444,1.629472,22.791666507720947,208.5
Arecaceae,Geonoma interrupta,-75.903639,1.639722,22.68333339691162,205
Arecaceae,Geonoma interrupta,-75.9,1.62,22.516666571299236,201.66666666666666
Arecaceae,Geonoma interrupta,-75.9,1.63,22.608333428700764,200.83333333333334
Arecaceae,Geonoma interrupta,-75.898778,1.621583,22.516666571299236,201.66666666666666
Arecaceae,Geonoma interrupta,-75.583056,1.716944,22.924999872843426,192.25
Arecaceae,Geonoma interrupta,-75.909278,1.654806,19.583333651224773,178.66666666666666
Arecaceae,Geonoma interrupta,-75.908083,1.654861,20.216666380564373,181.91666666666666
Arecaceae,Geonoma interrupta,-75.903861,1.634361,22.68333339691162,205
Arecaceae,Geonoma interrupta,-75.902444,1.669167,20.9416667620341,184.5
Arecaceae,Geonoma interrupta,-75.90175,1.648028,21.491666793823242,191.08333333333334
Arecaceae,Geonoma interrupta,-75.9,1.62,22.516666571299236,201.66666666666666
Arecaceae,Geonoma interrupta,-75.9,1.63,22.608333428700764,200.83333333333334
Arecaceae,Geonoma interrupta,-75.9,1.65,22.60000006357829,206.91666666666666
Arecaceae,Geonoma interrupta,-75.898083,1.62125,22.516666571299236,201.66666666666666
Arecaceae,Geonoma interrupta,-75.89,1.62,23.25833336512248,216.16666666666666
Arecaceae,Geonoma interrupta,-75.594639,1.696167,24.416666666666668,228.75
Arecaceae,Geonoma interrupta,-74.903222,2.345833,24.1833332379659,155.75
Arecaceae,Geonoma interrupta,-69.700806,-2.525222,26.241666793823242,264.25
Arecaceae,Geonoma interrupta,-74.06236,11.29248,25.941666920979817,89.83333333333333
Arecaceae,Geonoma interrupta,-77.19078,7.82098,25.608333110809326,222.5
Arecaceae,Geonoma interrupta,-94.615,17.248889,25.300000031789143,306
Arecaceae,Geonoma interrupta,-91.133333,16.75,24.708333333333332,220.58333333333334
Arecaceae,Geonoma interrupta,-91.1,16.683333,25.041666348775227,230
Arecaceae,Geonoma interrupta,-92.931111,17.526667,25.641666730244953,319.5
Arecaceae,Geonoma interrupta,-91.116667,16.756111,24.8166667620341,228.33333333333334
Arecaceae,Geonoma interrupta,-94.315,17.206667,23.799999872843426,191
Arecaceae,Geonoma interrupta,-92.723889,15.870833,24.800000031789143,201.5
Arecaceae,Geonoma interrupta,-90.92315435,16.12735013,25.90833330154419,249.25
Arecaceae,Geonoma interrupta,-91.564444,16.918889,21.641666412353516,178.41666666666666
Arecaceae,Geonoma interrupta,-90.925,16.125,25.90833330154419,250.16666666666666
Arecaceae,Geonoma interrupta,-92.925,17.558333,26.108333428700764,286.4166666666667
Arecaceae,Geonoma interrupta,-90.973611,16.900833,25.675000031789143,245.41666666666666
Arecaceae,Geonoma interrupta,-93.213333,15.901667,23.183333079020183,142.75
Arecaceae,Geonoma interrupta,-90.969444,16.8825,25.38333336512248,249.83333333333334
Arecaceae,Geonoma interrupta,-92.73211479,15.64483715,20.391666730244953,187.66666666666666
Arecaceae,Geonoma interrupta,-94.028889,17.53,25.6916667620341,229.41666666666666
Arecaceae,Geonoma interrupta,-92.640278,15.433056,22.883333206176758,210
Arecaceae,Geonoma interrupta,-92.701944,15.353056,27.15000009536743,189.41666666666666
Arecaceae,Geonoma interrupta,-94.02889,17.53,25.6916667620341,229.41666666666666
Arecaceae,Geonoma interrupta,-73.035,7.14778,16.400000254313152,107.41666666666667
Arecaceae,Geonoma interrupta,-74.225694,6.120333,27.266666730244953,228.5
Arecaceae,Geonoma interrupta,-76.76447,5.35939,26.475000222524006,575.8333333333334
Arecaceae,Geonoma interrupta,-73.05345,7.138825,18.00000015894572,115.83333333333333
Arecaceae,Geonoma interrupta,-73.573314,6.594781,24.733333428700764,199.83333333333334
Arecaceae,Geonoma interrupta,-73.575409,6.585112,24.78333330154419,202.41666666666666
Arecaceae,Geonoma interrupta,-73.135361,4.917444,19.983333110809326,199.25
Arecaceae,Geonoma interrupta,-77.35405,8.40305,23.133333206176758,213.58333333333334
Arecaceae,Geonoma interrupta,-94.4725,17.148611,24.274999777475994,243.08333333333334
Arecaceae,Geonoma interrupta,-95.03312245,18.48854655,25.483333269755047,199.08333333333334
Arecaceae,Geonoma interrupta,-95.09694268,18.5753226,24.75000015894572,200.41666666666666
Arecaceae,Geonoma interrupta,-95.09602777,18.57718608,24.75000015894572,200.41666666666666
Arecaceae,Geonoma interrupta,-93.38819484,17.86064833,26.12500015894572,183.75
Arecaceae,Geonoma interrupta,-94.62995018,17.59868382,25.5583332379659,228.16666666666666
Arecaceae,Geonoma interrupta,-95.08065995,18.36177945,24.483333269755047,147.91666666666666
Arecaceae,Geonoma interrupta,-95.0948298,18.57637528,24.75000015894572,200.41666666666666
Arecaceae,Geonoma interrupta,-85.53,13.25,22.758333206176758,165.75
Arecaceae,Geonoma interrupta,-85.366667,13.25,23.891666412353516,169.66666666666666
Arecaceae,Geonoma interrupta,-85.166667,13.566667,24.50000015894572,178.91666666666666
Arecaceae,Geonoma interrupta,-84.003611,10.431389,26.008333206176758,307.9166666666667
Arecaceae,Geonoma interrupta,-84.00361,10.43138,26.008333206176758,307.9166666666667
Arecaceae,Geonoma interrupta,-80.102665,8.507188,26.266666730244953,185.25
Arecaceae,Geonoma interrupta,-79.766667,9.166667,26.225000222524006,199.33333333333334
Arecaceae,Geonoma interrupta,-78.583333,9,25.99166663487752,205.83333333333334
Arecaceae,Geonoma interrupta,-77.96666,7.29166,25.941666920979817,271
Arecaceae,Geonoma interrupta,-77.683333,7.75,24.050000031789143,203.41666666666666
Arecaceae,Geonoma interrupta,-76.9122,7.63333,27.416666507720947,253.08333333333334
Arecaceae,Geonoma interrupta,-76.5111,7.30889,27.491666793823242,282.75
Arecaceae,Geonoma interrupta,-76.3,6.75,18.791666348775227,203
Arecaceae,Geonoma interrupta,-75.03333,-8.75,26.774999777475994,228.33333333333334
Arecaceae,Geonoma interrupta,-84.00361,10.43138,26.008333206176758,307.9166666666667
Arecaceae,Geonoma interrupta,-78.45,-3.61666,21.40833330154419,140.5
Arecaceae,Geonoma interrupta,-78.05,-1.5,20.77499993642171,366.4166666666667
Arecaceae,Geonoma interrupta,-78.04450513,7.43641132,25.72499990463257,207.75
Arecaceae,Geonoma interrupta,-77.162778,7.852222,26.516666730244953,221
Arecaceae,Geonoma interrupta,-77.151389,7.967778,24.708333174387615,182.58333333333334
Arecaceae,Geonoma interrupta,-76.950363,7.610364,27.333333174387615,246.16666666666666
Arecaceae,Geonoma interrupta,-76.38333,-0.53333,24.891666571299236,277.75
Arecaceae,Geonoma interrupta,-76.17776,-0.01249,25.324999809265137,292.75
Arecaceae,Geonoma interrupta,-74.849444,5.935833,26.53333314259847,200
Arecaceae,Geonoma interrupta,-74.8494,5.93583,26.53333314259847,200
Arecaceae,Geonoma interrupta,-74.847222,5.945556,26.18333355585734,207.25
Arecaceae,Geonoma interrupta,-74.8472,5.94556,26.18333355585734,207.25
Arecaceae,Geonoma interrupta,-74.060278,11.292222,25.941666920979817,89.83333333333333
Arecaceae,Geonoma interrupta,-74.02,11.32,25.09166653951009,91.08333333333333
Arecaceae,Geonoma interrupta,-71.75,7.23,25.94166660308838,196.08333333333334
Arecaceae,Geonoma interrupta,-95.09797265,18.57660134,24.75000015894572,200.41666666666666
Arecaceae,Geonoma interrupta,-95.09695926,18.57617604,24.75000015894572,200.41666666666666
Arecaceae,Geonoma interrupta,-94.57691431,17.584141,25.641666571299236,236.08333333333334
Arecaceae,Geonoma interrupta,-91.11,16.7,24.925000190734863,225.08333333333334
Arecaceae,Geonoma interrupta,-84.916667,13.133333,25.18333355585734,182.08333333333334
Arecaceae,Geonoma interrupta,-82.1975,8.771945,20.241666793823242,287.3333333333333
Arecaceae,Geonoma interrupta,-78.917,9.317,24.72500006357829,219.83333333333334
Arecaceae,Geonoma interrupta,-69.266667,9.716667,25.21666653951009,102
Arecaceae,Geonoma interrupta,-94.7,17,24.62499984105428,210
Arecaceae,Geonoma interrupta,-94.583333,16.933333,24.699999809265137,193.75
Arecaceae,Geonoma interrupta,-84.075,10.666667,25.833333174387615,289.6666666666667
Arecaceae,Geonoma interrupta,-79,1.08333,25.78333346048991,197.33333333333334
Arecaceae,Geonoma interrupta,-78.2,-2.72,22.708333174387615,189.58333333333334
Arecaceae,Geonoma interrupta,-78.2,-2.71666,23.083333333333332,198.75
Arecaceae,Geonoma interrupta,-77,3.916667,26.27500009536743,462.1666666666667
Arecaceae,Geonoma interrupta,-76.38333,-0.53333,24.891666571299236,277.75
Arecaceae,Geonoma interrupta,-76.38,-0.53,24.891666571299236,277.75
Arecaceae,Geonoma interrupta,-76.25,4.033333,23.824999650319416,125.41666666666667
Arecaceae,Geonoma interrupta,-75.833333,-3.25,25.983333269755047,203.58333333333334
Arecaceae,Geonoma interrupta,-75.73765,4.42155,22.016666571299236,151.66666666666666
Arecaceae,Geonoma interrupta,-74.783333,6,26.458333174387615,213.5
Arecaceae,Geonoma interrupta,-73.888657,3.015795,24.416666666666668,240.66666666666666
Arecaceae,Geonoma interrupta,-61.18,10.44,25.675000190734863,187.83333333333334
Arecaceae,Geonoma interrupta,-94.766667,18.358333,24.600000222524006,166.16666666666666
Arecaceae,Geonoma interrupta,-93.62113478,18.00048132,26.200000286102295,177.75
Arecaceae,Geonoma interrupta,-84.53,10.06,23.041666507720947,196.58333333333334
Arecaceae,Geonoma interrupta,-84.00361,10.43138,26.008333206176758,307.9166666666667
Arecaceae,Geonoma interrupta,-83.46,8.97,26.083333492279053,279.6666666666667
Arecaceae,Geonoma interrupta,-82.38333,8.81666,14.249999841054281,259.0833333333333
Arecaceae,Geonoma interrupta,-80.933333,8.566667,21.899999777475994,263.5
Arecaceae,Geonoma interrupta,-77.133333,3.933333,26.049999713897705,543.0833333333334
Arecaceae,Geonoma interrupta,-77,3.916667,26.27500009536743,462.1666666666667
Arecaceae,Geonoma interrupta,-76.38333,-0.53333,24.891666571299236,277.75
Arecaceae,Geonoma interrupta,-76.1,8.1333,27.18333355585734,155.5
Arecaceae,Geonoma interrupta,-75.285278,6.979722,21.450000286102295,231
Arecaceae,Geonoma interrupta,-75.083333,6.25,19.866666475931805,269.1666666666667
Arecaceae,Geonoma interrupta,-74.7833,6,26.458333174387615,213.5
Arecaceae,Geonoma interrupta,-73.466667,11.083333,23.549999872843426,107.91666666666667
Arecaceae,Geonoma interrupta,-73.4,11.08333,22.90833330154419,103.58333333333333
Arecaceae,Geonoma interrupta,-95.09714723,18.57696339,24.75000015894572,200.41666666666666
Arecaceae,Geonoma interrupta,-88.766667,16.516667,23.991666793823242,186.5
Arecaceae,Geonoma interrupta,-88.75,16.533,24.200000127156574,187.16666666666666
Arecaceae,Geonoma interrupta,-88.75,16.533333,24.200000127156574,187.16666666666666
Arecaceae,Geonoma interrupta,-85.3117162,10.7942668,18.65833330154419,215.91666666666666
Arecaceae,Geonoma interrupta,-84.6,9.8,26.56666660308838,182.83333333333334
Arecaceae,Geonoma interrupta,-83.500001,10.516667,26.216667016347248,345.6666666666667
Arecaceae,Geonoma interrupta,-82.241667,8.733333,19.37499984105428,278.1666666666667
Arecaceae,Geonoma interrupta,-82.21757412,9.32962021,NA,NA
Arecaceae,Geonoma interrupta,-80.133333,8.616667,22.749999682108562,215.25
Arecaceae,Geonoma interrupta,-79.082222,9.301667,24.71666669845581,222.33333333333334
Arecaceae,Geonoma interrupta,-78.58333,-3.5,23.14999993642171,149.75
