familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Euphorbiaceae,Gitara nicaraguensis,-76.96666,-2.08333,24.94166644414266,291.9166666666667
Euphorbiaceae,Gitara nicaraguensis,-76.966,-2.083,24.94166644414266,291.9166666666667
Euphorbiaceae,Gitara nicaraguensis,-76.4,-0.66666,25.100000222524006,277.1666666666667
Euphorbiaceae,Gitara nicaraguensis,-76.4,-0.66666,25.100000222524006,277.1666666666667
Euphorbiaceae,Gitara nicaraguensis,-76.38333,-0.51666,25.175000190734863,274
Euphorbiaceae,Gitara nicaraguensis,-76.36666,-0.55,25.016666730244953,276.9166666666667
Euphorbiaceae,Gitara nicaraguensis,-84.58,10.3,23.366666793823242,294
Euphorbiaceae,Gitara nicaraguensis,-84.08333,12.31666,25.37500015894572,249.33333333333334
Euphorbiaceae,Gitara nicaraguensis,-85.31,10.93,24.50833336512248,248.41666666666666
Euphorbiaceae,Gitara nicaraguensis,-83.55,8.45,25.458333333333332,291.5833333333333
Euphorbiaceae,Gitara nicaraguensis,-85.4,11.03,24.61666663487752,230.91666666666666
Euphorbiaceae,Gitara nicaraguensis,-83.46,8.96,26.383333206176758,253.83333333333334
Euphorbiaceae,Gitara nicaraguensis,-83.53,8.69,25.208333174387615,244.75
Euphorbiaceae,Gitara nicaraguensis,-82.9,9.73,25.733333269755047,259.5833333333333
Euphorbiaceae,Gitara nicaraguensis,-83.2,8.68,25.616666952768963,252.41666666666666
Euphorbiaceae,Gitara nicaraguensis,-84.6,10.35,24.291666666666668,292.75
Euphorbiaceae,Gitara nicaraguensis,-84.58,10.3,23.366666793823242,294
Euphorbiaceae,Gitara nicaraguensis,-85.46,10.92,20.916666825612385,193.91666666666666
Euphorbiaceae,Gitara nicaraguensis,-76.6,-0.41666,25.125000317891438,274.0833333333333
Euphorbiaceae,Gitara nicaraguensis,-85.5,11.03,25.299999872843426,168.75
Euphorbiaceae,Gitara nicaraguensis,-85.47,10.97,20.233333269755047,213.41666666666666
Euphorbiaceae,Gitara nicaraguensis,-84.52,10.28,24.21666669845581,303.0833333333333
Euphorbiaceae,Gitara nicaraguensis,-78.1869,-1.4628,18.10000006357829,196.5
Euphorbiaceae,Gitara nicaraguensis,-74.14,-9.1839,26.22499990463257,146.33333333333334
Euphorbiaceae,Gitara nicaraguensis,-65.9119,7.0758,27.366666952768963,155.91666666666666
Euphorbiaceae,Gitara nicaraguensis,-75.8333,-9.5,19.383333524068195,68.58333333333333
Euphorbiaceae,Gitara nicaraguensis,-72.5,-12.5,17.56666660308838,119.41666666666667
Euphorbiaceae,Gitara nicaraguensis,-70.25,-12,24.558333079020183,225.75
Euphorbiaceae,Gitara nicaraguensis,-84.5,10.5,26.18333339691162,277.0833333333333
Euphorbiaceae,Gitara nicaraguensis,-75.5,7,16.18333339691162,220.91666666666666
Euphorbiaceae,Gitara nicaraguensis,-75,-4,26.225000222524006,209
Euphorbiaceae,Gitara nicaraguensis,-85.25,10.5,27.266666571299236,168.83333333333334
Euphorbiaceae,Gitara nicaraguensis,-70.25,-12,24.558333079020183,225.75
Euphorbiaceae,Gitara nicaraguensis,-80,9.1667,26.508333524068195,203.41666666666666
Euphorbiaceae,Gitara nicaraguensis,-75.149444,-2.136944,25.741666793823242,259.4166666666667
Euphorbiaceae,Gitara nicaraguensis,-74.15001,2.66667,25.508333206176758,187.58333333333334
Euphorbiaceae,Gitara nicaraguensis,-84.2,11.01666,24.583333492279053,286.9166666666667
Euphorbiaceae,Gitara nicaraguensis,-84.35111,11.12083,25.78333330154419,261
Euphorbiaceae,Gitara nicaraguensis,-85.185,14.40888,25.666666507720947,178.75
Euphorbiaceae,Gitara nicaraguensis,-85.18388,14.40416,25.583333333333332,178.5
Euphorbiaceae,Gitara nicaraguensis,-85.16666,14.25,25.49999984105428,178.66666666666666
Euphorbiaceae,Gitara nicaraguensis,-85.15055,14.41027,25.266666730244953,182.41666666666666
Euphorbiaceae,Gitara nicaraguensis,-85.15,14.38333,25.25,184.83333333333334
Euphorbiaceae,Gitara nicaraguensis,-85.14666,14.47083,25.199999968210857,182.75
Euphorbiaceae,Gitara nicaraguensis,-85.14583,14.41194,25.358333587646484,183.41666666666666
Euphorbiaceae,Gitara nicaraguensis,-85.11583,14.32694,25.291666666666668,183.91666666666666
Euphorbiaceae,Gitara nicaraguensis,-85.1,14.31666,25.258333206176758,184.5
Euphorbiaceae,Gitara nicaraguensis,-85.08333,14.48333,25.35000006357829,189.5
Euphorbiaceae,Gitara nicaraguensis,-85.06305,14.36444,24.71666653951009,186.91666666666666
Euphorbiaceae,Gitara nicaraguensis,-85.05222,14.38472,25.24166663487752,188.41666666666666
Euphorbiaceae,Gitara nicaraguensis,-85.05,14.46666,24.75833336512248,191.16666666666666
Euphorbiaceae,Gitara nicaraguensis,-84.47361,11.04166,25.983333269755047,259.1666666666667
Euphorbiaceae,Gitara nicaraguensis,-84.35111,11.12083,25.78333330154419,261
Euphorbiaceae,Gitara nicaraguensis,-84.28027,11.10083,24.641666730244953,275
Euphorbiaceae,Gitara nicaraguensis,-85.15,14.31666,25.141666571299236,182.83333333333334
Euphorbiaceae,Gitara nicaraguensis,-85.15,14.33333,25.11666663487752,182.5
Euphorbiaceae,Gitara nicaraguensis,-85.06972,14.5225,25.4333332379659,188.91666666666666
Euphorbiaceae,Gitara nicaraguensis,-85.3208334,14.2302778,24.97499990463257,168.25
Euphorbiaceae,Gitara nicaraguensis,-85.3208334,14.2302778,24.97499990463257,168.25
Euphorbiaceae,Gitara nicaraguensis,-84.3022222,11.1036111,25.383333206176758,262.3333333333333
Euphorbiaceae,Gitara nicaraguensis,-84.8786111,12.1505556,24.47499990463257,161.33333333333334
Euphorbiaceae,Gitara nicaraguensis,-85.0898333,12.2877777,23.72500006357829,163
Euphorbiaceae,Gitara nicaraguensis,-70.338611,-12.359583,24.850000381469727,278.9166666666667
Euphorbiaceae,Gitara nicaraguensis,-82.666667,9.566667,26.40000009536743,229.08333333333334
Euphorbiaceae,Gitara nicaraguensis,-85.316667,10.933333,24.541666825612385,251.91666666666666
Euphorbiaceae,Gitara nicaraguensis,-83.583338,8.466667,26.05833339691162,305.3333333333333
Euphorbiaceae,Gitara nicaraguensis,-85.408334,11.033333,24.641666571299236,230.25
Euphorbiaceae,Gitara nicaraguensis,-83.466667,8.966667,26.15833346048991,276
Euphorbiaceae,Gitara nicaraguensis,-85.427778,10.990556,22.574999968210857,249.33333333333334
Euphorbiaceae,Gitara nicaraguensis,-83.533333,8.694444,24.78333330154419,257.8333333333333
Euphorbiaceae,Gitara nicaraguensis,-84.883333,10.75,26.1916667620341,242.83333333333334
Euphorbiaceae,Gitara nicaraguensis,-82.9,9.733333,25.733333269755047,259.5833333333333
Euphorbiaceae,Gitara nicaraguensis,-83.208333,8.683333,25.37500015894572,259.5833333333333
Euphorbiaceae,Gitara nicaraguensis,-84.616667,10.283333,20.641666571299236,276.0833333333333
Euphorbiaceae,Gitara nicaraguensis,-84.583333,10.308333,23.699999968210857,293.5833333333333
Euphorbiaceae,Gitara nicaraguensis,-83.55,8.7,25.19166644414266,257.0833333333333
Euphorbiaceae,Gitara nicaraguensis,-85.469445,10.928611,20.908333619435627,180.91666666666666
Euphorbiaceae,Gitara nicaraguensis,-83.426667,8.534815,25.15833330154419,260.5833333333333
Euphorbiaceae,Gitara nicaraguensis,-85.476824,10.929156,21.75,181.41666666666666
Euphorbiaceae,Gitara nicaraguensis,-83.427778,8.525,24.97499990463257,289.1666666666667
Euphorbiaceae,Gitara nicaraguensis,-83.426667,8.534815,25.15833330154419,260.5833333333333
Euphorbiaceae,Gitara nicaraguensis,-85.426771,11.003468,23.616666793823242,239.91666666666666
Euphorbiaceae,Gitara nicaraguensis,-83.433609,8.531329,24.383333524068195,284.6666666666667
Euphorbiaceae,Gitara nicaraguensis,-82.638889,9.566667,26.25833288828532,233.25
Euphorbiaceae,Gitara nicaraguensis,-85.055,10.673611,22.633333206176758,228.08333333333334
Euphorbiaceae,Gitara nicaraguensis,-83.433333,8.533333,24.55833339691162,280.8333333333333
