familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Gliricidia sepium,-89.830833,18.611944,25.766666571299236,85.41666666666667
Fabaceae,Gliricidia sepium,-99.042267,18.52615,24.46666669845581,77.5
Fabaceae,Gliricidia sepium,-98.995878,18.410831,24.041666348775227,82.25
Fabaceae,Gliricidia sepium,-98.960467,18.448239,24.166666507720947,79.75
Fabaceae,Gliricidia sepium,-98.947139,18.582556,23.27500009536743,77.08333333333333
Fabaceae,Gliricidia sepium,-99.01425,18.424111,24.824999968210857,76
Fabaceae,Gliricidia sepium,-104.898,19.614,25.0583332379659,104
Fabaceae,Gliricidia sepium,-99.507,18.412,24.00833336512248,99.5
Fabaceae,Gliricidia sepium,-88.373056,16.720556,26.12499984105428,183
Fabaceae,Gliricidia sepium,-88.351944,16.879444,25.866666793823242,187
Fabaceae,Gliricidia sepium,-92.24083,14.545756,27.791666507720947,111.33333333333333
Fabaceae,Gliricidia sepium,-92.65,15.317,26.991666316986084,193.58333333333334
Fabaceae,Gliricidia sepium,-102.15,18.383,24.05833339691162,72.16666666666667
Fabaceae,Gliricidia sepium,-99.267,18.633,25.166666984558105,81.33333333333333
Fabaceae,Gliricidia sepium,-94.967,16.617,26.18333355585734,82.08333333333333
Fabaceae,Gliricidia sepium,-93.767,16.75,24.633333206176758,85.5
Fabaceae,Gliricidia sepium,-93.717,16.767,23.758333206176758,81.75
Fabaceae,Gliricidia sepium,-86,11.8333,23.866666952768963,133.25
Fabaceae,Gliricidia sepium,-99.024,18.46,24.25000015894572,79.66666666666667
Fabaceae,Gliricidia sepium,-99.018,18.425,24.616666952768963,78
Fabaceae,Gliricidia sepium,-99.004,18.435,24.725000222524006,76.33333333333333
Fabaceae,Gliricidia sepium,-98.958,18.436,24.166666507720947,80
Fabaceae,Gliricidia sepium,-98.941,18.454,23.90833346048991,80.83333333333333
Fabaceae,Gliricidia sepium,-99.03,18.474,24.049999872843426,80.66666666666667
Fabaceae,Gliricidia sepium,-99.025,18.437,24.741666952768963,76.66666666666667
Fabaceae,Gliricidia sepium,-99.025,18.44,24.741666952768963,76.66666666666667
Fabaceae,Gliricidia sepium,-99,18.472,24.258333524068195,78.83333333333333
Fabaceae,Gliricidia sepium,-98.99,18.443,24.458333174387615,77.75
Fabaceae,Gliricidia sepium,-98.984,18.444,24.458333174387615,77.75
Fabaceae,Gliricidia sepium,-98.983,18.41,24.166666666666668,81.25
Fabaceae,Gliricidia sepium,-98.981,18.444,24.333333333333332,78.58333333333333
Fabaceae,Gliricidia sepium,-98.964,18.444,24.166666507720947,79.75
Fabaceae,Gliricidia sepium,-99.074,18.42,24.575000127156574,80.33333333333333
