familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Bignoniaceae,Godmania aesculifolia,-92.760827,15.876661,24.574999968210857,191.41666666666666
Bignoniaceae,Godmania aesculifolia,-71.894917,6.360389,23.541666507720947,189.08333333333334
Bignoniaceae,Godmania aesculifolia,-98.252272,16.940441,24.608333269755047,112.08333333333333
Bignoniaceae,Godmania aesculifolia,-98.242088,16.791848,25.93333355585734,155.91666666666666
Bignoniaceae,Godmania aesculifolia,-60.42017,3.12467,27.891666730244953,138.25
Bignoniaceae,Godmania aesculifolia,-85.37,10.47,27.208333174387615,151.58333333333334
Bignoniaceae,Godmania aesculifolia,-79.64083,9.03361,26.483333269755047,196.5
Bignoniaceae,Godmania aesculifolia,-83.33,9.17,24.69166644414266,244.83333333333334
Bignoniaceae,Godmania aesculifolia,-91.23333,14.63333,18.041666825612385,191.91666666666666
Bignoniaceae,Godmania aesculifolia,-94.48,16.5,27.72499990463257,97.75
Bignoniaceae,Godmania aesculifolia,-101.41,17.71,26.4416667620341,92.08333333333333
Bignoniaceae,Godmania aesculifolia,-99.83,17.5,24.208333492279053,110.75
Bignoniaceae,Godmania aesculifolia,-85.45,10.14,26.59166669845581,183.33333333333334
Bignoniaceae,Godmania aesculifolia,-85.45,10.14,26.59166669845581,183.33333333333334
Bignoniaceae,Godmania aesculifolia,-93.01,16.7,25.56666660308838,100.75
Bignoniaceae,Godmania aesculifolia,-92.8,16.55,25.72499990463257,98.75
Bignoniaceae,Godmania aesculifolia,-90.39305,14.72138,21.616666475931805,118.5
Bignoniaceae,Godmania aesculifolia,-79.70055,9.11944,26.416666666666668,202.91666666666666
Bignoniaceae,Godmania aesculifolia,-79.45722,9.03805,27.141666412353516,186.08333333333334
Bignoniaceae,Godmania aesculifolia,-96.46,15.73,26.22500006357829,84.5
Bignoniaceae,Godmania aesculifolia,-89.20305,13.70861,23.37500015894572,152.58333333333334
Bignoniaceae,Godmania aesculifolia,-79.566667,8.95,NA,NA
Bignoniaceae,Godmania aesculifolia,-79.40472,9.04666,27.108332951863606,185
Bignoniaceae,Godmania aesculifolia,-79.50638,8.99,27.141666412353516,200.08333333333334
Bignoniaceae,Godmania aesculifolia,-79.45722,9.03805,27.141666412353516,186.08333333333334
Bignoniaceae,Godmania aesculifolia,-79.44444,9.04166,27.141666412353516,190.16666666666666
Bignoniaceae,Godmania aesculifolia,-64.435,-16.7261,25.208333333333332,250.41666666666666
Bignoniaceae,Godmania aesculifolia,-91.26833,14.41305,26.49166663487752,274.9166666666667
Bignoniaceae,Godmania aesculifolia,-84.51,10.03,21.59166653951009,213.91666666666666
Bignoniaceae,Godmania aesculifolia,-84.51,10.07,21.558333079020183,202.66666666666666
Bignoniaceae,Godmania aesculifolia,-65.9119,7.0758,27.366666952768963,155.91666666666666
Bignoniaceae,Godmania aesculifolia,-90.833333,19.666667,NA,NA
Bignoniaceae,Godmania aesculifolia,-99.67,18.84,18.649999618530273,83
Bignoniaceae,Godmania aesculifolia,-100.9,18.23,27.37500015894572,88.33333333333333
Bignoniaceae,Godmania aesculifolia,-100.17,18.92,20.366666793823242,96
Bignoniaceae,Godmania aesculifolia,-90.11472,16.78805,25.758333524068195,188
