familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Malvaceae,Goethalsia meiantha,-83.35,8.56,26.541666666666668,310.0833333333333
Malvaceae,Goethalsia meiantha,-84.8978,12.8614,24.808332920074463,191.83333333333334
Malvaceae,Goethalsia meiantha,-84.317222,12.164444,25.883333683013916,237.91666666666666
Malvaceae,Goethalsia meiantha,-84.31666,12.16666,25.875000317891438,238.58333333333334
Malvaceae,Goethalsia meiantha,-83.65333,9.37222,22.84166669845581,241.58333333333334
Malvaceae,Goethalsia meiantha,-81.83833,8.26666,26.375,245.66666666666666
Malvaceae,Goethalsia meiantha,-83.45,8.96,26.30833339691162,261.1666666666667
Malvaceae,Goethalsia meiantha,-84.01666,10.48333,26.03333330154419,313.3333333333333
Malvaceae,Goethalsia meiantha,-84.4,9.52,26.691666920979817,200.83333333333334
Malvaceae,Goethalsia meiantha,-84.01,10.37,25.38333288828532,323.4166666666667
Malvaceae,Goethalsia meiantha,-74.0667,8.25,23.59166653951009,220.16666666666666
Malvaceae,Goethalsia meiantha,-74.06666,8.25,23.774999777475994,210.83333333333334
Malvaceae,Goethalsia meiantha,-84.02,10.42,25.766666889190674,314.9166666666667
Malvaceae,Goethalsia meiantha,-84.1,10.39,25.291666825612385,304.25
Malvaceae,Goethalsia meiantha,-84.00361,10.43138,26.008333206176758,307.9166666666667
Malvaceae,Goethalsia meiantha,-84.028611,10.476111,26.03333330154419,293.5
Malvaceae,Goethalsia meiantha,-83.48,8.69,26.424999872843426,299.8333333333333
Malvaceae,Goethalsia meiantha,-75.2065,7.26941,23.583333492279053,298
Malvaceae,Goethalsia meiantha,-75.07777,7.30453,24.55833355585734,306.4166666666667
Malvaceae,Goethalsia meiantha,-75.07501,7.29864,24.19166660308838,324.1666666666667
Malvaceae,Goethalsia meiantha,-83.99,10.43,26.041666666666668,312.5
Malvaceae,Goethalsia meiantha,-83.53,8.7,24.78333330154419,257.8333333333333
Malvaceae,Goethalsia meiantha,-75.050556,7.216667,23.09166685740153,279.3333333333333
Malvaceae,Goethalsia meiantha,-84.06,9.46,25.883333047231037,246.08333333333334
Malvaceae,Goethalsia meiantha,-84.06,10.45,25.933333079020183,302.4166666666667
Malvaceae,Goethalsia meiantha,-84.05,9.46,25.449999809265137,269
Malvaceae,Goethalsia meiantha,-84,10.42,26.050000031789143,306
Malvaceae,Goethalsia meiantha,-83.9725,10.40527,26.0666667620341,306.1666666666667
Malvaceae,Goethalsia meiantha,-84.12,9.45,26.466666380564373,256.75
Malvaceae,Goethalsia meiantha,-83.7833,10.5,26.03333346048991,305.9166666666667
Malvaceae,Goethalsia meiantha,-83.78,10.5,26.03333346048991,305.9166666666667
Malvaceae,Goethalsia meiantha,-84.02,10.43,25.949999809265137,316.25
Malvaceae,Goethalsia meiantha,-84.00361,10.43138,26.008333206176758,307.9166666666667
Malvaceae,Goethalsia meiantha,-84,10.41,26.016666571299236,313.0833333333333
Malvaceae,Goethalsia meiantha,-74.817908,5.972871,26.474999745686848,202.16666666666666
Malvaceae,Goethalsia meiantha,-84.01,10.42,25.874999682108562,310.5
Malvaceae,Goethalsia meiantha,-84.00361,10.43138,26.008333206176758,307.9166666666667
Malvaceae,Goethalsia meiantha,-84,10.4,25.866666316986084,317.5833333333333
Malvaceae,Goethalsia meiantha,-84,10.40722,25.949999809265137,307.8333333333333
Malvaceae,Goethalsia meiantha,-84,10.5,26.02499993642171,310.25
Malvaceae,Goethalsia meiantha,-84.43333,11.63333,25.24999984105428,222.33333333333334
Malvaceae,Goethalsia meiantha,-84.38333,11.7,25.508333524068195,223.75
Malvaceae,Goethalsia meiantha,-84.25,11.78333,25.1833332379659,241.08333333333334
Malvaceae,Goethalsia meiantha,-84.00361,10.43138,26.008333206176758,307.9166666666667
Malvaceae,Goethalsia meiantha,-84.5,12.45,25.391666730244953,206.83333333333334
Malvaceae,Goethalsia meiantha,-84,10.5,26.02499993642171,310.25
Malvaceae,Goethalsia meiantha,-74.84975,5.949933,26.18333355585734,207.25
Malvaceae,Goethalsia meiantha,-84.5,12.45,25.391666730244953,206.83333333333334
Malvaceae,Goethalsia meiantha,-84.4,11.03333,25.891666253407795,260.8333333333333
Malvaceae,Goethalsia meiantha,-84.4,11.9,25.15833330154419,217.5
Malvaceae,Goethalsia meiantha,-84.00361,10.43138,26.008333206176758,307.9166666666667
