familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lecythidaceae,Grias cauliflora,-78.31646,18.293692,28.391666571299236,113.41666666666667
Lecythidaceae,Grias cauliflora,-80.1,9.15,26.416666666666668,213.33333333333334
Lecythidaceae,Grias cauliflora,-87.06481,15.6575,27.183333079020183,182.41666666666666
Lecythidaceae,Grias cauliflora,-79.684733,9.088314,26.474999745686848,204.91666666666666
Lecythidaceae,Grias cauliflora,-76.47,18.17,25.06666660308838,185.58333333333334
Lecythidaceae,Grias cauliflora,-88.2,15.6333,24.799999872843426,141.66666666666666
Lecythidaceae,Grias cauliflora,-87.45,15.78333,26.925000190734863,214.66666666666666
Lecythidaceae,Grias cauliflora,-84.8978,12.8614,24.808332920074463,191.83333333333334
Lecythidaceae,Grias cauliflora,-88.79389,16.163,25.34166653951009,288.6666666666667
Lecythidaceae,Grias cauliflora,-88.75472,16.14055,25.38333336512248,282.5833333333333
Lecythidaceae,Grias cauliflora,-87.5,15.72,26.450000286102295,199.16666666666666
Lecythidaceae,Grias cauliflora,-77.666667,8.1,26.683333079020183,169.16666666666666
Lecythidaceae,Grias cauliflora,-88.9875,15.66777,26.199999968210857,240.33333333333334
Lecythidaceae,Grias cauliflora,-88.9875,15.6678,26.199999968210857,240.33333333333334
Lecythidaceae,Grias cauliflora,-82.86666,8.28333,26.099999745686848,231.33333333333334
Lecythidaceae,Grias cauliflora,-82.233333,9,25.958333651224773,245.58333333333334
Lecythidaceae,Grias cauliflora,-77.329811,3.321331,26.40000009536743,486.3333333333333
Lecythidaceae,Grias cauliflora,-89.0333,16.25,24.90833314259847,277.75
Lecythidaceae,Grias cauliflora,-89.01666,16.25,25.025000254313152,277.8333333333333
Lecythidaceae,Grias cauliflora,-88.525,17.215,25.416666666666668,169.16666666666666
Lecythidaceae,Grias cauliflora,-84.5,13,25.05833355585734,209
Lecythidaceae,Grias cauliflora,-84.31666,12.16666,25.875000317891438,238.58333333333334
Lecythidaceae,Grias cauliflora,-83.36,9.86,21.71666653951009,270.1666666666667
Lecythidaceae,Grias cauliflora,-82.87,8.28,25.958333174387615,229
Lecythidaceae,Grias cauliflora,-82.683333,8.116667,NA,NA
Lecythidaceae,Grias cauliflora,-77.71666,8.13333,26.924999872843426,168.66666666666666
Lecythidaceae,Grias cauliflora,-77.73333,8.06666,26.758333206176758,189.25
Lecythidaceae,Grias cauliflora,-89.35,15.37,27.15000009536743,192.83333333333334
Lecythidaceae,Grias cauliflora,-77.640453,6.990089,26.37500015894572,290.9166666666667
Lecythidaceae,Grias cauliflora,-77.63,7,26.666666348775227,300.75
Lecythidaceae,Grias cauliflora,-77.12,7.45,27.391666571299236,257.3333333333333
Lecythidaceae,Grias cauliflora,-84.36666,13.6,25.75833336512248,211.83333333333334
Lecythidaceae,Grias cauliflora,-83.933333,14.316667,24.708333492279053,226.91666666666666
Lecythidaceae,Grias cauliflora,-83.51833,8.70111,25.78333330154419,265.5
Lecythidaceae,Grias cauliflora,-83.48,8.7,NA,NA
Lecythidaceae,Grias cauliflora,-80.125,9.20833,26.55833339691162,232.33333333333334
Lecythidaceae,Grias cauliflora,-80.125,9.208333,26.55833339691162,232.33333333333334
Lecythidaceae,Grias cauliflora,-79.84305,9.14138,26.524999777475994,196
Lecythidaceae,Grias cauliflora,-79.723047,9.470533,26.4333332379659,203.91666666666666
Lecythidaceae,Grias cauliflora,-79.65,9.43333,23.75000015894572,232.91666666666666
Lecythidaceae,Grias cauliflora,-77.78,18.07,26.87499984105428,129.5
Lecythidaceae,Grias cauliflora,-84.666667,15.5,26.30833355585734,244.58333333333334
Lecythidaceae,Grias cauliflora,-83.51,8.7,26.125000317891438,247.33333333333334
Lecythidaceae,Grias cauliflora,-77.768119,18.1501,24.62500015894572,181.5
Lecythidaceae,Grias cauliflora,-76.63224,5.668,26.916666825612385,575.75
Lecythidaceae,Grias cauliflora,-83.53777,8.70666,24.358333428700764,276.6666666666667
Lecythidaceae,Grias cauliflora,-83.525,8.705,25.78333330154419,265.5
Lecythidaceae,Grias cauliflora,-79.955,9.31833,26.641666571299236,194.5
Lecythidaceae,Grias cauliflora,-79.95,9.32,NA,NA
Lecythidaceae,Grias cauliflora,-77.45,7.07,26.633333524068195,301.75
Lecythidaceae,Grias cauliflora,-79.955,9.3183,26.641666571299236,194.5
Lecythidaceae,Grias cauliflora,-79.955,9.31833,26.641666571299236,194.5
Lecythidaceae,Grias cauliflora,-79.95,9.32,NA,NA
Lecythidaceae,Grias cauliflora,-77.72,7.82,19.86666663487752,193.33333333333334
Lecythidaceae,Grias cauliflora,-77.716667,8.066667,26.791666666666668,184.75
Lecythidaceae,Grias cauliflora,-88.8,16.1,NA,NA
Lecythidaceae,Grias cauliflora,-77.77,18.15,24.4416667620341,181.91666666666666
Lecythidaceae,Grias cauliflora,-77.76,18.15,24.975000222524006,178.41666666666666
Lecythidaceae,Grias cauliflora,-84.06666,13.48333,25.77500009536743,212.08333333333334
Lecythidaceae,Grias cauliflora,-84.13333,13.16666,25.358333428700764,212.08333333333334
Lecythidaceae,Grias cauliflora,-81.55,8.81666,26.208333174387615,255.41666666666666
Lecythidaceae,Grias cauliflora,-82.809167,9.7,26.425000190734863,259.0833333333333
Lecythidaceae,Grias cauliflora,-77.675,8.808333,25.8083332379659,223.33333333333334
Lecythidaceae,Grias cauliflora,-77.0572,5.2987,25.949999968210857,552.5
Lecythidaceae,Grias cauliflora,-76.664878,5.593692,26.90833346048991,585.5
Lecythidaceae,Grias cauliflora,-77.8,18.07,26.94166660308838,129.58333333333334
Lecythidaceae,Grias cauliflora,-84.00361,10.43138,26.008333206176758,307.9166666666667
