familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Nyctaginaceae,Guapira costaricana,-75.726067,4.64295,20.016666571299236,169.33333333333334
Nyctaginaceae,Guapira costaricana,-75.725817,4.6429,20.016666571299236,169.33333333333334
Nyctaginaceae,Guapira costaricana,-75.725217,4.642367,20.016666571299236,169.33333333333334
Nyctaginaceae,Guapira costaricana,-75.713,4.598,20.383333206176758,167.41666666666666
Nyctaginaceae,Guapira costaricana,-75.706167,4.598367,19.974999745686848,169.25
Nyctaginaceae,Guapira costaricana,-76.159167,4.028611,22.19166660308838,127.75
Nyctaginaceae,Guapira costaricana,-76.861694,5.108222,26.391666730244953,614.1666666666666
Nyctaginaceae,Guapira costaricana,-75.6652,5.7852,25.100000222524006,177.5
Nyctaginaceae,Guapira costaricana,-75.883914,4.855008,23.25000015894572,182.75
Nyctaginaceae,Guapira costaricana,-83.9519,10.0114,17.35000006357829,334.6666666666667
Nyctaginaceae,Guapira costaricana,-84.700556,9.858611,NA,NA
Nyctaginaceae,Guapira costaricana,-84.7,9.85,NA,NA
Nyctaginaceae,Guapira costaricana,-88.57,20.66,25.808332920074463,101.33333333333333
Nyctaginaceae,Guapira costaricana,-82.43333,8.78333,20.375,218
Nyctaginaceae,Guapira costaricana,-90.28944,16.94306,26.200000127156574,181.66666666666666
Nyctaginaceae,Guapira costaricana,-90.1792,15.7422,23.483333428700764,387.5
Nyctaginaceae,Guapira costaricana,-89.805,17.011667,25.583333492279053,140.33333333333334
Nyctaginaceae,Guapira costaricana,-89.35083,16.08111,24.583333492279053,289.4166666666667
Nyctaginaceae,Guapira costaricana,-89.35083,16.08111,24.583333492279053,289.4166666666667
Nyctaginaceae,Guapira costaricana,-79.85611,9.17166,26.450000127156574,187.08333333333334
Nyctaginaceae,Guapira costaricana,-79.753056,9.168333,26.05833339691162,214.75
Nyctaginaceae,Guapira costaricana,-82.916667,8.75,20.708333333333332,232.66666666666666
Nyctaginaceae,Guapira costaricana,-84.27,9.91,22,163.41666666666666
Nyctaginaceae,Guapira costaricana,-77.31666,8.15,18.641666412353516,189.83333333333334
Nyctaginaceae,Guapira costaricana,-76.610792,5.726678,26.800000031789143,584.4166666666666
Nyctaginaceae,Guapira costaricana,-85.56666,10,25.59166685740153,166.33333333333334
Nyctaginaceae,Guapira costaricana,-76.686438,5.30127,26.541666666666668,612.4166666666666
Nyctaginaceae,Guapira costaricana,-76.616667,5.283333,26.43333339691162,623
Nyctaginaceae,Guapira costaricana,-76.5462,5.7484,26.949999968210857,580
Nyctaginaceae,Guapira costaricana,-89.648611,20.248611,25.416666507720947,90.33333333333333
Nyctaginaceae,Guapira costaricana,-88.752778,19.793056,25.9416667620341,105.58333333333333
Nyctaginaceae,Guapira costaricana,-88.741667,19.805556,25.9416667620341,105.5
Nyctaginaceae,Guapira costaricana,-87.365278,20.318056,25.916666825612385,101.83333333333333
Nyctaginaceae,Guapira costaricana,-86.751667,21.258056,NA,NA
Nyctaginaceae,Guapira costaricana,-76.71666,7.61666,27.458333333333332,241
Nyctaginaceae,Guapira costaricana,-76.58333,5.76666,26.90000009536743,584.5833333333334
Nyctaginaceae,Guapira costaricana,-88.663333,20.547222,25.833333174387615,99.08333333333333
Nyctaginaceae,Guapira costaricana,-87.355833,20.338056,25.916666825612385,102.08333333333333
Nyctaginaceae,Guapira costaricana,-79.666667,9.5,26.049999872843426,232
Nyctaginaceae,Guapira costaricana,-77.4,8.641667,24.516666571299236,189.66666666666666
