familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Meliaceae,Guarea gentryi,-84.05833,10.405,25.59166685740153,309.5833333333333
Meliaceae,Guarea gentryi,-84.00361,10.43138,26.008333206176758,307.9166666666667
Meliaceae,Guarea gentryi,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Meliaceae,Guarea gentryi,-76.94333,5.38028,26.366666793823242,556.75
Meliaceae,Guarea gentryi,-84.058333,10.405,25.59166685740153,309.5833333333333
Meliaceae,Guarea gentryi,-84.050833,10.401111,25.59166685740153,309.5833333333333
Meliaceae,Guarea gentryi,-84.01667,10.433333,25.949999809265137,316.25
Meliaceae,Guarea gentryi,-83.385694,9.995807,24.14999993642171,279.5
Meliaceae,Guarea gentryi,-84.008333,10.433333,26.008333206176758,307.9166666666667
Meliaceae,Guarea gentryi,-84.197222,10.686111,25.94166660308838,288.1666666666667
Meliaceae,Guarea gentryi,-84.192181,10.70445,25.93333339691162,286.25
Meliaceae,Guarea gentryi,-84.078332,10.327499,23.71666669845581,291
Meliaceae,Guarea gentryi,-83.38555,9.99583,24.14999993642171,279.5
Meliaceae,Guarea gentryi,-79.65,9.31666,26.416666348775227,209.58333333333334
Meliaceae,Guarea gentryi,-83.93333,14.31666,24.6916667620341,226.5
Meliaceae,Guarea gentryi,-84.0166667,10.4333333,25.949999809265137,316.25
Meliaceae,Guarea gentryi,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Meliaceae,Guarea gentryi,-84.91666,13.13333,25.266666412353516,184.66666666666666
Meliaceae,Guarea gentryi,-84.46666,11.04166,25.933333079020183,242.66666666666666
Meliaceae,Guarea gentryi,-84.0361111,10.3747223,25.09166685740153,307.5833333333333
Meliaceae,Guarea gentryi,-84.83333,15.05,25.96666669845581,218.16666666666666
Meliaceae,Guarea gentryi,-83.81,10.19,24.55833339691162,323.25
Meliaceae,Guarea gentryi,-84.07,10.33,23.75,293.6666666666667
Meliaceae,Guarea gentryi,-84.01,10.43,25.949999809265137,317.4166666666667
Meliaceae,Guarea gentryi,-83.81,10.18,24.391666253407795,316.5833333333333
Meliaceae,Guarea gentryi,-84.03,10.37,25.266666889190674,318.1666666666667
Meliaceae,Guarea gentryi,-84.05,10.4,25.34166653951009,309.8333333333333
Meliaceae,Guarea gentryi,-84.07,10.29,21.866666952768963,289.5
Meliaceae,Guarea gentryi,-84.06,10.29,21.958333333333332,290.1666666666667
Meliaceae,Guarea gentryi,-83.68,10.63,26.074999968210857,297.5833333333333
Meliaceae,Guarea gentryi,-83.38,9.99,24.28333330154419,286.1666666666667
Meliaceae,Guarea gentryi,-85,12.5,23.55833355585734,166.66666666666666
Meliaceae,Guarea gentryi,-84.012200000000007,10.4233,25.874999682108562,310.5
Meliaceae,Guarea gentryi,-83.5653,10.4158,25.858332951863606,304.6666666666667
Meliaceae,Guarea gentryi,-82.6708,9.6156,25.958333651224773,243.5
Meliaceae,Guarea gentryi,-82.6461,9.3797,25.583333492279053,244.91666666666666
Meliaceae,Guarea gentryi,-82.27,9.3919,25.87500015894572,242.91666666666666
Meliaceae,Guarea gentryi,-80.5428,9.0497,26.291666666666668,220.91666666666666
Meliaceae,Guarea gentryi,-84.0469544,10.31622799,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.04694375,10.31608976,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.04672931,10.3161309,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.0469544,10.31622799,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.04694375,10.31608976,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.04672931,10.3161309,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.0469544,10.31622799,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.04694375,10.31608976,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.04672931,10.3161309,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.0469544,10.31622799,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.04694375,10.31608976,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.04672931,10.3161309,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.0469544,10.31622799,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.04694375,10.31608976,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.04672931,10.3161309,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.0469544,10.31622799,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.04694375,10.31608976,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.04672931,10.3161309,23.24166663487752,296.8333333333333
Meliaceae,Guarea gentryi,-84.00833,10.433333,26.008333206176758,307.9166666666667
Meliaceae,Guarea gentryi,-84.00361,10.43138,26.008333206176758,307.9166666666667
Meliaceae,Guarea gentryi,-84.19722,10.686111,25.94166660308838,288.1666666666667
