familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Meliaceae,Guarea hoffmanniana,-83.73,10.64,26.06666660308838,304.9166666666667
Meliaceae,Guarea hoffmanniana,-84.06,10.36,24.666666666666668,313.9166666666667
Meliaceae,Guarea hoffmanniana,-84.00361,10.43138,26.008333206176758,307.9166666666667
Meliaceae,Guarea hoffmanniana,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Meliaceae,Guarea hoffmanniana,-84.00361,10.43138,26.008333206176758,307.9166666666667
Meliaceae,Guarea hoffmanniana,-84,10.42,26.050000031789143,306
Meliaceae,Guarea hoffmanniana,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Meliaceae,Guarea hoffmanniana,-84.00361,10.43138,26.008333206176758,307.9166666666667
Meliaceae,Guarea hoffmanniana,-83.9519,10.0114,17.35000006357829,334.6666666666667
Meliaceae,Guarea hoffmanniana,-84,10.5,26.02499993642171,310.25
Meliaceae,Guarea hoffmanniana,-84,10.5,26.02499993642171,310.25
Meliaceae,Guarea hoffmanniana,-84.13611,10.39722,25.391666253407795,298
Meliaceae,Guarea hoffmanniana,-84.066667,10.366667,24.86666663487752,310.0833333333333
Meliaceae,Guarea hoffmanniana,-82.994445,9.494444,25.141666571299236,287.75
Meliaceae,Guarea hoffmanniana,-84.01667,10.433333,25.949999809265137,316.25
Meliaceae,Guarea hoffmanniana,-83.736111,10.643889,26.074999968210857,304.5833333333333
Meliaceae,Guarea hoffmanniana,-83.9,10.409722,26.041666666666668,295.9166666666667
Meliaceae,Guarea hoffmanniana,-83.468759,9.974348,22.508333524068195,268
Meliaceae,Guarea hoffmanniana,-83.863889,10.2,24.74166711171468,312.4166666666667
Meliaceae,Guarea hoffmanniana,-83.862028,10.188889,24.583333492279053,313.4166666666667
Meliaceae,Guarea hoffmanniana,-82.6733334,9.375,24.949999968210857,245.58333333333334
Meliaceae,Guarea hoffmanniana,-79.65,9.31666,26.416666348775227,209.58333333333334
Meliaceae,Guarea hoffmanniana,-77.7333333,7.7333333,21.299999872843426,230.16666666666666
Meliaceae,Guarea hoffmanniana,-79.32833,9.23861,24.25000015894572,217.75
Meliaceae,Guarea hoffmanniana,-84.02,10.42,25.766666889190674,314.9166666666667
Meliaceae,Guarea hoffmanniana,-77.71666,7.81666,20.55833339691162,201.33333333333334
Meliaceae,Guarea hoffmanniana,-81.14944,8.53,22.00833336512248,290.0833333333333
Meliaceae,Guarea hoffmanniana,-78.93416,9.29722,24.575000127156574,193.75
Meliaceae,Guarea hoffmanniana,-78.93083,9.25888,25.59166685740153,187.58333333333334
Meliaceae,Guarea hoffmanniana,-78.9375,9.2958333,24.575000127156574,193.75
Meliaceae,Guarea hoffmanniana,-78.92722,9.27,24.991666793823242,189.08333333333334
Meliaceae,Guarea hoffmanniana,-84.08333,11.53333,25.833333492279053,277.0833333333333
Meliaceae,Guarea hoffmanniana,-84.00361,10.43138,26.008333206176758,307.9166666666667
Meliaceae,Guarea hoffmanniana,-84.25,11.86666,25.400000254313152,250.41666666666666
Meliaceae,Guarea hoffmanniana,-80.6208334,8.7119444,25.21666669845581,257.4166666666667
Meliaceae,Guarea hoffmanniana,-78.96666,9.33333,24.858333269755047,237.91666666666666
Meliaceae,Guarea hoffmanniana,-84.03,10.3,23.52500009536743,302.3333333333333
Meliaceae,Guarea hoffmanniana,-83.66,10.66,26.175000190734863,306.4166666666667
Meliaceae,Guarea hoffmanniana,-83.6333333,10.6833333,26.299999872843426,305.3333333333333
Meliaceae,Guarea hoffmanniana,-83.63,10.68,26.299999872843426,305.3333333333333
Meliaceae,Guarea hoffmanniana,-77,3.66666,26.025000254313152,350.3333333333333
Meliaceae,Guarea hoffmanniana,-76.97444,3.99638,26.34166669845581,544.9166666666666
Meliaceae,Guarea hoffmanniana,-83.49,9.49,6.350000063578288,179.91666666666666
Meliaceae,Guarea hoffmanniana,-84.01666,10.43333,25.949999809265137,317.4166666666667
Meliaceae,Guarea hoffmanniana,-84.16666,11.51666,25.541666666666668,264.75
Meliaceae,Guarea hoffmanniana,-84.2,11.11666,24.97500006357829,273.6666666666667
Meliaceae,Guarea hoffmanniana,-84.3333333,10.9666667,25.774999777475994,274.25
Meliaceae,Guarea hoffmanniana,-80.67,8.82472,25.5,258.8333333333333
Meliaceae,Guarea hoffmanniana,-80.6811111,8.82,25.74166663487752,254.66666666666666
Meliaceae,Guarea hoffmanniana,-80.68,8.9286111,26.31666660308838,255.16666666666666
Meliaceae,Guarea hoffmanniana,-80.6463889,8.8872222,26.208333174387615,260.5
Meliaceae,Guarea hoffmanniana,-84.06,10.36,24.666666666666668,313.9166666666667
Meliaceae,Guarea hoffmanniana,-83.66,10.66,26.175000190734863,306.4166666666667
Meliaceae,Guarea hoffmanniana,-83.8,10.21,25.09166685740153,329.5
Meliaceae,Guarea hoffmanniana,-82.89,9.65,24.90833346048991,256.3333333333333
