familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Meliaceae,Guarea tonduzii,-103.323056,18.945278,24.90833330154419,75.66666666666667
Meliaceae,Guarea tonduzii,-79.780833,9.3125,26.375,227.41666666666666
Meliaceae,Guarea tonduzii,-83.9519,10.0114,17.35000006357829,334.6666666666667
Meliaceae,Guarea tonduzii,-95.096,18.598,24.949999968210857,202.58333333333334
Meliaceae,Guarea tonduzii,-84.516667,10.033333,21.71666685740153,205.16666666666666
Meliaceae,Guarea tonduzii,-83.433609,8.531329,24.383333524068195,284.6666666666667
Meliaceae,Guarea tonduzii,-83.425512,8.536614,25.15833330154419,260.5833333333333
Meliaceae,Guarea tonduzii,-83.65,10.047222,21.47500006357829,293.25
Meliaceae,Guarea tonduzii,-84.149167,10.110556,16.074999968210857,242.41666666666666
Meliaceae,Guarea tonduzii,-83.968611,9.646944,18.074999968210857,189.16666666666666
Meliaceae,Guarea tonduzii,-94.435278,18.137778,26.133333047231037,234.58333333333334
Meliaceae,Guarea tonduzii,-94.093611,17.925278,26.016666412353516,200.58333333333334
Meliaceae,Guarea tonduzii,-94.435278,18.137778,26.133333047231037,234.58333333333334
Meliaceae,Guarea tonduzii,-103.14361,18.88056,21.791666666666668,94.08333333333333
Meliaceae,Guarea tonduzii,-94.508333,17.291667,25.199999968210857,306.4166666666667
Meliaceae,Guarea tonduzii,-94.591667,17.225,25.300000031789143,301.25
Meliaceae,Guarea tonduzii,-95.0725,18.619444,25.633333206176758,206.08333333333334
Meliaceae,Guarea tonduzii,-94.758333,16.841667,24.958333174387615,171.5
Meliaceae,Guarea tonduzii,-94.683333,16.908333,24.84999990463257,187.83333333333334
Meliaceae,Guarea tonduzii,-94.028889,17.53,25.6916667620341,229.41666666666666
Meliaceae,Guarea tonduzii,-93.958333,17.825,26.225000222524006,195.58333333333334
Meliaceae,Guarea tonduzii,-93.558333,17.591667,26.016666571299236,232
Meliaceae,Guarea tonduzii,-93.091667,17.558333,25.96666653951009,289.1666666666667
Meliaceae,Guarea tonduzii,-96.508333,15.758333,26.18333355585734,80.91666666666667
Meliaceae,Guarea tonduzii,-84.8,10.3,18.574999968210857,210.08333333333334
Meliaceae,Guarea tonduzii,-84.43,10.32861,23.324999968210857,339.8333333333333
Meliaceae,Guarea tonduzii,-84.5,10.19,20.683332920074463,287.6666666666667
Meliaceae,Guarea tonduzii,-82.2666667,8.7333333,21.49166663487752,247.25
Meliaceae,Guarea tonduzii,-95.06,18.58,25.633333206176758,205.5
Meliaceae,Guarea tonduzii,-94.68333,16.94166,25.066667079925537,202.08333333333334
Meliaceae,Guarea tonduzii,-82.25,8.75,20.491666793823242,244.83333333333334
Meliaceae,Guarea tonduzii,-94.75,16.83333,24.550000031789143,168.91666666666666
Meliaceae,Guarea tonduzii,-86.85,15.7,25.408333619435627,129.83333333333334
Meliaceae,Guarea tonduzii,-82.73222,9.06611,17.725000381469727,244.41666666666666
Meliaceae,Guarea tonduzii,-95.096,18.598,24.949999968210857,202.58333333333334
Meliaceae,Guarea tonduzii,-84.51667,10.033333,21.71666685740153,205.16666666666666
Meliaceae,Guarea tonduzii,-83.43361,8.5313294,24.383333524068195,284.6666666666667
Meliaceae,Guarea tonduzii,-83.65,10.047222,21.47500006357829,293.25
Meliaceae,Guarea tonduzii,-83.96861,9.6469444,18.074999968210857,189.16666666666666
