familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Annonaceae,Guatteria aeruginosa,-82.326054,9.411239,25.96666669845581,236.5
Annonaceae,Guatteria aeruginosa,-82.383333,9.245,25.324999968210857,239.41666666666666
Annonaceae,Guatteria aeruginosa,-82.283333,9.4,25.87500015894572,238.16666666666666
Annonaceae,Guatteria aeruginosa,-82.283333,9.4,25.87500015894572,238.16666666666666
Annonaceae,Guatteria aeruginosa,-84.003611,10.431389,26.008333206176758,307.9166666666667
Annonaceae,Guatteria aeruginosa,-84.016667,10.433333,25.949999809265137,316.25
Annonaceae,Guatteria aeruginosa,-84.008188,10.430716,26.008333206176758,307.9166666666667
Annonaceae,Guatteria aeruginosa,-84.003885,10.432668,26.008333206176758,307.9166666666667
Annonaceae,Guatteria aeruginosa,-84.016667,10.433333,25.949999809265137,316.25
Annonaceae,Guatteria aeruginosa,-82.266667,9.383333,25.883333524068195,230
Annonaceae,Guatteria aeruginosa,-84.179444,10.325278,24.18333339691162,295.5
Annonaceae,Guatteria aeruginosa,-84.02,10.48,26.03333330154419,310.8333333333333
Annonaceae,Guatteria aeruginosa,-84.016667,10.433333,25.949999809265137,316.25
Annonaceae,Guatteria aeruginosa,-81.533333,8.783333,25.266666571299236,270.75
Annonaceae,Guatteria aeruginosa,-81.533333,8.783333,25.266666571299236,270.75
Annonaceae,Guatteria aeruginosa,-84.15,10.356,24.783333619435627,289.1666666666667
Annonaceae,Guatteria aeruginosa,-84.002167,10.4255,26.008333206176758,307.9166666666667
Annonaceae,Guatteria aeruginosa,-83.783333,10.5,26.03333346048991,305.9166666666667
Annonaceae,Guatteria aeruginosa,-84.002167,10.4255,26.008333206176758,307.9166666666667
Annonaceae,Guatteria aeruginosa,-85.083333,10.733333,23.325000127156574,274.9166666666667
Annonaceae,Guatteria aeruginosa,-84.016667,10.433333,25.949999809265137,316.25
Annonaceae,Guatteria aeruginosa,-84.002167,10.4255,26.008333206176758,307.9166666666667
Annonaceae,Guatteria aeruginosa,-83.75,10.2,24.924999713897705,319.0833333333333
Annonaceae,Guatteria aeruginosa,-84.15,10.39,25.258333683013916,290.5833333333333
Annonaceae,Guatteria aeruginosa,-84.05,10.35,24.46666653951009,305.5
Annonaceae,Guatteria aeruginosa,-84.002167,10.4255,26.008333206176758,307.9166666666667
Annonaceae,Guatteria aeruginosa,-84.05,10.4,25.34166653951009,309.8333333333333
Annonaceae,Guatteria aeruginosa,-84.002167,10.4255,26.008333206176758,307.9166666666667
Annonaceae,Guatteria aeruginosa,-83.954105,10.14374,23.06666644414266,314.5833333333333
Annonaceae,Guatteria aeruginosa,-84.024667,10.3,23.949999809265137,300
Annonaceae,Guatteria aeruginosa,-83.624667,10.674667,26.333333333333332,304.3333333333333
Annonaceae,Guatteria aeruginosa,-85.324667,10.906,24.53333346048991,250.5
Annonaceae,Guatteria aeruginosa,-83.624667,10.674667,26.333333333333332,304.3333333333333
Annonaceae,Guatteria aeruginosa,-84.266667,10.308333,22.050000190734863,279.0833333333333
Annonaceae,Guatteria aeruginosa,-85.421667,11.033333,24.633333206176758,216.25
Annonaceae,Guatteria aeruginosa,-85.4,11.024667,24.475000222524006,230.33333333333334
Annonaceae,Guatteria aeruginosa,-84.024667,10.274667,23.166666666666668,300.5833333333333
Annonaceae,Guatteria aeruginosa,-84.024667,10.368667,25.241666952768963,313.8333333333333
Annonaceae,Guatteria aeruginosa,-83.1,9.787333,22.858333428700764,278.25
Annonaceae,Guatteria aeruginosa,-82.983333,9.420833,23.141666571299236,276.5833333333333
Annonaceae,Guatteria aeruginosa,-85.42,10.99,22.90000009536743,256.0833333333333
Annonaceae,Guatteria aeruginosa,-84.050833,10.400833,25.59166685740153,309.5833333333333
Annonaceae,Guatteria aeruginosa,-84.05,10.4,25.34166653951009,309.8333333333333
Annonaceae,Guatteria aeruginosa,-84.106,10.4,25.291666825612385,293.25
Annonaceae,Guatteria aeruginosa,-84.156,10.7,25.833333174387615,290.3333333333333
Annonaceae,Guatteria aeruginosa,-84.074667,10.268667,20.825000127156574,298.75
