familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Annonaceae,Guatteria costaricensis,-85.46666667,10.95,21.15000009536743,203.08333333333334
Annonaceae,Guatteria costaricensis,-85.42,10.99,22.90000009536743,256.0833333333333
Annonaceae,Guatteria costaricensis,-85.4,10.86,22.47500006357829,221.33333333333334
Annonaceae,Guatteria costaricensis,-85.32,10.79,19.85000006357829,169.58333333333334
Annonaceae,Guatteria costaricensis,-85.32,10.8,18.574999968210857,192.91666666666666
Annonaceae,Guatteria costaricensis,-85.2735652,10.5548434,27.116666952768963,152.33333333333334
Annonaceae,Guatteria costaricensis,-85.26333,10.83111,23,269.0833333333333
Annonaceae,Guatteria costaricensis,-85.05,10.71667,23.391667048136394,286.4166666666667
Annonaceae,Guatteria costaricensis,-85.05,10.73,23.733333110809326,281
Annonaceae,Guatteria costaricensis,-85.00283,10.60133,21.300000031789143,253.66666666666666
Annonaceae,Guatteria costaricensis,-84.99583,10.61111,21.37500015894572,285.8333333333333
Annonaceae,Guatteria costaricensis,-84.99027778,10.67138889,20.208333333333332,289.4166666666667
Annonaceae,Guatteria costaricensis,-84.99,10.61,21.15833314259847,281.4166666666667
Annonaceae,Guatteria costaricensis,-84.99,10.72,22.891667048136394,283
Annonaceae,Guatteria costaricensis,-84.98527778,10.59305556,21.19166660308838,280.5
Annonaceae,Guatteria costaricensis,-84.95,10.81,26.25833336512248,241.66666666666666
Annonaceae,Guatteria costaricensis,-84.93,10.58,22.141666412353516,302.3333333333333
Annonaceae,Guatteria costaricensis,-84.91388889,10.57083333,22.699999650319416,296.4166666666667
Annonaceae,Guatteria costaricensis,-84.91,10.41,21.366666952768963,189.83333333333334
Annonaceae,Guatteria costaricensis,-84.9,10.4,21.27499993642171,221.33333333333334
Annonaceae,Guatteria costaricensis,-84.9,10.43,21.699999650319416,250.08333333333334
Annonaceae,Guatteria costaricensis,-84.88,10.41,21.458333333333332,285.3333333333333
Annonaceae,Guatteria costaricensis,-84.85,10.38,19.583333333333332,234.58333333333334
Annonaceae,Guatteria costaricensis,-84.83,10.33,19.083333492279053,200.25
Annonaceae,Guatteria costaricensis,-84.75,10.33,18.43333371480306,275.9166666666667
Annonaceae,Guatteria costaricensis,-84.73,10.3,20.391666730244953,286.0833333333333
Annonaceae,Guatteria costaricensis,-84.71,10.33,21.016666889190674,282.6666666666667
Annonaceae,Guatteria costaricensis,-84.7,10.35,20.28333346048991,289.3333333333333
Annonaceae,Guatteria costaricensis,-84.67028,10.35389,21.574999968210857,290.5
Annonaceae,Guatteria costaricensis,-84.66,10.33,21.19166644414266,304.4166666666667
Annonaceae,Guatteria costaricensis,-84.66,10.38,22.016666730244953,278.5
Annonaceae,Guatteria costaricensis,-84.6,10.22,21.34166685740153,290.4166666666667
Annonaceae,Guatteria costaricensis,-84.59391,10.3643,24.64999993642171,295.4166666666667
Annonaceae,Guatteria costaricensis,-84.5932294,10.4216572,25.449999968210857,281.5833333333333
Annonaceae,Guatteria costaricensis,-84.49,10.17,20.50000015894572,296.0833333333333
Annonaceae,Guatteria costaricensis,-84.44722,9.788889,19.724999745686848,193.91666666666666
Annonaceae,Guatteria costaricensis,-84.29063628,10.12049,19.81666660308838,200.08333333333334
Annonaceae,Guatteria costaricensis,-84.28,10.09,21.049999872843426,213.5
Annonaceae,Guatteria costaricensis,-84.17,10.09,18.741666475931805,199.66666666666666
Annonaceae,Guatteria costaricensis,-84.16,10.2,17.96666653951009,288.0833333333333
Annonaceae,Guatteria costaricensis,-83.98722,10.06889,18.891666730244953,276.3333333333333
Annonaceae,Guatteria costaricensis,-83.79444,9.466667,20.758333206176758,240.25
Annonaceae,Guatteria costaricensis,-83.06667,9.116667,16.541666746139526,263.5833333333333
Annonaceae,Guatteria costaricensis,-83.0412,9.0504,20.0583332379659,257.5833333333333
Annonaceae,Guatteria costaricensis,-82.98876,8.78581,18.93333339691162,243.83333333333334
Annonaceae,Guatteria costaricensis,-82.86,9.02,14.166666746139526,259.1666666666667
Annonaceae,Guatteria costaricensis,-82.73222,9.066111,17.725000381469727,244.41666666666666
Annonaceae,Guatteria costaricensis,-82.2,8.75,20.39999993642171,303.9166666666667
Annonaceae,Guatteria costaricensis,-81.81305556,8.5358333300000009,17.925000190734863,266.75
Annonaceae,Guatteria costaricensis,-81.81138889,8.53861111,17.925000190734863,266.75
