familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Annonaceae,Guatteria talamancana,-83.47,9.29,21.541666666666668,235.58333333333334
Annonaceae,Guatteria talamancana,-83.091667,9.404167,20.47500006357829,274.3333333333333
Annonaceae,Guatteria talamancana,-83.579167,9.469444,17.424999872843426,205.16666666666666
Annonaceae,Guatteria talamancana,-83.575604,9.465772,17.02500009536743,198.58333333333334
Annonaceae,Guatteria talamancana,-83.575602,9.473005,17.424999872843426,205.16666666666666
Annonaceae,Guatteria talamancana,-83.952778,9.625,15.866666793823242,203.91666666666666
Annonaceae,Guatteria talamancana,-83.575604,9.465772,17.02500009536743,198.58333333333334
Annonaceae,Guatteria talamancana,-83.536111,9.447222,10.358333349227905,196.33333333333334
Annonaceae,Guatteria talamancana,-83.796667,9.497778,18.116666475931805,234.66666666666666
Annonaceae,Guatteria talamancana,-83.585165,9.464874,18.133333206176758,207.25
Annonaceae,Guatteria talamancana,-83.583333,9.466667,17.424999872843426,205.16666666666666
Annonaceae,Guatteria talamancana,-83.089559,9.318855,17.083333333333332,273.5
Annonaceae,Guatteria talamancana,-83.585,9.4647,18.133333206176758,207.25
Annonaceae,Guatteria talamancana,-83.56,9.46,14.141666571299234,203.25
Annonaceae,Guatteria talamancana,-83.95,9.62,15.999999841054281,208.41666666666666
Annonaceae,Guatteria talamancana,-83.575556,9.465556,17.02500009536743,198.58333333333334
Annonaceae,Guatteria talamancana,-83.53611,9.447222,10.358333349227905,196.33333333333334
Annonaceae,Guatteria talamancana,-83.583333,9.45,16.14999993642171,215.16666666666666
Annonaceae,Guatteria talamancana,-83.091667,9.404167,20.47500006357829,274.3333333333333
Annonaceae,Guatteria talamancana,-83.952778,9.625,15.866666793823242,203.91666666666666
Annonaceae,Guatteria talamancana,-83.583333,9.45,16.14999993642171,215.16666666666666
