familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Haematoxylum brasiletto,-105.03599182,19.51251122,25.375,77.66666666666667
Fabaceae,Haematoxylum brasiletto,-105.03482471,19.49076224,25.233333587646484,78.91666666666667
Fabaceae,Haematoxylum brasiletto,-105.03399171,19.49562302,25.233333428700764,79.33333333333333
Fabaceae,Haematoxylum brasiletto,-104.99215795,19.54653677,25.125,88.66666666666667
Fabaceae,Haematoxylum brasiletto,-104.98932389,19.54712075,25.141666571299236,89
Fabaceae,Haematoxylum brasiletto,-104.98274025,19.42559851,25.325000127156574,81.91666666666667
Fabaceae,Haematoxylum brasiletto,-104.95798985,19.46892955,25.15833330154419,88.83333333333333
Fabaceae,Haematoxylum brasiletto,-106.44,23.299,24.924999713897705,66.33333333333333
Fabaceae,Haematoxylum brasiletto,-105.321583,20.318359,22.21666669845581,134.33333333333334
Fabaceae,Haematoxylum brasiletto,-110.976111,27.950556,NA,NA
Fabaceae,Haematoxylum brasiletto,-109.876213,23.861036,22.200000286102295,28.916666666666668
Fabaceae,Haematoxylum brasiletto,-108.929443,25.946931,25.016666412353516,31.5
Fabaceae,Haematoxylum brasiletto,-106.44343,23.299,24.875,66
Fabaceae,Haematoxylum brasiletto,-99.041627,19.337763,17.200000047683716,50.5
Fabaceae,Haematoxylum brasiletto,-99.004,18.493667,23.924999872843426,79.83333333333333
Fabaceae,Haematoxylum brasiletto,-110.300632,24.126058,23.4416667620341,18.916666666666668
Fabaceae,Haematoxylum brasiletto,-110.230637,23.948951,22.300000031789143,22.333333333333332
Fabaceae,Haematoxylum brasiletto,-110.177593,23.857852,21.541666984558105,28.25
Fabaceae,Haematoxylum brasiletto,-110.175018,23.86518,21.55833355585734,28.166666666666668
Fabaceae,Haematoxylum brasiletto,-109.844055,23.859591000000002,20.199999968210857,43.416666666666664
Fabaceae,Haematoxylum brasiletto,-109.807019,23.440569,22.258333206176758,33.083333333333336
Fabaceae,Haematoxylum brasiletto,-109.032757,26.034429,25.233333269755047,32
Fabaceae,Haematoxylum brasiletto,-108.970917,26.99041,21.008333206176758,65.66666666666667
Fabaceae,Haematoxylum brasiletto,-106.910491,24.017518,25.22500006357829,59.083333333333336
Fabaceae,Haematoxylum brasiletto,-106.443,23.299,24.875,66
Fabaceae,Haematoxylum brasiletto,-106.442222,23.301025,24.791666666666668,66.33333333333333
Fabaceae,Haematoxylum brasiletto,-99.516842,18.673121,21.891666571299236,92.83333333333333
Fabaceae,Haematoxylum brasiletto,-99.513474,18.657695,22.88333336512248,96.33333333333333
Fabaceae,Haematoxylum brasiletto,-97.262652,17.953818,19.583333492279053,54.333333333333336
Fabaceae,Haematoxylum brasiletto,-95.396549,16.401728,26.86666663487752,56.25
Fabaceae,Haematoxylum brasiletto,-85.763938,11.109046,26.74999984105428,147.41666666666666
Fabaceae,Haematoxylum brasiletto,-110.879173,27.891243,23.94166644414266,22.416666666666668
Fabaceae,Haematoxylum brasiletto,-109.918127,23.859902,23.125,21.25
Fabaceae,Haematoxylum brasiletto,-109.896882,23.798141,21.225000143051147,34.75
Fabaceae,Haematoxylum brasiletto,-109.439803,23.430666,23.21666653951009,26.25
Fabaceae,Haematoxylum brasiletto,-108.954378,27.009838,23.05833355585734,50.333333333333336
Fabaceae,Haematoxylum brasiletto,-106.652863,24.097095,25.22499990463257,70
Fabaceae,Haematoxylum brasiletto,-106.443,23.299,24.875,66
Fabaceae,Haematoxylum brasiletto,-106.44119,23.299395,24.924999713897705,66.33333333333333
Fabaceae,Haematoxylum brasiletto,-106.270108,23.241681,25.058333079020183,69.58333333333333
Fabaceae,Haematoxylum brasiletto,-103.699968,19.139103,25.908333619435627,72.08333333333333
Fabaceae,Haematoxylum brasiletto,-99.485748,18.662588,23.766666889190674,92.33333333333333
Fabaceae,Haematoxylum brasiletto,-97.138467,18.859619,17.766666650772095,119.41666666666667
Fabaceae,Haematoxylum brasiletto,-74.177355,11.228158,28.133333206176758,59.833333333333336
Fabaceae,Haematoxylum brasiletto,-109.826478,23.389663,21.28333322207133,37.166666666666664
Fabaceae,Haematoxylum brasiletto,-109.441109,23.439365,23.21666653951009,26.083333333333332
Fabaceae,Haematoxylum brasiletto,-109.440277,23.445278,23.033333619435627,28.75
Fabaceae,Haematoxylum brasiletto,-106.659214,24.113885,25.149999618530273,71.25
Fabaceae,Haematoxylum brasiletto,-101.866213,19.203187,23.983333110809326,64.58333333333333
Fabaceae,Haematoxylum brasiletto,-73.786389,10.113333,27.34999990463257,132
Fabaceae,Haematoxylum brasiletto,-105.036,19.512,25.375,77.66666666666667
Fabaceae,Haematoxylum brasiletto,-105.035,19.49,25.233333587646484,78.91666666666667
Fabaceae,Haematoxylum brasiletto,-105.034,19.495,25.233333428700764,79.33333333333333
Fabaceae,Haematoxylum brasiletto,-104.992,19.546,25.125,88.66666666666667
Fabaceae,Haematoxylum brasiletto,-104.989,19.547,25.141666571299236,89
Fabaceae,Haematoxylum brasiletto,-104.982,19.425,25.5,79.25
Fabaceae,Haematoxylum brasiletto,-104.958,19.468,25.15833330154419,88.83333333333333
Fabaceae,Haematoxylum brasiletto,-87.16666,12.53333,27.52500009536743,140.83333333333334
Fabaceae,Haematoxylum brasiletto,-106.0889,28.6353,18.14999993642171,34.083333333333336
Fabaceae,Haematoxylum brasiletto,-110.7,27.971111,24.9333332379659,26.75
Fabaceae,Haematoxylum brasiletto,-96.56666,18.8125,25.166666507720947,129.75
Fabaceae,Haematoxylum brasiletto,-90.85,14.8,16.625,128.75
Fabaceae,Haematoxylum brasiletto,-86.26666,12.15,27.00833336512248,148.25
Fabaceae,Haematoxylum brasiletto,-86.26666,12.15,27.00833336512248,148.25
Fabaceae,Haematoxylum brasiletto,-90.111389,18.45,25.741666316986084,95.25
Fabaceae,Haematoxylum brasiletto,-100.43,18.78,26.94166660308838,92.5
Fabaceae,Haematoxylum brasiletto,-100.42,18.77,26.96666669845581,94
Fabaceae,Haematoxylum brasiletto,-100.259167,19.030278,21.774999777475994,95.91666666666667
Fabaceae,Haematoxylum brasiletto,-106.4,23.25,25.383333047231037,69.33333333333333
Fabaceae,Haematoxylum brasiletto,-100.65,18.316667,28.458333333333332,79
Fabaceae,Haematoxylum brasiletto,-100.65,18.32,28.458333333333332,79
Fabaceae,Haematoxylum brasiletto,-95.1,16.56,27.4333332379659,79.16666666666667
Fabaceae,Haematoxylum brasiletto,-100.904167,18.229167,27.35000006357829,87.33333333333333
Fabaceae,Haematoxylum brasiletto,-100.9,18.23,27.37500015894572,88.33333333333333
Fabaceae,Haematoxylum brasiletto,-100.9,18.24,27.40833346048991,87
Fabaceae,Haematoxylum brasiletto,-110.933333,27.883333,24.333333333333332,19.166666666666668
Fabaceae,Haematoxylum brasiletto,-111.033333,28.483333,23.46666693687439,23.5
Fabaceae,Haematoxylum brasiletto,-110.978558,28.155161,24.983333269755047,21.75
