familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Malvaceae,Hampea platanifolia,-92.0455,18.621083,26.699999968210857,124
Malvaceae,Hampea platanifolia,-92.316389,18.635028,26.78333330154419,121.5
Malvaceae,Hampea platanifolia,-83.61,9.28,23.333333174387615,241.83333333333334
Malvaceae,Hampea platanifolia,-84.53,9.76,25.36666663487752,212.5
Malvaceae,Hampea platanifolia,-84.53,9.77,25.616666952768963,203
Malvaceae,Hampea platanifolia,-84,9.6667,17.50833336512248,180.33333333333334
Malvaceae,Hampea platanifolia,-84.49861,9.62333,26.066666920979817,221.75
Malvaceae,Hampea platanifolia,-84.166667,9.4,26.324999650319416,204.08333333333334
Malvaceae,Hampea platanifolia,-84.391667,9.697222,24.758333047231037,230.58333333333334
Malvaceae,Hampea platanifolia,-83.827222,9.282778,25.600000222524006,268.75
Malvaceae,Hampea platanifolia,-83.611111,9.288889,23.383333206176758,266.4166666666667
Malvaceae,Hampea platanifolia,-84.534722,9.777778,25.52500009536743,201.75
Malvaceae,Hampea platanifolia,-84.533333,9.766667,25.616666952768963,203
Malvaceae,Hampea platanifolia,-84.591667,9.8,26.56666660308838,182.83333333333334
Malvaceae,Hampea platanifolia,-84.591667,9.8,26.56666660308838,182.83333333333334
Malvaceae,Hampea platanifolia,-84.580556,9.805556,26.358333428700764,178.66666666666666
Malvaceae,Hampea platanifolia,-83.521667,9.143611,24.22500006357829,261
Malvaceae,Hampea platanifolia,-84.609444,9.817222,26.56666644414266,178.5
Malvaceae,Hampea platanifolia,-84.498611,9.623333,26.066666920979817,221.75
Malvaceae,Hampea platanifolia,-84.266667,9.911111,22,163.41666666666666
Malvaceae,Hampea platanifolia,-84.365278,9.705556,23.1916667620341,232.91666666666666
Malvaceae,Hampea platanifolia,-84.606944,9.776389,26.40833346048991,177.83333333333334
Malvaceae,Hampea platanifolia,-84.471111,9.812222,21.625,202.91666666666666
Malvaceae,Hampea platanifolia,-83.464444,8.741944,25.30833339691162,265.8333333333333
Malvaceae,Hampea platanifolia,-84.565917,9.747028,24.21666669845581,226.33333333333334
Malvaceae,Hampea platanifolia,-84.269505,9.916747,22.516666730244953,173.08333333333334
Malvaceae,Hampea platanifolia,-84.142972,9.385306,26.433333079020183,186.33333333333334
Malvaceae,Hampea platanifolia,-84.59166,9.8,26.21666653951009,172.41666666666666
Malvaceae,Hampea platanifolia,-85.275,12.925,23.87499984105428,163.33333333333334
Malvaceae,Hampea platanifolia,-82.8916666,8.2569444,25.78333346048991,267.75
Malvaceae,Hampea platanifolia,-81.05694,7.925,NA,NA
Malvaceae,Hampea platanifolia,-84.4,9.69,24.64999993642171,242.83333333333334
Malvaceae,Hampea platanifolia,-82.98333,8.34305,25.09166653951009,245.33333333333334
Malvaceae,Hampea platanifolia,-82.935,8.275,25.316666920979817,242.91666666666666
