familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Bignoniaceae,Handroanthus ochraceus,-85.37,10.47,27.208333174387615,151.58333333333334
Bignoniaceae,Handroanthus ochraceus,-85.298611,10.35,27.02500009536743,150.16666666666666
Bignoniaceae,Handroanthus ochraceus,-84.37,9.97,23.13333336512248,200.41666666666666
Bignoniaceae,Handroanthus ochraceus,-84.3,9.761111,23.81666660308838,191.91666666666666
Bignoniaceae,Handroanthus ochraceus,-84.01,9.83,17.99999984105428,184.33333333333334
Bignoniaceae,Handroanthus ochraceus,-83.9519,10.0114,17.35000006357829,334.6666666666667
Bignoniaceae,Handroanthus ochraceus,-82.918306,8.822167,22.125,226.33333333333334
Bignoniaceae,Handroanthus ochraceus,-76.56432,3.44867,22.24999984105428,141.91666666666666
Bignoniaceae,Handroanthus ochraceus,-74.677344,4.458869,26.74166663487752,164.16666666666666
Bignoniaceae,Handroanthus ochraceus,-72.8667,3.8811,26.583333174387615,229.33333333333334
Bignoniaceae,Handroanthus ochraceus,-66.91667,10.5,21.708333174387615,75.66666666666667
Bignoniaceae,Handroanthus ochraceus,-65.9119,7.0758,27.366666952768963,155.91666666666666
Bignoniaceae,Handroanthus ochraceus,-65.8,-23.92,9.225000103314718,14.166666666666666
Bignoniaceae,Handroanthus ochraceus,-64.9,-23.68,16.3666668732961,62.833333333333336
Bignoniaceae,Handroanthus ochraceus,-64.7,-23.75,21.583333651224773,66.5
Bignoniaceae,Handroanthus ochraceus,-64.55,-23.03,20.900000254313152,88.08333333333333
Bignoniaceae,Handroanthus ochraceus,-64.52,-23.1,21.608333190282185,88.91666666666667
Bignoniaceae,Handroanthus ochraceus,-64.47,-23.64,22,74.33333333333333
Bignoniaceae,Handroanthus ochraceus,-63.18,-17.77,24.375,108.08333333333333
Bignoniaceae,Handroanthus ochraceus,-58.391024,-23.236211,23.916666507720947,91.25
Bignoniaceae,Handroanthus ochraceus,-57.86861,-18.18416,25.458333333333332,94.08333333333333
Bignoniaceae,Handroanthus ochraceus,-57.5,-25.5,22.358333269755047,120.91666666666667
Bignoniaceae,Handroanthus ochraceus,-57.13,-25.43,21.63333336512248,124.08333333333333
Bignoniaceae,Handroanthus ochraceus,-57,-26,22.016666889190674,118.16666666666667
Bignoniaceae,Handroanthus ochraceus,-57,-25.25,22.766666571299236,123.41666666666667
Bignoniaceae,Handroanthus ochraceus,-57,-23,23.666666666666668,120.16666666666667
Bignoniaceae,Handroanthus ochraceus,-56.5,-24.25,23.358333428700764,124.33333333333333
Bignoniaceae,Handroanthus ochraceus,-56,-23,23.066666920979817,128.75
Bignoniaceae,Handroanthus ochraceus,-55.92333,-13.40083,24.05833339691162,162
Bignoniaceae,Handroanthus ochraceus,-55,-24.33333,21.233333428700764,136.5
