familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Salicaceae,Hasseltia allenii,-84.53,9.76,25.36666663487752,212.5
Salicaceae,Hasseltia allenii,-84.53,9.77,25.616666952768963,203
Salicaceae,Hasseltia allenii,-84.39,9.7,24.608333269755047,232.91666666666666
Salicaceae,Hasseltia allenii,-83.51,8.7,26.125000317891438,247.33333333333334
Salicaceae,Hasseltia allenii,-83.5286111,8.6783334,26.041666666666668,241.41666666666666
Salicaceae,Hasseltia allenii,-83.9519,10.0114,17.35000006357829,334.6666666666667
Salicaceae,Hasseltia allenii,-84.573611,9.783333,25.050000031789143,224.83333333333334
Salicaceae,Hasseltia allenii,-83.616667,8.716667,26.075000127156574,274.1666666666667
Salicaceae,Hasseltia allenii,-84.608333,9.769444,26.291666507720947,184.66666666666666
Salicaceae,Hasseltia allenii,-83.566667,8.7,25.5,239.91666666666666
Salicaceae,Hasseltia allenii,-83.022222,9.675,25.64999993642171,256.5833333333333
Salicaceae,Hasseltia allenii,-83.572222,8.727778,24.733333269755047,244.25
Salicaceae,Hasseltia allenii,-84.536111,9.777778,25.52500009536743,201.75
Salicaceae,Hasseltia allenii,-84.533333,9.766667,25.616666952768963,203
Salicaceae,Hasseltia allenii,-84.393889,9.707778,24.375,226.66666666666666
Salicaceae,Hasseltia allenii,-83.516668,8.7,25.516666571299236,242.16666666666666
Salicaceae,Hasseltia allenii,-84.563889,9.75,24.21666669845581,226.33333333333334
Salicaceae,Hasseltia allenii,-84.373611,9.702778,22.875,228.33333333333334
Salicaceae,Hasseltia allenii,-84.347222,9.750556,25.083333651224773,211.41666666666666
Salicaceae,Hasseltia allenii,-83.236833,8.708696,24.449999968210857,243.75
Salicaceae,Hasseltia allenii,-85.402778,10.013889,24.066666920979817,186.83333333333334
Salicaceae,Hasseltia allenii,-83.49861,8.581866,25.77499993642171,243.25
Salicaceae,Hasseltia allenii,-84.608056,9.771944,26.291666507720947,184.66666666666666
Salicaceae,Hasseltia allenii,-84.591667,9.8,26.56666660308838,182.83333333333334
Salicaceae,Hasseltia allenii,-84.604472,9.7715,26.291666507720947,184.66666666666666
Salicaceae,Hasseltia allenii,-84.558333,9.755556,23.68333339691162,223.25
Salicaceae,Hasseltia allenii,-84.583944,9.798,26.21666653951009,172.41666666666666
Salicaceae,Hasseltia allenii,-84.4,9.69,24.64999993642171,242.83333333333334
Salicaceae,Hasseltia allenii,-82.98333,8.34305,25.09166653951009,245.33333333333334
Salicaceae,Hasseltia allenii,-83.51,8.7,26.125000317891438,247.33333333333334
Salicaceae,Hasseltia allenii,-84.57,9.78,25.050000031789143,224.83333333333334
Salicaceae,Hasseltia allenii,-84.6,9.76,25.28333330154419,191.66666666666666
Salicaceae,Hasseltia allenii,-83.58,8.46,25.71666653951009,305.5833333333333
Salicaceae,Hasseltia allenii,-83.57,8.72,25.03333330154419,241.58333333333334
Salicaceae,Hasseltia allenii,-83.55,8.7,25.19166644414266,257.0833333333333
Salicaceae,Hasseltia allenii,-84.56388,9.75,24.21666669845581,226.33333333333334
Salicaceae,Hasseltia allenii,-84.3736111,9.7027778,22.875,228.33333333333334
Salicaceae,Hasseltia allenii,-84.6,9.76666,25.28333330154419,191.66666666666666
Salicaceae,Hasseltia allenii,-84.3908,9.7019,24.299999872843426,230.33333333333334
Salicaceae,Hasseltia allenii,-83.5411,8.6994,24.80833339691162,263.1666666666667
Salicaceae,Hasseltia allenii,-80.6367,8.7072,24.12500015894572,266.25
Salicaceae,Hasseltia allenii,-83.458675,8.9659722,26.383333206176758,253.83333333333334
Salicaceae,Hasseltia allenii,-83.4906833,8.6920806,25.77499993642171,292.5
Salicaceae,Hasseltia allenii,-84.58394,9.798,26.21666653951009,172.41666666666666
