familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Salicaceae,Hasseltia floribunda,-77.208,-2.262,24.949999650319416,279.3333333333333
Salicaceae,Hasseltia floribunda,-76.135694,4.7445,18.74166663487752,186
Salicaceae,Hasseltia floribunda,-76.116306,4.778639,18.90833330154419,172
Salicaceae,Hasseltia floribunda,-76.115361,4.779472,18.90833330154419,172
Salicaceae,Hasseltia floribunda,-76.0935,4.800972,18.84166653951009,207.58333333333334
Salicaceae,Hasseltia floribunda,-76.213667,4.721083,18.774999618530273,178.33333333333334
Salicaceae,Hasseltia floribunda,-76.111861,4.778778,18.90833330154419,172
Salicaceae,Hasseltia floribunda,-76.111639,4.779472,18.90833330154419,172
Salicaceae,Hasseltia floribunda,-76.111556,4.779278,18.90833330154419,172
Salicaceae,Hasseltia floribunda,-76.023083,4.900806,18.34999990463257,178.41666666666666
Salicaceae,Hasseltia floribunda,-76.022833,4.900806,18.34999990463257,178.41666666666666
Salicaceae,Hasseltia floribunda,-76.022417,4.900472,18.34999990463257,178.41666666666666
Salicaceae,Hasseltia floribunda,-76.180667,3.931611,17.066666920979817,169.58333333333334
Salicaceae,Hasseltia floribunda,-72.8667,3.8811,26.583333174387615,229.33333333333334
Salicaceae,Hasseltia floribunda,-79.51888,8.99388,27.108332951863606,190.08333333333334
Salicaceae,Hasseltia floribunda,-72.8667,3.8811,26.583333174387615,229.33333333333334
Salicaceae,Hasseltia floribunda,-74.666667,5.133333,26.541666825612385,191.66666666666666
Salicaceae,Hasseltia floribunda,-78.767071,-1.427421,4.258333305517833,62.916666666666664
Salicaceae,Hasseltia floribunda,-85.06666,12.26666,22.94166660308838,166.16666666666666
Salicaceae,Hasseltia floribunda,-65.346537,-10.779865,27.108333746592205,147.08333333333334
Salicaceae,Hasseltia floribunda,-74.14,-9.1839,26.22499990463257,146.33333333333334
Salicaceae,Hasseltia floribunda,-55.85,-2.516667,26.46666685740153,170.83333333333334
Salicaceae,Hasseltia floribunda,-67.566667,-14.466667,23.524999777475994,149.75
Salicaceae,Hasseltia floribunda,-84.358333,13.966667,25.733333428700764,221.83333333333334
Salicaceae,Hasseltia floribunda,-79.85,9.15,26.358333428700764,200.33333333333334
