familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Chloranthaceae,Hedyosmum scaberrimum,-79.9106,8.5714,27.283333778381348,160.33333333333334
Chloranthaceae,Hedyosmum scaberrimum,-82.15,9.31666,25.87500015894572,224.66666666666666
Chloranthaceae,Hedyosmum scaberrimum,-82.15,9.316667,25.9416667620341,219.41666666666666
Chloranthaceae,Hedyosmum scaberrimum,-76.6506,5.51639,26.84166653951009,616.25
Chloranthaceae,Hedyosmum scaberrimum,-80.13333,8.6,24.050000190734863,195.33333333333334
Chloranthaceae,Hedyosmum scaberrimum,-80.105,8.626667,22.674999872843426,222.58333333333334
Chloranthaceae,Hedyosmum scaberrimum,-80.1,8.61666,23.224999745686848,189.33333333333334
Chloranthaceae,Hedyosmum scaberrimum,-80.106944,8.6375,22.208333174387615,212.75
Chloranthaceae,Hedyosmum scaberrimum,-80.105,8.536667,25.391666412353516,205
Chloranthaceae,Hedyosmum scaberrimum,-79.68333,9.31666,25.458333015441895,227.83333333333334
Chloranthaceae,Hedyosmum scaberrimum,-80.183333,9.125,26.291666666666668,219.58333333333334
Chloranthaceae,Hedyosmum scaberrimum,-80.138333,8.64,22.458333492279053,222.83333333333334
Chloranthaceae,Hedyosmum scaberrimum,-80.13361,8.64638,22.083333651224773,231
Chloranthaceae,Hedyosmum scaberrimum,-84.02,10.42,25.766666889190674,314.9166666666667
Chloranthaceae,Hedyosmum scaberrimum,-80.13333,8.64583,22.299999713897705,232.91666666666666
Chloranthaceae,Hedyosmum scaberrimum,-80.13,8.608333,24.10000006357829,200.5
Chloranthaceae,Hedyosmum scaberrimum,-83.48,8.69,26.424999872843426,299.8333333333333
Chloranthaceae,Hedyosmum scaberrimum,-80.12666,8.62333,22.749999682108562,215.25
Chloranthaceae,Hedyosmum scaberrimum,-77.715833,7.9225,21.31666660308838,187.16666666666666
Chloranthaceae,Hedyosmum scaberrimum,-83.51,8.7,26.125000317891438,247.33333333333334
Chloranthaceae,Hedyosmum scaberrimum,-78.96666,9.35833,25.633333206176758,247.75
Chloranthaceae,Hedyosmum scaberrimum,-78.1675,1.53681,24.508333206176758,366.5833333333333
Chloranthaceae,Hedyosmum scaberrimum,-76.730584,5.338327,26.666666666666668,596.3333333333334
Chloranthaceae,Hedyosmum scaberrimum,-81.175,8.551944,23.641666730244953,308
Chloranthaceae,Hedyosmum scaberrimum,-81.171389,8.550833,23.641666730244953,308
Chloranthaceae,Hedyosmum scaberrimum,-80.13333,8.65,22.299999713897705,232.91666666666666
Chloranthaceae,Hedyosmum scaberrimum,-79.40416,9.28055,25.14999993642171,246.83333333333334
Chloranthaceae,Hedyosmum scaberrimum,-79.30861,9.28416,23.84166653951009,217.5
Chloranthaceae,Hedyosmum scaberrimum,-78.93416,9.29722,24.575000127156574,193.75
Chloranthaceae,Hedyosmum scaberrimum,-77.7,7.9,20.666666507720947,203.75
Chloranthaceae,Hedyosmum scaberrimum,-80.1,8.63333,22.958333492279053,216.16666666666666
Chloranthaceae,Hedyosmum scaberrimum,-76.618811,5.515748,26.6833332379659,591.3333333333334
Chloranthaceae,Hedyosmum scaberrimum,-76.59333,5.49944,26.5666667620341,606.9166666666666
Chloranthaceae,Hedyosmum scaberrimum,-83.7,8.6,25.733333110809326,273
Chloranthaceae,Hedyosmum scaberrimum,-80.13333,8.63333,22.075000445048016,210.58333333333334
Chloranthaceae,Hedyosmum scaberrimum,-76.25161,4.867123,20.858333110809326,245.33333333333334
Chloranthaceae,Hedyosmum scaberrimum,-83.78,10.5,26.03333346048991,305.9166666666667
Chloranthaceae,Hedyosmum scaberrimum,-81.118056,8.509444,21.47499990463257,285.4166666666667
Chloranthaceae,Hedyosmum scaberrimum,-80.458333,8.666667,25.93333339691162,207.33333333333334
Chloranthaceae,Hedyosmum scaberrimum,-76.63687,5.59617,26.708333174387615,603.0833333333334
Chloranthaceae,Hedyosmum scaberrimum,-76.53799,5.748047,26.90833346048991,596.1666666666666
Chloranthaceae,Hedyosmum scaberrimum,-76.53333,5.75,26.90833346048991,548.5833333333334
Chloranthaceae,Hedyosmum scaberrimum,-76.250473,6.496233,19.491666952768963,234.91666666666666
Chloranthaceae,Hedyosmum scaberrimum,-76.23333,6.5,17.39999993642171,215.16666666666666
Chloranthaceae,Hedyosmum scaberrimum,-84.00361,10.43138,26.008333206176758,307.9166666666667
Chloranthaceae,Hedyosmum scaberrimum,-80.6,8.63333,23.983333269755047,204.16666666666666
Chloranthaceae,Hedyosmum scaberrimum,-80.59,8.675,23.18333371480306,281.3333333333333
Chloranthaceae,Hedyosmum scaberrimum,-84.02,10.42,25.766666889190674,314.9166666666667
Chloranthaceae,Hedyosmum scaberrimum,-84.00361,10.43138,26.008333206176758,307.9166666666667
Chloranthaceae,Hedyosmum scaberrimum,-80.14166,8.62166,23.383333206176758,219.25
Chloranthaceae,Hedyosmum scaberrimum,-80.13333,8.65,22.299999713897705,232.91666666666666
Chloranthaceae,Hedyosmum scaberrimum,-80.124444,8.536667,25.3166667620341,187.08333333333334
