familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Malvaceae,Heliocarpus appendiculatus,-85.06666,12.26666,22.94166660308838,166.16666666666666
Malvaceae,Heliocarpus appendiculatus,-85.08333,12.26666,23.483333428700764,160.91666666666666
Malvaceae,Heliocarpus appendiculatus,-84.4,11.01666,25.833333015441895,258.75
Malvaceae,Heliocarpus appendiculatus,-96.9275,19.54,18.616666714350384,138.41666666666666
Malvaceae,Heliocarpus appendiculatus,-84.95055,10.36861,22.358333428700764,216.41666666666666
Malvaceae,Heliocarpus appendiculatus,-98.803889,21.250831,23.900000254313152,156.33333333333334
Malvaceae,Heliocarpus appendiculatus,-83.66361,9.36055,23.083333492279053,250.25
Malvaceae,Heliocarpus appendiculatus,-83.660556,9.371667,22.950000286102295,254.83333333333334
Malvaceae,Heliocarpus appendiculatus,-96.1625,17.941667,25.56666660308838,260.1666666666667
Malvaceae,Heliocarpus appendiculatus,-98.004444,20.210833,18.24999992052714,185.83333333333334
Malvaceae,Heliocarpus appendiculatus,-98,20.214167,18.4333332379659,194
Malvaceae,Heliocarpus appendiculatus,-83.65277,9.89166,23.041666507720947,276.0833333333333
Malvaceae,Heliocarpus appendiculatus,-83.65277,9.89166,23.041666507720947,276.0833333333333
Malvaceae,Heliocarpus appendiculatus,-96.941667,18.908333,21.4333332379659,130.41666666666666
Malvaceae,Heliocarpus appendiculatus,-96.875,18.908333,21.825000286102295,136.5
Malvaceae,Heliocarpus appendiculatus,-97.703889,20.451944,22.908333619435627,133.33333333333334
Malvaceae,Heliocarpus appendiculatus,-97.621944,20.423611,22.824999809265137,143.58333333333334
Malvaceae,Heliocarpus appendiculatus,-93.277778,16.135,24.800000190734863,106.08333333333333
Malvaceae,Heliocarpus appendiculatus,-97.703889,20.451944,22.908333619435627,133.33333333333334
Malvaceae,Heliocarpus appendiculatus,-97.621944,20.423611,22.824999809265137,143.58333333333334
Malvaceae,Heliocarpus appendiculatus,-95.102253,18.336808,23.96666669845581,153.08333333333334
Malvaceae,Heliocarpus appendiculatus,-99.060278,21.318056,19.358333667119343,80.33333333333333
Malvaceae,Heliocarpus appendiculatus,-99.053611,21.443056,19.591666618982952,88.5
Malvaceae,Heliocarpus appendiculatus,-99.045,21.340556,21.024999777475994,96.91666666666667
Malvaceae,Heliocarpus appendiculatus,-99.025,21.425,21.93333355585734,128.91666666666666
Malvaceae,Heliocarpus appendiculatus,-99.058333,21.375,20.233333428700764,90.5
Malvaceae,Heliocarpus appendiculatus,-99.030833,21.393333,19.608333428700764,90.25
Malvaceae,Heliocarpus appendiculatus,-99.016111,21.290833,21.891666571299236,112.91666666666667
Malvaceae,Heliocarpus appendiculatus,-98.008333,20.225,18.033333381017048,178.75
Malvaceae,Heliocarpus appendiculatus,-96.17,17.895833,25.458333333333332,273.25
Malvaceae,Heliocarpus appendiculatus,-96.125,18.091667,25.958333333333332,206.08333333333334
Malvaceae,Heliocarpus appendiculatus,-95.375,18.458333,24.80833339691162,177.91666666666666
Malvaceae,Heliocarpus appendiculatus,-95.370833,18.4625,24.6833332379659,180.41666666666666
Malvaceae,Heliocarpus appendiculatus,-95.358333,18.525,24.575000127156574,184.66666666666666
Malvaceae,Heliocarpus appendiculatus,-95.291389,18.475,24.766666730244953,179.16666666666666
Malvaceae,Heliocarpus appendiculatus,-95.275,18.458333,24.583333333333332,175.5
Malvaceae,Heliocarpus appendiculatus,-95.125,18.291667,24.399999777475994,147.83333333333334
Malvaceae,Heliocarpus appendiculatus,-95.113611,18.419444,24.766666730244953,164.58333333333334
Malvaceae,Heliocarpus appendiculatus,-95.108333,18.425,24.733333428700764,163.33333333333334
Malvaceae,Heliocarpus appendiculatus,-95.086111,18.327778,23.874999682108562,151.33333333333334
Malvaceae,Heliocarpus appendiculatus,-95.060278,18.531111,25.27500009536743,199.5
Malvaceae,Heliocarpus appendiculatus,-95.058333,18.508333,25.03333330154419,187.66666666666666
Malvaceae,Heliocarpus appendiculatus,-95.041667,18.491667,25.1916667620341,192.25
Malvaceae,Heliocarpus appendiculatus,-94.875,17.108333,25.341666380564373,234.66666666666666
Malvaceae,Heliocarpus appendiculatus,-99.010542,21.389106,21.1916667620341,105.66666666666667
Malvaceae,Heliocarpus appendiculatus,-98.960136,21.422522,22.72499990463257,132.5
Malvaceae,Heliocarpus appendiculatus,-97.417611,20.958889,24.28333330154419,104.08333333333333
Malvaceae,Heliocarpus appendiculatus,-97.094444,18.788333,19.299999952316284,113.16666666666667
Malvaceae,Heliocarpus appendiculatus,-97.091667,18.841667,20.39999993642171,109.25
Malvaceae,Heliocarpus appendiculatus,-97.083333,18.866667,19.799999872843426,121.91666666666667
Malvaceae,Heliocarpus appendiculatus,-96.934167,20.008333,23.408333619435627,159.33333333333334
Malvaceae,Heliocarpus appendiculatus,-95.191667,18.508333,22.574999809265137,196.83333333333334
Malvaceae,Heliocarpus appendiculatus,-94.325,18.075,25.758333524068195,227.41666666666666
Malvaceae,Heliocarpus appendiculatus,-94.31613,18.00501,25.783333619435627,218.66666666666666
Malvaceae,Heliocarpus appendiculatus,-94.266111,18.075,25.68333339691162,223
Malvaceae,Heliocarpus appendiculatus,-97.960556,20.279722,18.924999872843426,235.58333333333334
Malvaceae,Heliocarpus appendiculatus,-97.960278,20.275556,18.924999872843426,235.58333333333334
