familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Chrysobalanaceae,Hirtella racemosa,-59.25,3.25,25.483333269755047,136.91666666666666
Chrysobalanaceae,Hirtella racemosa,-68.733,-13.633,24.86666663487752,191.5
Chrysobalanaceae,Hirtella racemosa,-64.586,5.493,26.09166653951009,247.41666666666666
Chrysobalanaceae,Hirtella racemosa,-64.493,5.878,25.858333428700764,238.25
Chrysobalanaceae,Hirtella racemosa,-64.313,5.558,25.99166663487752,225.41666666666666
Chrysobalanaceae,Hirtella racemosa,-58.812,3.192,26.77499993642171,141.5
Chrysobalanaceae,Hirtella racemosa,-91.309722,16.228139,25.141666730244953,197
Chrysobalanaceae,Hirtella racemosa,-67.111,3.971,27.541666666666668,245.75
Chrysobalanaceae,Hirtella racemosa,-67.09,3.956,27.56666660308838,256.6666666666667
Chrysobalanaceae,Hirtella racemosa,-66.963,3.722,27.38333336512248,270.8333333333333
Chrysobalanaceae,Hirtella racemosa,-66.905,4.058,27.641666730244953,256.5
Chrysobalanaceae,Hirtella racemosa,-66.717,4.083,27.4416667620341,263.0833333333333
Chrysobalanaceae,Hirtella racemosa,-66.517,4.183,27.52499993642171,233.25
Chrysobalanaceae,Hirtella racemosa,-66.467,4.133,27.49999984105428,264.6666666666667
Chrysobalanaceae,Hirtella racemosa,-66.433,4.083,27.141666571299236,249.08333333333334
Chrysobalanaceae,Hirtella racemosa,-66.3,4.7,27.608333269755047,252.41666666666666
Chrysobalanaceae,Hirtella racemosa,-56.568,4.53,26.633333047231037,179.75
Chrysobalanaceae,Hirtella racemosa,-72.458166,5.446657,24.6916667620341,259.0833333333333
Chrysobalanaceae,Hirtella racemosa,-71.894917,6.360389,23.541666507720947,189.08333333333334
Chrysobalanaceae,Hirtella racemosa,-67.8557,5.246378,27.791666825612385,212.66666666666666
Chrysobalanaceae,Hirtella racemosa,-91.31,16.228,25.141666730244953,197
Chrysobalanaceae,Hirtella racemosa,-41.2,-10.816667,22.90000009536743,39.333333333333336
Chrysobalanaceae,Hirtella racemosa,-52.9708,3.8558,25.333333333333332,235.08333333333334
Chrysobalanaceae,Hirtella racemosa,-94.435278,18.137778,26.133333047231037,234.58333333333334
Chrysobalanaceae,Hirtella racemosa,-61.65,8.57,26.391666571299236,130.83333333333334
Chrysobalanaceae,Hirtella racemosa,-61.33,8.42,26.208333333333332,149.75
Chrysobalanaceae,Hirtella racemosa,-35.691389,-6.963333,21.708333333333332,104.5
Chrysobalanaceae,Hirtella racemosa,-35.2325,-7.096389,24.95833381017049,96.41666666666667
Chrysobalanaceae,Hirtella racemosa,-35.125833,-6.838889,25.69166644414266,115.16666666666667
Chrysobalanaceae,Hirtella racemosa,-35.080278,-6.803333,25.825000127156574,122.66666666666667
Chrysobalanaceae,Hirtella racemosa,-34.978056,-7.114167,25.841666380564373,136
Chrysobalanaceae,Hirtella racemosa,-34.863056,-7.115,25.741666475931805,164.5
Chrysobalanaceae,Hirtella racemosa,-34.833889,-6.981111,NA,NA
Chrysobalanaceae,Hirtella racemosa,-90.416667,15.666667,25.56666660308838,348.8333333333333
Chrysobalanaceae,Hirtella racemosa,-58.65,6.4,NA,NA
Chrysobalanaceae,Hirtella racemosa,-59.18,5.33,26.39999993642171,201.41666666666666
Chrysobalanaceae,Hirtella racemosa,-59.9,5.95,26.150000254313152,169.16666666666666
Chrysobalanaceae,Hirtella racemosa,-58.95,7.65,26.766666412353516,162.83333333333334
Chrysobalanaceae,Hirtella racemosa,-58.86,7.61,26.866666793823242,155.75
Chrysobalanaceae,Hirtella racemosa,-58.61,6.41,NA,NA
Chrysobalanaceae,Hirtella racemosa,-60.25,7.75,25.941666920979817,156.16666666666666
Chrysobalanaceae,Hirtella racemosa,-59.7,8.3,26.25833336512248,180.33333333333334
Chrysobalanaceae,Hirtella racemosa,-59.66666,8.33333,26.36666711171468,151.66666666666666
Chrysobalanaceae,Hirtella racemosa,-59.48,5.16,24.575000127156574,175.41666666666666
Chrysobalanaceae,Hirtella racemosa,-59.08333,7.75,26.549999872843426,169.5
Chrysobalanaceae,Hirtella racemosa,-59.08,7.75,26.549999872843426,169.5
Chrysobalanaceae,Hirtella racemosa,-79.6,9,26.866666793823242,203.75
Chrysobalanaceae,Hirtella racemosa,-67.1,3.95,27.56666660308838,262.1666666666667
Chrysobalanaceae,Hirtella racemosa,-79.83444,9.17388,26.458333333333332,228.83333333333334
Chrysobalanaceae,Hirtella racemosa,-79.83444,9.17388,26.458333333333332,228.83333333333334
Chrysobalanaceae,Hirtella racemosa,-79.81944,9.16055,26.508333206176758,209
