familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Malvaceae,Huberodendron allenii,-83.454919,8.73059,25.733333110809326,300.75
Malvaceae,Huberodendron allenii,-83.580557,8.716667,24.63333336512248,255.83333333333334
Malvaceae,Huberodendron allenii,-83.45,8.71,NA,NA
Malvaceae,Huberodendron allenii,-83.525,8.616667,25.350000222524006,278.4166666666667
Malvaceae,Huberodendron allenii,-83.522222,8.616667,25.350000222524006,278.4166666666667
Malvaceae,Huberodendron allenii,-83.456111,8.729167,25.733333110809326,300.75
Malvaceae,Huberodendron allenii,-83.516667,8.566667,25.608333587646484,247.58333333333334
Malvaceae,Huberodendron allenii,-83.28472,8.73444,26.3166667620341,302.25
Malvaceae,Huberodendron allenii,-83.377779,8.772222,25.983333269755047,300.5
Malvaceae,Huberodendron allenii,-83.444445,8.722222,NA,NA
Malvaceae,Huberodendron allenii,-83.43,8.71,NA,NA
Malvaceae,Huberodendron allenii,-83.7,8.68,25.85000006357829,284.5
Malvaceae,Huberodendron allenii,-83.7,8.68,25.85000006357829,284.5
Malvaceae,Huberodendron allenii,-83.7,8.68,25.85000006357829,284.5
Malvaceae,Huberodendron allenii,-83.463101,8.726526,25.833333333333332,322
Malvaceae,Huberodendron allenii,-83.51,8.56,25.40833314259847,247.75
Malvaceae,Huberodendron allenii,-83.516667,8.566667,25.608333587646484,247.58333333333334
Malvaceae,Huberodendron allenii,-83.68,8.67,25.791666666666668,252.33333333333334
Malvaceae,Huberodendron allenii,-83.4525,8.7325,25.733333110809326,300.75
Malvaceae,Huberodendron allenii,-83.44,8.73,25.925000031789143,295.8333333333333
Malvaceae,Huberodendron allenii,-83.44,8.73,25.925000031789143,295.8333333333333
Malvaceae,Huberodendron allenii,-83.52,8.61,25.39999993642171,261.0833333333333
Malvaceae,Huberodendron allenii,-83.525,8.616667,25.350000222524006,278.4166666666667
Malvaceae,Huberodendron allenii,-83.44,8.73,25.925000031789143,295.8333333333333
Malvaceae,Huberodendron allenii,-83.45611,8.72916,25.733333110809326,300.75
Malvaceae,Huberodendron allenii,-83.44,8.72,26.199999968210857,272.8333333333333
Malvaceae,Huberodendron allenii,-83.51,8.61,25.59166685740153,257.5
