familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Humiriaceae,Humiriastrum diguense,-83.662725,9.119005,23.69166660308838,275.25
Humiriaceae,Humiriastrum diguense,-76.96666667,3.98333333,26.333333492279053,511.5833333333333
Humiriaceae,Humiriastrum diguense,-77.13333333,3.93333333,26.049999713897705,543.0833333333334
Humiriaceae,Humiriastrum diguense,-78.94444444,9.31111111,24.5666667620341,231.25
Humiriaceae,Humiriastrum diguense,-78.93138889,9.27722222,24.958333333333332,190.75
Humiriaceae,Humiriastrum diguense,-83.01,8.82,22.71666653951009,267.75
Humiriaceae,Humiriastrum diguense,-82.96111111,9.025,17.800000031789143,262.9166666666667
Humiriaceae,Humiriastrum diguense,-80.65805556,8.82444444,25.74166663487752,247.25
Humiriaceae,Humiriastrum diguense,-80.7075,8.88444444,25.93333355585734,255.75
Humiriaceae,Humiriastrum diguense,-80.65472222,8.835,26.016666730244953,267.5833333333333
Humiriaceae,Humiriastrum diguense,-83.43,8.72,25.9333332379659,258.0833333333333
Humiriaceae,Humiriastrum diguense,-83.18,8.67,25.325000127156574,255.08333333333334
Humiriaceae,Humiriastrum diguense,-83.51666667,8.56666667,25.608333587646484,247.58333333333334
Humiriaceae,Humiriastrum diguense,-83.46,8.53,23.25,278.4166666666667
Humiriaceae,Humiriastrum diguense,-83.51,8.56,25.40833314259847,247.75
Humiriaceae,Humiriastrum diguense,-83.51638889,8.56638889,25.40833314259847,247.75
Humiriaceae,Humiriastrum diguense,-83.22222222,8.68611111,25.541666666666668,242.91666666666666
Humiriaceae,Humiriastrum diguense,-78.533333,0.916667,23.316666920979817,209.58333333333334
Humiriaceae,Humiriastrum diguense,-78.64111111,-4.22666667,21.71666653951009,126.75
Humiriaceae,Humiriastrum diguense,-83.53,8.73,25.008333206176758,289.5833333333333
Humiriaceae,Humiriastrum diguense,-83.6,8.73,25.12500015894572,244.66666666666666
Humiriaceae,Humiriastrum diguense,-83.59,8.67,24.3166667620341,261.0833333333333
Humiriaceae,Humiriastrum diguense,-83.56666667,8.7,25.5,239.91666666666666
Humiriaceae,Humiriastrum diguense,-83.56,8.69,25.424999872843426,246.25
Humiriaceae,Humiriastrum diguense,-83.53,8.66,25.949999968210857,228.91666666666666
Humiriaceae,Humiriastrum diguense,-83.71388889,8.6608333300000009,26.18333355585734,301
Humiriaceae,Humiriastrum diguense,-83.36,8.76,25.891666730244953,284.5
Humiriaceae,Humiriastrum diguense,-83.44444444,8.72222222,NA,NA
Humiriaceae,Humiriastrum diguense,-83.37777778,8.77222222,25.983333269755047,300.5
Humiriaceae,Humiriastrum diguense,-78.4,1,20.0583332379659,211
Humiriaceae,Humiriastrum diguense,-83.61,9.28,23.333333174387615,241.83333333333334
Humiriaceae,Humiriastrum diguense,-79.618777,9.030983,26.574999809265137,195.91666666666666
Humiriaceae,Humiriastrum diguense,-78.233327,1.09994,20.300000190734863,249.08333333333334
Humiriaceae,Humiriastrum diguense,-77.1083,3.7667,26.22500006357829,404
Humiriaceae,Humiriastrum diguense,-84.1,10.39,25.291666825612385,304.25
Humiriaceae,Humiriastrum diguense,-84.1,10.39,25.291666825612385,304.25
Humiriaceae,Humiriastrum diguense,-82.94,9.38,21.24999984105428,270.1666666666667
Humiriaceae,Humiriastrum diguense,-83.19166667,9.89166667,24.208333174387615,258.5833333333333
Humiriaceae,Humiriastrum diguense,-78.4,1,20.0583332379659,211
Humiriaceae,Humiriastrum diguense,-78.25,1.033333,21.300000190734863,254
Humiriaceae,Humiriastrum diguense,-83.35,8.86,26.483333269755047,303.4166666666667
Humiriaceae,Humiriastrum diguense,-77.7,7.75,22.34166653951009,227.41666666666666
Humiriaceae,Humiriastrum diguense,-78.98333333,9.35,24.875,255.08333333333334
Humiriaceae,Humiriastrum diguense,-79.26666667,9.3,23.300000190734863,224.16666666666666
Humiriaceae,Humiriastrum diguense,-78.26666667,1.1,22.18333339691162,300.6666666666667
Humiriaceae,Humiriastrum diguense,-83.59,8.66,24.11666663487752,272.25
Humiriaceae,Humiriastrum diguense,-83.56,8.66,25.14999993642171,267.3333333333333
Humiriaceae,Humiriastrum diguense,-83.58,8.46,25.71666653951009,305.5833333333333
Humiriaceae,Humiriastrum diguense,-83.49,9.49,6.350000063578288,179.91666666666666
Humiriaceae,Humiriastrum diguense,-83.59,8.72,24.71666653951009,250.66666666666666
Humiriaceae,Humiriastrum diguense,-83.71,8.66,26.18333355585734,301
Humiriaceae,Humiriastrum diguense,-83.52,8.7,25.516666571299236,242.16666666666666
Humiriaceae,Humiriastrum diguense,-83.51666667,8.56666667,25.608333587646484,247.58333333333334
Humiriaceae,Humiriastrum diguense,-77.783333,-1.816667,22.40833314259847,331.25
Humiriaceae,Humiriastrum diguense,-80,9.28333333,26.34166669845581,207.08333333333334
Humiriaceae,Humiriastrum diguense,-79.37472222,9.22,22.25,280.4166666666667
Humiriaceae,Humiriastrum diguense,-80.67777778,8.8375,25.64999993642171,251.75
