familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Hymenolobium mesoamericanum,-79.74066954,9.16886514,25.891666571299236,214.25
Fabaceae,Hymenolobium mesoamericanum,-85.0405555,10.8369444,26.37500015894572,231.66666666666666
Fabaceae,Hymenolobium mesoamericanum,-83.6833333,9.9,22.84166669845581,272.5
Fabaceae,Hymenolobium mesoamericanum,-83.6,10.3333333,26.216667016347248,302.5
Fabaceae,Hymenolobium mesoamericanum,-83.91666,11.9,25.950000127156574,291.6666666666667
Fabaceae,Hymenolobium mesoamericanum,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Hymenolobium mesoamericanum,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Fabaceae,Hymenolobium mesoamericanum,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Hymenolobium mesoamericanum,-84,10.5,26.02499993642171,310.25
Fabaceae,Hymenolobium mesoamericanum,-83.9519,10.0114,17.35000006357829,334.6666666666667
Fabaceae,Hymenolobium mesoamericanum,-84,10.5,26.02499993642171,310.25
Fabaceae,Hymenolobium mesoamericanum,-83.85,10.1833333,24.391666253407795,300.75
Fabaceae,Hymenolobium mesoamericanum,-83.9666667,10.3833333,26.016666571299236,320.6666666666667
Fabaceae,Hymenolobium mesoamericanum,-84.1,10.336111,24.075000127156574,275.5
Fabaceae,Hymenolobium mesoamericanum,-85.408334,11.033333,24.641666571299236,230.25
Fabaceae,Hymenolobium mesoamericanum,-84.058333,10.402778,25.59166685740153,309.5833333333333
Fabaceae,Hymenolobium mesoamericanum,-83.019777,9.660515,25.24999984105428,273.5833333333333
Fabaceae,Hymenolobium mesoamericanum,-83.86075,10.192028,24.74166711171468,312.4166666666667
Fabaceae,Hymenolobium mesoamericanum,-83.971389,10.389722,26.050000031789143,316.3333333333333
Fabaceae,Hymenolobium mesoamericanum,-85.321333,10.965833,24.39999993642171,253.16666666666666
Fabaceae,Hymenolobium mesoamericanum,-84.077776,10.325555,23.71666669845581,291
Fabaceae,Hymenolobium mesoamericanum,-84.916667,13.133333,25.18333355585734,182.08333333333334
Fabaceae,Hymenolobium mesoamericanum,-84.916667,13.15,25.166666825612385,183.25
Fabaceae,Hymenolobium mesoamericanum,-84.1,10.39,25.291666825612385,304.25
Fabaceae,Hymenolobium mesoamericanum,-83.95,14.3833333,24.77500009536743,225.91666666666666
Fabaceae,Hymenolobium mesoamericanum,-84,10.46666,26.050000031789143,304.1666666666667
Fabaceae,Hymenolobium mesoamericanum,-83.89,10.35,25.97499990463257,310.0833333333333
Fabaceae,Hymenolobium mesoamericanum,-84.4666667,12.1166667,25.441666920979817,208.33333333333334
Fabaceae,Hymenolobium mesoamericanum,-84.9166667,13.1333333,25.18333355585734,182.08333333333334
Fabaceae,Hymenolobium mesoamericanum,-84.9166667,13.15,25.166666825612385,183.25
Fabaceae,Hymenolobium mesoamericanum,-84.4666667,11.0416666,25.983333269755047,259.1666666666667
Fabaceae,Hymenolobium mesoamericanum,-84.1,10.33611,24.075000127156574,275.5
Fabaceae,Hymenolobium mesoamericanum,-85.4,11.03,24.61666663487752,230.91666666666666
Fabaceae,Hymenolobium mesoamericanum,-80.68,8.9286111,26.31666660308838,255.16666666666666
Fabaceae,Hymenolobium mesoamericanum,-84.1,10.33,23.8166667620341,297.4166666666667
Fabaceae,Hymenolobium mesoamericanum,-85.4,11.03,24.61666663487752,230.91666666666666
Fabaceae,Hymenolobium mesoamericanum,-85.2539,12.2814,24.141666571299236,148.58333333333334
Fabaceae,Hymenolobium mesoamericanum,-85,12.5,23.55833355585734,166.66666666666666
Fabaceae,Hymenolobium mesoamericanum,-84.012200000000007,10.4233,25.874999682108562,310.5
Fabaceae,Hymenolobium mesoamericanum,-83.5653,10.4158,25.858332951863606,304.6666666666667
Fabaceae,Hymenolobium mesoamericanum,-80.6669,8.8131,25.300000031789143,258.9166666666667
