familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Menispermaceae,Hyperbaena tonduzii,-85.45,10.14,26.59166669845581,183.33333333333334
Menispermaceae,Hyperbaena tonduzii,-83.9519,10.0114,17.35000006357829,334.6666666666667
Menispermaceae,Hyperbaena tonduzii,-87.65,13.28333,25.875,146.5
Menispermaceae,Hyperbaena tonduzii,-88.86639,13.73694,22.983333269755047,163.91666666666666
Menispermaceae,Hyperbaena tonduzii,-88.6819,13.7825,25.041666507720947,167
Menispermaceae,Hyperbaena tonduzii,-88.291667,13.441667,21.658333619435627,162.25
Menispermaceae,Hyperbaena tonduzii,-88.28333,13.43333,17.541666507720947,164.41666666666666
Menispermaceae,Hyperbaena tonduzii,-88.28,13.43,17.541666507720947,164.41666666666666
Menispermaceae,Hyperbaena tonduzii,-80.48333,7.26666,26.85000006357829,175
Menispermaceae,Hyperbaena tonduzii,-85.1,9.58,26.108333269755047,187.66666666666666
Menispermaceae,Hyperbaena tonduzii,-85.3,10.33333,27.15833330154419,146.66666666666666
Menispermaceae,Hyperbaena tonduzii,-85.3,10.34,27.0666667620341,147.16666666666666
Menispermaceae,Hyperbaena tonduzii,-89.26972,13.49722,25.958333174387615,152.33333333333334
Menispermaceae,Hyperbaena tonduzii,-85.35277,10.35,27.208333333333332,164.83333333333334
Menispermaceae,Hyperbaena tonduzii,-85.13527,10.46,27.27499993642171,164
Menispermaceae,Hyperbaena tonduzii,-85.3,10.33,27.15833330154419,146.66666666666666
Menispermaceae,Hyperbaena tonduzii,-85.3,10.34,27.0666667620341,147.16666666666666
Menispermaceae,Hyperbaena tonduzii,-85.25,10.5,27.266666571299236,168.83333333333334
Menispermaceae,Hyperbaena tonduzii,-86.33333,13.26666,20.783332983652752,100.08333333333333
Menispermaceae,Hyperbaena tonduzii,-86.33333,13.26666,20.783332983652752,100.08333333333333
Menispermaceae,Hyperbaena tonduzii,-80.25,7.5,25.77500009536743,147.41666666666666
Menispermaceae,Hyperbaena tonduzii,-85.508946,9.865278,NA,NA
Menispermaceae,Hyperbaena tonduzii,-85.5,9.86,26.87500015894572,153.58333333333334
Menispermaceae,Hyperbaena tonduzii,-85.3,10.53333,27.166666666666668,145.25
Menispermaceae,Hyperbaena tonduzii,-85.372222,10.338889,27.25,164.75
Menispermaceae,Hyperbaena tonduzii,-85.37222,10.50555,27.266666571299236,150.66666666666666
Menispermaceae,Hyperbaena tonduzii,-85.350001,10.35,27.208333333333332,164.83333333333334
Menispermaceae,Hyperbaena tonduzii,-85.35,10.35,27.075000127156574,158.5
Menispermaceae,Hyperbaena tonduzii,-85.1,9.58,26.108333269755047,187.66666666666666
Menispermaceae,Hyperbaena tonduzii,-85.1,9.58333,26.108333269755047,187.66666666666666
Menispermaceae,Hyperbaena tonduzii,-85.1,9.583333,26.108333269755047,187.66666666666666
Menispermaceae,Hyperbaena tonduzii,-89.35,13.85,24.550000190734863,145.41666666666666
Menispermaceae,Hyperbaena tonduzii,-85.3,10.32,27.208333333333332,153.5
Menispermaceae,Hyperbaena tonduzii,-85.352778,10.349167,27.208333333333332,164.83333333333334
Menispermaceae,Hyperbaena tonduzii,-85.35,10.34,27.233333269755047,157.66666666666666
Menispermaceae,Hyperbaena tonduzii,-84.969444,9.938889,26.84166685740153,154.25
Menispermaceae,Hyperbaena tonduzii,-84.96,9.93,26.658332983652752,161.25
Menispermaceae,Hyperbaena tonduzii,-84.208333,9.780556,23.19166660308838,182.91666666666666
Menispermaceae,Hyperbaena tonduzii,-84.2,9.78,23.03333330154419,177.41666666666666
Menispermaceae,Hyperbaena tonduzii,-84.195278,9.780556,23.03333330154419,177.41666666666666
Menispermaceae,Hyperbaena tonduzii,-84.19,9.78,22.99999984105428,186.83333333333334
Menispermaceae,Hyperbaena tonduzii,-89.93333,13.81666,23.78333330154419,153.91666666666666
Menispermaceae,Hyperbaena tonduzii,-89.93333,13.81667,23.74999984105428,152.33333333333334
Menispermaceae,Hyperbaena tonduzii,-84.195278,9.780556,23.03333330154419,177.41666666666666
Menispermaceae,Hyperbaena tonduzii,-84.19,9.78,22.99999984105428,186.83333333333334
Menispermaceae,Hyperbaena tonduzii,-84.897778,9.771667,27.14999993642171,149.91666666666666
Menispermaceae,Hyperbaena tonduzii,-84.89,9.77,27.25,152
Menispermaceae,Hyperbaena tonduzii,-84.563889,9.822222,26.133333206176758,165.41666666666666
Menispermaceae,Hyperbaena tonduzii,-89.16667,13.48333,26.30833339691162,153.41666666666666
Menispermaceae,Hyperbaena tonduzii,-89.16666,13.48333,26.300000031789143,152.75
Menispermaceae,Hyperbaena tonduzii,-88.06667,13.3,26.625,150.08333333333334
Menispermaceae,Hyperbaena tonduzii,-88.06666,13.3,26.59166653951009,152.41666666666666
