familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Inga barbourii,-94.998531,17.30515,25.550000031789143,222.25
Fabaceae,Inga barbourii,-83.62,9.89,21.041666666666668,243.33333333333334
Fabaceae,Inga barbourii,-94.58,17.25,25.300000031789143,305.9166666666667
Fabaceae,Inga barbourii,-85.65,13.26666,20.633333047231037,162.33333333333334
Fabaceae,Inga barbourii,-94.38333,17.35,25.208333174387615,298.5833333333333
Fabaceae,Inga barbourii,-80.11,8.62166,22.533333619435627,198.41666666666666
Fabaceae,Inga barbourii,-75.035278,6.106667,20.166666666666668,263.5833333333333
Fabaceae,Inga barbourii,-78.96666,9.33333,24.858333269755047,237.91666666666666
Fabaceae,Inga barbourii,-85.11,10.96,26.541666666666668,225
Fabaceae,Inga barbourii,-84.95,10.81,26.25833336512248,241.66666666666666
Fabaceae,Inga barbourii,-84.53,9.77,25.616666952768963,203
Fabaceae,Inga barbourii,-84.51666,10.2,21.05833339691162,278.1666666666667
Fabaceae,Inga barbourii,-84.28333,10.36666,24.5,287.5
Fabaceae,Inga barbourii,-85.03333,13.75,22.00833336512248,188.25
Fabaceae,Inga barbourii,-84.2069,9.6242,23.30833339691162,237.5
Fabaceae,Inga barbourii,-85.495722,12.941722,22.00000015894572,163.16666666666666
