familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Inga capitata,-74.93075,-9.89881,26.21666653951009,158.58333333333334
Fabaceae,Inga capitata,-73.14047,-4.05381,26.18333339691162,221.33333333333334
Fabaceae,Inga capitata,-66.416667,10.083333,22.78333330154419,92
Fabaceae,Inga capitata,-46.621705,-23.647025,18.550000190734863,122.5
Fabaceae,Inga capitata,-39.528611,-15.158056,22.975000381469727,107.08333333333333
Fabaceae,Inga capitata,-56.2,4.71,26.71666653951009,180.08333333333334
Fabaceae,Inga capitata,-49.670213,-3.778404,26.87500015894572,201.91666666666666
Fabaceae,Inga capitata,-52.53,-5.64861,24.61666663487752,156
Fabaceae,Inga capitata,-59.922853,-2.963633,26.458333492279053,191.83333333333334
Fabaceae,Inga capitata,-58.65,6.4,NA,NA
Fabaceae,Inga capitata,-82.948815,8.732481,21.208333333333332,244.75
Fabaceae,Inga capitata,-61.46,3.27,26.883333206176758,161.66666666666666
Fabaceae,Inga capitata,-68.897297,10.156975,25.791666825612385,97.16666666666667
Fabaceae,Inga capitata,-51.32,3.6,25.88333336512248,258.1666666666667
Fabaceae,Inga capitata,-52.680104,4.088079,25.391666730244953,259.9166666666667
Fabaceae,Inga capitata,-37.411522,-11.396273,25.18333355585734,146.75
Fabaceae,Inga capitata,-43.261967,-22.917947,23.39999993642171,102.5
Fabaceae,Inga capitata,-52,1.45,25.96666653951009,201.75
Fabaceae,Inga capitata,-39.05,-14.32,23.916666507720947,182.5
Fabaceae,Inga capitata,-39,-18,NA,NA
Fabaceae,Inga capitata,-77.7183334,-3.9166667,26.675000031789143,191.16666666666666
Fabaceae,Inga capitata,-77.7,-3.916667,26.64999993642171,192.41666666666666
Fabaceae,Inga capitata,-77.7,-3.91666,26.666666666666668,192.58333333333334
Fabaceae,Inga capitata,-73.77583,-3.90111,26.391666412353516,222.66666666666666
Fabaceae,Inga capitata,-61.508739,6.442518,25.916666507720947,163.5
Fabaceae,Inga capitata,-77.66666,-3.83333,26.383333206176758,197.41666666666666
Fabaceae,Inga capitata,-75.753191,-0.271305,25.28333346048991,258.4166666666667
Fabaceae,Inga capitata,-67.16666,-11.3,26.24166663487752,139
Fabaceae,Inga capitata,-65.83333,-11.08333,27.008333683013916,141
Fabaceae,Inga capitata,-52.7,4.03,25.6916667620341,249.58333333333334
Fabaceae,Inga capitata,-41.806142,-19.722831,21.916666984558105,100.33333333333333
Fabaceae,Inga capitata,-77.729889,-3.850722,26.64999993642171,191.25
Fabaceae,Inga capitata,-64.41,6.25,26.041666507720947,204.83333333333334
Fabaceae,Inga capitata,-73.4508333,-4.2202778,26.399999777475994,211.83333333333334
Fabaceae,Inga capitata,-69.33333,-12.83333,25.22499990463257,211.25
Fabaceae,Inga capitata,-63.05,-10.183333,25.324999650319416,167.91666666666666
Fabaceae,Inga capitata,-53,5.33,25.75,240.33333333333334
Fabaceae,Inga capitata,-45.249374,-3.491667,26.949999809265137,157
Fabaceae,Inga capitata,-77.6,-1.06666,23.958333174387615,355.3333333333333
Fabaceae,Inga capitata,-74.965387,-9.379173,26.583333333333332,213.91666666666666
Fabaceae,Inga capitata,-63.35,0.8,26.708333333333332,189.33333333333334
Fabaceae,Inga capitata,-52.517,-4.817,24.541666984558105,142.75
Fabaceae,Inga capitata,-40.1466666,-19.3575,23.625,98.5
Fabaceae,Inga capitata,-39.889187,-19.110168,23.69166660308838,102.33333333333333
Fabaceae,Inga capitata,-77.01666,-0.43333,24.891666571299236,297.5
Fabaceae,Inga capitata,-59,-1,26.35000006357829,188.58333333333334
Fabaceae,Inga capitata,-40.070879,-19.151377,23.5666667620341,99.75
Fabaceae,Inga capitata,-76.650996,1.151954,23.791666507720947,354.3333333333333
Fabaceae,Inga capitata,-65.307319,-9.740676,26.425000031789143,140.66666666666666
Fabaceae,Inga capitata,-65.166667,-9.716667,26.550000349680584,145.16666666666666
Fabaceae,Inga capitata,-56.3,3.36,25.749999682108562,181.5
Fabaceae,Inga capitata,-49.91666,0.98333,NA,NA
Fabaceae,Inga capitata,-49.75,-0.8,26.541666507720947,225.91666666666666
Fabaceae,Inga capitata,-77.047282,-1.649172,24.68333355585734,319.6666666666667
Fabaceae,Inga capitata,-69.11666,-11.16666,25,136.08333333333334
Fabaceae,Inga capitata,-69.08333,-11.41666,24.991666793823242,139.83333333333334
Fabaceae,Inga capitata,-68.019033,-15.564573,24.3166667620341,129.58333333333334
Fabaceae,Inga capitata,-77.6,-1.06666,23.958333174387615,355.3333333333333
Fabaceae,Inga capitata,-77.08333,-0.33333,24.80833339691162,294.0833333333333
Fabaceae,Inga capitata,-76.91666,-1.25,24.608333428700764,320.4166666666667
Fabaceae,Inga capitata,-58.63333333,1.65,26.25000015894572,148
Fabaceae,Inga capitata,-85.015461,10.897654,26.583333174387615,223.16666666666666
Fabaceae,Inga capitata,-77.618214,-1.06654,23.949999968210857,355.1666666666667
Fabaceae,Inga capitata,-77.6,-1.06666,23.958333174387615,355.3333333333333
Fabaceae,Inga capitata,-76.8166667,-1.7166667,24.858333269755047,305.75
Fabaceae,Inga capitata,-76.81666,-1.71666,24.87499984105428,305.5
Fabaceae,Inga capitata,-76.51175,-8.18528,25.28333314259847,217.16666666666666
Fabaceae,Inga capitata,-64.769475,-17.12057,25.21666653951009,262.9166666666667
Fabaceae,Inga capitata,-78.75,-3.83333,23.85000006357829,149.66666666666666
Fabaceae,Inga capitata,-39.61375,-15.23497,22.149999618530273,100.75
Fabaceae,Inga capitata,-69.66666,-13.25,24.858333746592205,290.5
Fabaceae,Inga capitata,-65.7,-9.867,26.450000127156574,148.91666666666666
Fabaceae,Inga capitata,-52.36,4.3,24.12499984105428,275.0833333333333
Fabaceae,Inga capitata,-39.15,-14.68,24.583333651224773,153.25
Fabaceae,Inga capitata,-76.46666,-0.75,24.94166660308838,283.5833333333333
Fabaceae,Inga capitata,-76.23333,-0.83333,25.15000009536743,271.6666666666667
Fabaceae,Inga capitata,-67.874,-9.957,25.28333330154419,140.41666666666666
Fabaceae,Inga capitata,-40.68306,-20.41306,20.25833336512248,106
Fabaceae,Inga capitata,-39.08,-15.15,24.208333174387615,150.33333333333334
Fabaceae,Inga capitata,-76.43333,-0.65,25.108333587646484,277.75
Fabaceae,Inga capitata,-76.3,-0.83333,24.949999968210857,277.0833333333333
Fabaceae,Inga capitata,-76.21666,-0.93333,25.208333492279053,272.25
Fabaceae,Inga capitata,-76.15,-0.9166667,25.241666793823242,269.5
Fabaceae,Inga capitata,-71.31666,-8.43333,24.875,169.91666666666666
Fabaceae,Inga capitata,-68.133,-10.5,25.324999968210857,139.58333333333334
Fabaceae,Inga capitata,-67.98333,-11.73333,25.791666825612385,139.41666666666666
Fabaceae,Inga capitata,-39.083,-15.15,24.208333174387615,150.33333333333334
Fabaceae,Inga capitata,-78.31666,-4.91666,24.991666475931805,175.75
Fabaceae,Inga capitata,-76.2,-1.05,25.09166669845581,275.25
Fabaceae,Inga capitata,-41.13444,-20.33972,18.78333314259847,106.66666666666667
Fabaceae,Inga capitata,-69.8,-9.112,24.8166667620341,178.91666666666666
Fabaceae,Inga capitata,-68.73694,-12.65638,25.43333355585734,165.66666666666666
Fabaceae,Inga capitata,-78.33805,-5.05666,25.649999777475994,168
Fabaceae,Inga capitata,-69.17,-14.22,19.25,155
Fabaceae,Inga capitata,-39.52861,-15.15805,22.975000381469727,107.08333333333333
Fabaceae,Inga capitata,-78.88333,-5.07722,18.258333206176758,111.66666666666667
Fabaceae,Inga capitata,-40.749444,-20.635278,23.483333428700764,96.66666666666667
Fabaceae,Inga capitata,-39.00694,-14.10583,24.516666730244953,199.08333333333334
Fabaceae,Inga capitata,-70.95,-10.2,24.81666660308838,156
Fabaceae,Inga capitata,-69.6,-13.13333,25.09999958674113,271.5
Fabaceae,Inga capitata,-73.89361,-7.94444,25.4416667620341,164.25
Fabaceae,Inga capitata,-69.28333,-12.83333,25.266666730244953,204.75
Fabaceae,Inga capitata,-39.7,-14.93333,21.55833339691162,99.91666666666667
Fabaceae,Inga capitata,-39.45917,-13.89083,21.358333110809326,147.33333333333334
Fabaceae,Inga capitata,-39.56528,-15.39167,20.34166669845581,106.16666666666667
Fabaceae,Inga capitata,-39.34167,-15.17361,20.833333333333332,134.16666666666666
Fabaceae,Inga capitata,-73.262200000000007,-12.6808,22.208333174387615,127.25
Fabaceae,Inga capitata,-55.824722,-9.457222,26.666666507720947,183.5
Fabaceae,Inga capitata,-55.4927,-9.2725,26.074999650319416,185.66666666666666
Fabaceae,Inga capitata,-40.208611,-14.333056,19.375,58.666666666666664
Fabaceae,Inga capitata,-39.715278,-13.575556,20.508333524068195,121
Fabaceae,Inga capitata,-36.430556,-9.254444,20.87499984105428,107.5
Fabaceae,Inga capitata,-35.305556,-6.122778,25.791666507720947,102
Fabaceae,Inga capitata,-35.095,-6.786667,25.27499993642171,121.91666666666667
Fabaceae,Inga capitata,-34.969167,-7.461389,24.900000254313152,148.25
Fabaceae,Inga capitata,-40.25,-14.351944,19.52500009536743,55.916666666666664
Fabaceae,Inga capitata,-40.120833,-14.407222,18.550000031789143,70.25
Fabaceae,Inga capitata,-39.691389,-13.579167,21.3083332379659,125.83333333333333
Fabaceae,Inga capitata,-39.465833,-13.916111,21.03333346048991,148.08333333333334
Fabaceae,Inga capitata,-46.854139,1.057472,NA,NA
