familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Inga edulis,-159.823329,-21.213882,24.03333330154419,168.25
Fabaceae,Inga edulis,-151.349934,-22.44998,22.825000127156574,150.41666666666666
Fabaceae,Inga edulis,-151.021758,-16.722323,24.541666984558105,152
Fabaceae,Inga edulis,-149.87612,-17.50839,23.899999618530273,144.91666666666666
Fabaceae,Inga edulis,-149.580226,-17.54629,25.0666667620341,147.5
Fabaceae,Inga edulis,-147.65,-23.85,22.11666663487752,134.5
Fabaceae,Inga edulis,-90.084313,15.56127,20.449999968210857,288.1666666666667
Fabaceae,Inga edulis,-87.465122,15.77069,26.93333355585734,215.58333333333334
Fabaceae,Inga edulis,-84.807099,13.73479,25.75,187.41666666666666
Fabaceae,Inga edulis,-77.6,-1.06666,23.958333174387615,355.3333333333333
Fabaceae,Inga edulis,-75.2533333,-10.3558333,24.59999990463257,183.66666666666666
Fabaceae,Inga edulis,-69.08333,-11.41666,24.991666793823242,139.83333333333334
Fabaceae,Inga edulis,-67.554028,5.521335,27.208333333333332,217.41666666666666
Fabaceae,Inga edulis,-66.1666667,0.8333333,26.516666730244953,243.33333333333334
Fabaceae,Inga edulis,-56.7902778,2.3566667,26.208333492279053,159.25
Fabaceae,Inga edulis,-55.91194,4.12639,26.266666571299236,187.75
Fabaceae,Inga edulis,-39.696111,-14.735,21.19166660308838,104.58333333333333
Fabaceae,Inga edulis,8.870133,3.690181,22.02500009536743,227.66666666666666
Fabaceae,Inga edulis,11,0.5,23.949999968210857,166.75
Fabaceae,Inga edulis,11.36666,2.13333,24.058333079020183,141.91666666666666
Fabaceae,Inga edulis,-48.835028,-25.477154,21.06666644414266,144.75
Fabaceae,Inga edulis,-78.1719056,2.9702694,NA,NA
Fabaceae,Inga edulis,-59.8,3.35,27.800000190734863,133.41666666666666
Fabaceae,Inga edulis,-72.7958639,-1.4568861,26.06666660308838,225.41666666666666
Fabaceae,Inga edulis,-48.4343,-1.462354,26.449999968210857,223.41666666666666
Fabaceae,Inga edulis,-70.4738639,-3.6952167,26.46666653951009,248
Fabaceae,Inga edulis,-73.643067,4.15091,24.28333330154419,284.25
Fabaceae,Inga edulis,-48.66226,-26.912,20.125,137.5
Fabaceae,Inga edulis,-52.55,2.08,25.650000254313152,202.5
Fabaceae,Inga edulis,-77.3,-2.23,24.68333371480306,284.25
Fabaceae,Inga edulis,-61.685201,8.1726,25.016666571299236,132.66666666666666
Fabaceae,Inga edulis,-77.283075,4.9550639,25.97500006357829,545.5
Fabaceae,Inga edulis,-61.73,8.23,25.22499990463257,138.83333333333334
Fabaceae,Inga edulis,-67,-10,25.774999777475994,150.33333333333334
Fabaceae,Inga edulis,-65.269505,-10.244633,26.68333339691162,146.25
Fabaceae,Inga edulis,-63.183333,3.55,25.6916667620341,222.25
Fabaceae,Inga edulis,-78.15527,-4.46305,26.25833336512248,173.91666666666666
Fabaceae,Inga edulis,-66.482151,10.08557,25.308333079020183,115.58333333333333
Fabaceae,Inga edulis,-69.96666,-4.16666,26.63333336512248,253.16666666666666
Fabaceae,Inga edulis,-60.035697,-2.600227,26.483333746592205,196.5
