familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Inga herrerae,-84.398611,9.8875,22.31666660308838,195.33333333333334
Fabaceae,Inga herrerae,-84.266667,9.922222,22.516666730244953,173.08333333333334
Fabaceae,Inga herrerae,-85.354167,10.786111,21.091666380564373,186.08333333333334
Fabaceae,Inga herrerae,-85.354167,10.786111,21.091666380564373,186.08333333333334
Fabaceae,Inga herrerae,-84.833333,10.283333,21.6833332379659,188.16666666666666
Fabaceae,Inga herrerae,-85.33375,10.762583,22.27499993642171,170.91666666666666
Fabaceae,Inga herrerae,-85.25,10.75,23.408333619435627,195.41666666666666
Fabaceae,Inga herrerae,-85.35,10.78,21.708333333333332,180
Fabaceae,Inga herrerae,-85.35,10.78,21.708333333333332,180
Fabaceae,Inga herrerae,-85.28,10.75,22.541666666666668,217.5
Fabaceae,Inga herrerae,-84.829881,10.263111,22.69166660308838,206.58333333333334
Fabaceae,Inga herrerae,-84.398611,9.8875,22.31666660308838,195.33333333333334
Fabaceae,Inga herrerae,-84.27,9.9,22.03333330154419,169.66666666666666
