familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Inga oerstediana,-64.954,6.323,27.141666730244953,193.16666666666666
Fabaceae,Inga oerstediana,-64.922,6.08,27.016666412353516,210.66666666666666
Fabaceae,Inga oerstediana,-76.023278,4.891556,20.708333492279053,161.33333333333334
Fabaceae,Inga oerstediana,-76.023083,4.900806,18.34999990463257,178.41666666666666
Fabaceae,Inga oerstediana,-76.084142,3.71967,12.566666603088379,138.41666666666666
Fabaceae,Inga oerstediana,-75.659708,4.699378,18.416666507720947,185.25
Fabaceae,Inga oerstediana,-92.97212,16.753467,23.84166669845581,99.08333333333333
Fabaceae,Inga oerstediana,-92.970919,16.7553,23.84166669845581,99.08333333333333
Fabaceae,Inga oerstediana,-73.408083,11.190444,27.541666825612385,92.91666666666667
Fabaceae,Inga oerstediana,-75.6075,1.605833,25.69166660308838,273.6666666666667
Fabaceae,Inga oerstediana,-72.8667,3.8811,26.583333174387615,229.33333333333334
Fabaceae,Inga oerstediana,-101.12,17.85,21.266666571299236,107.66666666666667
Fabaceae,Inga oerstediana,-79.9106,8.5714,27.283333778381348,160.33333333333334
Fabaceae,Inga oerstediana,-79.7,9.11666,26.625,203.58333333333334
Fabaceae,Inga oerstediana,-76.5,3.75,19.62500015894572,133.41666666666666
Fabaceae,Inga oerstediana,-75.7837,5.79332,16.800000031789143,192.33333333333334
Fabaceae,Inga oerstediana,-75.762,4.6737,21.433333079020183,161.25
Fabaceae,Inga oerstediana,-87.1667,14.25,21.450000286102295,86.41666666666667
Fabaceae,Inga oerstediana,-78.1869,-1.4628,18.10000006357829,196.5
Fabaceae,Inga oerstediana,-83.43,9.85,20.041666507720947,247
Fabaceae,Inga oerstediana,-96,15,NA,NA
Fabaceae,Inga oerstediana,-74.5097,4.38,21.40000009536743,146.83333333333334
Fabaceae,Inga oerstediana,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Inga oerstediana,-82.9,8.233333,25.608333110809326,276.6666666666667
Fabaceae,Inga oerstediana,-82.25,8.5,26.21666653951009,254.41666666666666
Fabaceae,Inga oerstediana,-94.55,17.27,25.199999809265137,304.5833333333333
Fabaceae,Inga oerstediana,-83.5,8.71,25.30833339691162,264.4166666666667
Fabaceae,Inga oerstediana,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Inga oerstediana,-97.58,20.05,20.375,181.25
Fabaceae,Inga oerstediana,-70.25,-12,24.558333079020183,225.75
Fabaceae,Inga oerstediana,-70.25,-12,24.558333079020183,225.75
Fabaceae,Inga oerstediana,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Inga oerstediana,-86.57,13.42,18.31666660308838,119.33333333333333
Fabaceae,Inga oerstediana,-84,10.5,26.02499993642171,310.25
Fabaceae,Inga oerstediana,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Inga oerstediana,-94.608333,17.254167,25.291666666666668,305.25
Fabaceae,Inga oerstediana,-94.60833,17.25417,25.291666666666668,305.25
Fabaceae,Inga oerstediana,-79.55,9.383333,25.725000222524006,226.16666666666666
Fabaceae,Inga oerstediana,-94.71667,17.03333,24.733333428700764,220.5
Fabaceae,Inga oerstediana,-94.716667,17.033333,24.733333428700764,220.5
Fabaceae,Inga oerstediana,-79.666667,9.5,26.049999872843426,232
Fabaceae,Inga oerstediana,-78.03333,7.48333,26.408333619435627,259.25
Fabaceae,Inga oerstediana,-74.8592,5.94389,24.44166660308838,227.08333333333334
Fabaceae,Inga oerstediana,-100,17,26.766666571299236,97.41666666666667
Fabaceae,Inga oerstediana,-85.267,12.233,23.916666666666668,146.91666666666666
Fabaceae,Inga oerstediana,-84.03,9.83,16.9333332379659,183.08333333333334
Fabaceae,Inga oerstediana,-82.62,8.88,12.849999984105429,235.33333333333334
Fabaceae,Inga oerstediana,-76.0497,4.75083,21.61666663487752,147.91666666666666
Fabaceae,Inga oerstediana,-75.4,-10.5667,18.80833371480306,108.25
Fabaceae,Inga oerstediana,-70.25,-12,24.558333079020183,225.75
Fabaceae,Inga oerstediana,-95.925,17.358333,22.416666666666668,195.41666666666666
Fabaceae,Inga oerstediana,-94.2,16.56667,21.083333492279053,67.41666666666667
Fabaceae,Inga oerstediana,-82.76,8.9,18.24999984105428,253.25
