familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Inga sapindoides,-85.467,10.927,20.908333619435627,180.91666666666666
Fabaceae,Inga sapindoides,-85.568,10.859,26.324999809265137,149.25
Fabaceae,Inga sapindoides,-85.419,11.013,23.84999990463257,239.66666666666666
Fabaceae,Inga sapindoides,-85.303,10.904,24.74999984105428,262.25
Fabaceae,Inga sapindoides,-79.83778,9.16361,26.30833339691162,215.33333333333334
Fabaceae,Inga sapindoides,-92.084319,15.047219,22.52499993642171,275.8333333333333
Fabaceae,Inga sapindoides,-90.083333,16.833333,25.666666507720947,178.5
Fabaceae,Inga sapindoides,-89,15.416667,26.041666666666668,198.08333333333334
Fabaceae,Inga sapindoides,-88.733333,17.133333,25.03333330154419,162.75
Fabaceae,Inga sapindoides,-87.533333,15.716667,26.299999872843426,185.33333333333334
Fabaceae,Inga sapindoides,-85.966667,14.916667,18.61666663487752,137.41666666666666
Fabaceae,Inga sapindoides,-85.666667,15.833333,27.416666507720947,141.58333333333334
Fabaceae,Inga sapindoides,-83.866667,10.333333,25.933333079020183,316.9166666666667
Fabaceae,Inga sapindoides,-91.933333,15.6,19.68333339691162,168.58333333333334
Fabaceae,Inga sapindoides,-87.916667,14.166667,17.350000143051147,134.16666666666666
Fabaceae,Inga sapindoides,-87.916667,14.916667,23.37500015894572,181.75
Fabaceae,Inga sapindoides,-85.333333,14.666667,24.358333269755047,165.83333333333334
Fabaceae,Inga sapindoides,-84.25,9.883333,21.00833336512248,194.08333333333334
Fabaceae,Inga sapindoides,-83.833333,10.25,25.541666666666668,313.9166666666667
Fabaceae,Inga sapindoides,-83.616667,9.916667,22.266666571299236,272.8333333333333
Fabaceae,Inga sapindoides,-82.783333,9.633333,25.90833346048991,270.8333333333333
Fabaceae,Inga sapindoides,-79.9,-0.416667,24.6916667620341,120.66666666666667
Fabaceae,Inga sapindoides,-79.366667,0.916667,25.47499990463257,144.91666666666666
Fabaceae,Inga sapindoides,-77.883333,-1.266667,22.350000222524006,361
Fabaceae,Inga sapindoides,-77.7,-1.05,23.766666730244953,361.25
Fabaceae,Inga sapindoides,-86.75,15.7,22.6916667620341,104.91666666666667
Fabaceae,Inga sapindoides,-79.716667,-3.316667,25.233333269755047,59.416666666666664
Fabaceae,Inga sapindoides,-79.216667,0.883333,25.233333269755047,178.08333333333334
Fabaceae,Inga sapindoides,-78.179444,-1.425833,19.49166663487752,287.6666666666667
Fabaceae,Inga sapindoides,-78.083333,-2.233333,20.950000127156574,214.75
Fabaceae,Inga sapindoides,-76.659722,4.872222,26.291666507720947,527.9166666666666
Fabaceae,Inga sapindoides,-74.08,11.32,NA,NA
Fabaceae,Inga sapindoides,-76.709689,7.571218,27.516666730244953,266.5
Fabaceae,Inga sapindoides,-76.945253,7.629734,27.37499984105428,247.75
Fabaceae,Inga sapindoides,-74.166667,2.666667,25.516666412353516,190.66666666666666
Fabaceae,Inga sapindoides,-77.25,5.533333,24.141666571299236,404.75
Fabaceae,Inga sapindoides,-72.825,2.363056,26.966666380564373,216.41666666666666
Fabaceae,Inga sapindoides,-71.378626,5.273249,26.633333206176758,191
Fabaceae,Inga sapindoides,-71.285819,5.258817,26.62500015894572,202.91666666666666
Fabaceae,Inga sapindoides,-76.213583,4.722222,18.774999618530273,178.33333333333334
Fabaceae,Inga sapindoides,-76.111861,4.778778,18.90833330154419,172
Fabaceae,Inga sapindoides,-76.023083,4.900806,18.34999990463257,178.41666666666666
Fabaceae,Inga sapindoides,-93.171389,16.8,23.89999993642171,93.08333333333333
Fabaceae,Inga sapindoides,-93.1,16.726944,24.641666730244953,90.5
Fabaceae,Inga sapindoides,-92.791944,15.645,16.550000270207722,114.41666666666667
Fabaceae,Inga sapindoides,-93.1,16.726944,24.641666730244953,90.5
Fabaceae,Inga sapindoides,-92.838611,15.565278,24.5583332379659,211
Fabaceae,Inga sapindoides,-90.925,16.125,25.90833330154419,250.16666666666666
Fabaceae,Inga sapindoides,-76.171753,3.585428,18.541666825612385,136.16666666666666
Fabaceae,Inga sapindoides,-72.402072,5.366814,24.800000349680584,192.58333333333334
Fabaceae,Inga sapindoides,-75.802083,6.916111,23.866666475931805,230.58333333333334
Fabaceae,Inga sapindoides,-73.81771,7.24202,27.94166660308838,245.25
Fabaceae,Inga sapindoides,-73.93201,11.30917,NA,NA
Fabaceae,Inga sapindoides,-78.53982,1.39133,25.28333346048991,270.25
Fabaceae,Inga sapindoides,-75,7.833333,28,232.91666666666666
Fabaceae,Inga sapindoides,-77.438781,6.228902,26.03333330154419,361.0833333333333
Fabaceae,Inga sapindoides,-72.666667,2.166667,27.4333332379659,225
Fabaceae,Inga sapindoides,-73,11.05,25.84166669845581,95.66666666666667
Fabaceae,Inga sapindoides,-70.25,-3.7,26.550000031789143,245.91666666666666
Fabaceae,Inga sapindoides,-74.8,6.916667,23.30833339691162,264.6666666666667
Fabaceae,Inga sapindoides,-74.75139,7.112985,24.516666730244953,276
Fabaceae,Inga sapindoides,-74.43385,6.67366,27.59999990463257,253.25
Fabaceae,Inga sapindoides,-76.000556,4.301944,23.241666793823242,138
Fabaceae,Inga sapindoides,-74.652361,6.2225,26.858333587646484,234.83333333333334
Fabaceae,Inga sapindoides,-75.578556,3.810472,21.44166660308838,146.33333333333334
Fabaceae,Inga sapindoides,-92.522778,15.440833,22.350000222524006,197.25
Fabaceae,Inga sapindoides,-92.466667,16.883333,18.666666746139526,132.75
Fabaceae,Inga sapindoides,-92.783333,15.7,20.15833346048991,180
Fabaceae,Inga sapindoides,-92.529167,17.045833,22.541666666666668,169.91666666666666
Fabaceae,Inga sapindoides,-92.469444,16.913889,19.87499984105428,139.08333333333334
Fabaceae,Inga sapindoides,-91.95,17.433333,24.3083332379659,213.25
Fabaceae,Inga sapindoides,-90.970833,16.901389000000002,25.675000031789143,245.41666666666666
Fabaceae,Inga sapindoides,-92.3,15.108333,24.59166669845581,236.08333333333334
Fabaceae,Inga sapindoides,-91.494444,16.133333,23.166666666666668,188.5
Fabaceae,Inga sapindoides,-93.094444,16.7275,24.641666730244953,90.5
Fabaceae,Inga sapindoides,-93.094444,16.7275,24.641666730244953,90.5
Fabaceae,Inga sapindoides,-77.25397,5.69036,26.4416667620341,397
Fabaceae,Inga sapindoides,-75.548497,3.755136,24.616666475931805,149.58333333333334
Fabaceae,Inga sapindoides,-75.597435,4.988008,21.366666475931805,191.41666666666666
Fabaceae,Inga sapindoides,-75.496617,5.083048,16.06666660308838,179
Fabaceae,Inga sapindoides,-75.461374,5.088607,14.308333237965902,174.41666666666666
Fabaceae,Inga sapindoides,-74.29403,4.57463,13.758333365122477,99.08333333333333
Fabaceae,Inga sapindoides,-93.0996688,15.75831205,21.916666666666668,165.91666666666666
Fabaceae,Inga sapindoides,-92.46944,17.00556,20.94166660308838,152.33333333333334
Fabaceae,Inga sapindoides,-95.06695147,18.58693844,25.3166667620341,203
Fabaceae,Inga sapindoides,-94.583333,17.25,25.300000031789143,305.9166666666667
Fabaceae,Inga sapindoides,-97.29478081,19.95948789,21.05833339691162,164.91666666666666
Fabaceae,Inga sapindoides,-97.87115969,20.3066032,20.708333174387615,198.58333333333334
Fabaceae,Inga sapindoides,-100.2081389,17.37535469,23.450000286102295,121.58333333333333
Fabaceae,Inga sapindoides,-97.89800565,17.03869199,23.741666793823242,117.75
Fabaceae,Inga sapindoides,-100.1948406,17.39154294,23.224999745686848,116.91666666666667
Fabaceae,Inga sapindoides,-95.0843969,18.59440204,25.05833339691162,201.33333333333334
Fabaceae,Inga sapindoides,-97.60506954,20.0650321,20.81666660308838,182.16666666666666
Fabaceae,Inga sapindoides,-97.89128022,16.95218724,24.0666667620341,119.66666666666667
Fabaceae,Inga sapindoides,-96.983333,16.183333,20.316666920979817,114.75
Fabaceae,Inga sapindoides,-84.733334,10.316667,19.608333269755047,265.5
Fabaceae,Inga sapindoides,-84.716667,10.333333,20.44166660308838,284.6666666666667
Fabaceae,Inga sapindoides,-85.423611,10.054167,25.224999745686848,181.41666666666666
Fabaceae,Inga sapindoides,-85.333333,10.966667,24.60000006357829,252.16666666666666
Fabaceae,Inga sapindoides,-83.416667,10.016667,24.641666730244953,282
Fabaceae,Inga sapindoides,-83.583336,8.466667,26.05833339691162,305.3333333333333
Fabaceae,Inga sapindoides,-85.297222,10.805556,18.208333492279053,275.5
Fabaceae,Inga sapindoides,-83.583337,8.466667,26.05833339691162,305.3333333333333
Fabaceae,Inga sapindoides,-84.75,10.294444,20.391666730244953,286.8333333333333
