familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Inga thibaudiana,-75.4,7.466667,25.199999968210857,296.8333333333333
Fabaceae,Inga thibaudiana,-74.833333,6,25.641666730244953,205.75
Fabaceae,Inga thibaudiana,-61.533436,10.691139,25.65000009536743,132.33333333333334
Fabaceae,Inga thibaudiana,-61.517983,10.693269,26.266666571299236,130.58333333333334
Fabaceae,Inga thibaudiana,-55,5,26.62499984105428,192.83333333333334
Fabaceae,Inga thibaudiana,-61.155949,10.587079,26.40833330154419,175.33333333333334
Fabaceae,Inga thibaudiana,-88.5,17.01666,25.049999713897705,178.83333333333334
Fabaceae,Inga thibaudiana,-88.33333,17.03333,25.858333587646484,192.41666666666666
Fabaceae,Inga thibaudiana,-58,6,26.65833314259847,181.16666666666666
Fabaceae,Inga thibaudiana,-89.11666,16,25.516666730244953,285.4166666666667
Fabaceae,Inga thibaudiana,-88,15,23.858333269755047,188.33333333333334
Fabaceae,Inga thibaudiana,-88.48333,16.36666,NA,NA
Fabaceae,Inga thibaudiana,-88.58333,16.63333,24.78333314259847,182.83333333333334
Fabaceae,Inga thibaudiana,-88.95444,16.16472,25.18333355585734,291
Fabaceae,Inga thibaudiana,-88.88333,16.08333,25.291666507720947,300.0833333333333
Fabaceae,Inga thibaudiana,-61.152509,10.655071,26.208333333333332,190.66666666666666
Fabaceae,Inga thibaudiana,-88.35,16.95,25.64999993642171,190.08333333333334
Fabaceae,Inga thibaudiana,-88.54194,17.0475,24.68333339691162,173.08333333333334
Fabaceae,Inga thibaudiana,-60.6575,5.656111,23.75,179.58333333333334
Fabaceae,Inga thibaudiana,-61,5,21.4333332379659,173
Fabaceae,Inga thibaudiana,-84.01111,14.55,24.64999993642171,228.75
Fabaceae,Inga thibaudiana,-83.98333,14.51666,24.541666825612385,228.41666666666666
Fabaceae,Inga thibaudiana,-83.96666,14.71666,24.87500015894572,226.58333333333334
Fabaceae,Inga thibaudiana,-83.78333,14.43333,24.708333174387615,224.25
Fabaceae,Inga thibaudiana,-88.805,16.0975,NA,NA
Fabaceae,Inga thibaudiana,-88.6,16.76666,24.300000031789143,174.33333333333334
Fabaceae,Inga thibaudiana,-51.87,-12.9,25.35000006357829,129.5
Fabaceae,Inga thibaudiana,-51.77,-12.82,25.55833339691162,129.33333333333334
Fabaceae,Inga thibaudiana,-51.76666,-12.81666,25.63333336512248,130.41666666666666
Fabaceae,Inga thibaudiana,-63.56,2.71,23.80833339691162,215.41666666666666
Fabaceae,Inga thibaudiana,-51.77,-12.9,25.6833332379659,128.91666666666666
Fabaceae,Inga thibaudiana,-84.11666,14.35,24.858333428700764,224.58333333333334
Fabaceae,Inga thibaudiana,-83.98333,14.75,24.99166663487752,225.16666666666666
Fabaceae,Inga thibaudiana,-83.93333,14.31666,24.6916667620341,226.5
Fabaceae,Inga thibaudiana,-83.775,12.03333,25.9333332379659,276
Fabaceae,Inga thibaudiana,-79,9,26.4333332379659,166.33333333333334
Fabaceae,Inga thibaudiana,-88.902778,16.575,21.791666825612385,201
Fabaceae,Inga thibaudiana,-88.85,16.05,NA,NA
Fabaceae,Inga thibaudiana,-59.97,-2.883333,26.508333683013916,193.08333333333334
Fabaceae,Inga thibaudiana,-85.04166,12.875,23.90833314259847,183.41666666666666
Fabaceae,Inga thibaudiana,-84.64166,13.99166,24.274999777475994,218.91666666666666
Fabaceae,Inga thibaudiana,-84.5,13.53333,25.858333428700764,198.66666666666666
Fabaceae,Inga thibaudiana,-60.17,-12.75,23.68333339691162,166.91666666666666
Fabaceae,Inga thibaudiana,-52.328403,4.917697,26,240
Fabaceae,Inga thibaudiana,-39,-14,NA,NA
Fabaceae,Inga thibaudiana,-68.75,-11,25.56666660308838,143.16666666666666
Fabaceae,Inga thibaudiana,-47.53,-4.08,25.549999872843426,146.16666666666666
Fabaceae,Inga thibaudiana,-49.633333,-3.966667,26.71666653951009,178.75
Fabaceae,Inga thibaudiana,-63.12,-9.17,25.34999990463257,193.5
Fabaceae,Inga thibaudiana,-38.95,-13.95,24.733333428700764,200.75
Fabaceae,Inga thibaudiana,-84.35,11.75,25.53333346048991,224.83333333333334
Fabaceae,Inga thibaudiana,-83.76666,11.98333,NA,NA
Fabaceae,Inga thibaudiana,-39,-16,24.03333314259847,133
Fabaceae,Inga thibaudiana,-84.95,13.08333,25.09166717529297,182.91666666666666
Fabaceae,Inga thibaudiana,-84.43333,11.53333,25.958333333333332,214.75
Fabaceae,Inga thibaudiana,-84.41666,11.03333,25.891666253407795,259.0833333333333
Fabaceae,Inga thibaudiana,-84.4,11.03333,25.891666253407795,260.8333333333333
Fabaceae,Inga thibaudiana,-84.33333,11.6,25.858333428700764,227
Fabaceae,Inga thibaudiana,-41.83,-19.83,20.52500009536743,104.91666666666667
Fabaceae,Inga thibaudiana,-63.36666,0.7,26.88333336512248,190
Fabaceae,Inga thibaudiana,-63.35,-0.8,26.21666685740153,201.5
