familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Inga tonduzii,-84.68,10.15,19.333333174387615,215.16666666666666
Fabaceae,Inga tonduzii,-84.516667,10.2,21.124999682108562,300.75
Fabaceae,Inga tonduzii,-84.5,10.166667,20.56666660308838,288.25
Fabaceae,Inga tonduzii,-83.8,9.8,17.574999968210857,248.41666666666666
Fabaceae,Inga tonduzii,-83.68,9.78611,21.24999984105428,253.75
Fabaceae,Inga tonduzii,-83.666667,10.25,26.09166685740153,314.0833333333333
Fabaceae,Inga tonduzii,-83.666667,10.416667,26.166666825612385,302.9166666666667
Fabaceae,Inga tonduzii,-83.616667,9.916667,22.266666571299236,272.8333333333333
Fabaceae,Inga tonduzii,-82.978056,8.783333,19.74166663487752,235.08333333333334
Fabaceae,Inga tonduzii,-84,10.03,18.891666889190674,270.4166666666667
Fabaceae,Inga tonduzii,-85.008333,13.75,20.35000006357829,188.08333333333334
Fabaceae,Inga tonduzii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Inga tonduzii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Inga tonduzii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Inga tonduzii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Inga tonduzii,-84.60361,10.38416,24.625,305.9166666666667
Fabaceae,Inga tonduzii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Inga tonduzii,-84.04,9.72,17.21666669845581,207.83333333333334
Fabaceae,Inga tonduzii,-84.75,10.3,20.391666730244953,286.8333333333333
Fabaceae,Inga tonduzii,-82.969444,9.408333,23.72499990463257,281.5833333333333
Fabaceae,Inga tonduzii,-82.96,9.4,22.608333428700764,270.9166666666667
Fabaceae,Inga tonduzii,-85.43,10.96,22.15000009536743,269.5833333333333
Fabaceae,Inga tonduzii,-84.783334,10.3,18.35000006357829,240.33333333333334
Fabaceae,Inga tonduzii,-84.78,10.3,18.616666475931805,253.41666666666666
Fabaceae,Inga tonduzii,-84.75,10.29,19.35000006357829,271.9166666666667
Fabaceae,Inga tonduzii,-84.75,10.294444,20.391666730244953,286.8333333333333
Fabaceae,Inga tonduzii,-84.5875,10.213889,21.391666889190674,289.5
Fabaceae,Inga tonduzii,-84.58,10.21,20.833333492279053,294.8333333333333
Fabaceae,Inga tonduzii,-83.61666,9.91666,21.37500015894572,272.5833333333333
Fabaceae,Inga tonduzii,-83.61,9.91,21.37500015894572,272.5833333333333
Fabaceae,Inga tonduzii,-84.527778,10.205556,21.37500015894572,295.25
Fabaceae,Inga tonduzii,-84.52,10.2,21.124999682108562,300.75
Fabaceae,Inga tonduzii,-84.51666,10.2,21.05833339691162,278.1666666666667
Fabaceae,Inga tonduzii,-84.51,10.2,21.05833339691162,278.1666666666667
Fabaceae,Inga tonduzii,-84.5,10.16,20.149999777475994,287.9166666666667
Fabaceae,Inga tonduzii,-83.69,9.96,21.06666660308838,263.4166666666667
Fabaceae,Inga tonduzii,-83.66,10.25,26.108333587646484,317.5833333333333
Fabaceae,Inga tonduzii,-83.66,10.41,26.166666825612385,305.75
Fabaceae,Inga tonduzii,-84.651389,10.472222,24.88333336512248,294.9166666666667
Fabaceae,Inga tonduzii,-84.65,10.47,25.074999968210857,281.9166666666667
Fabaceae,Inga tonduzii,-83.863889,10.200278,24.874999523162842,311.25
Fabaceae,Inga tonduzii,-83.86,10.2,24.74166711171468,312.4166666666667
Fabaceae,Inga tonduzii,-83.85,9.76,19.208333174387615,209.25
Fabaceae,Inga tonduzii,-83.85,9.766667,19.233333269755047,229.33333333333334
Fabaceae,Inga tonduzii,-84.175,10.322222,24.25000015894572,321.6666666666667
Fabaceae,Inga tonduzii,-84.17,10.32,24.25000015894572,321.6666666666667
Fabaceae,Inga tonduzii,-83.783334,9.755556,19.074999809265137,244.08333333333334
Fabaceae,Inga tonduzii,-83.78,9.75,18.65833330154419,334.9166666666667
Fabaceae,Inga tonduzii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Inga tonduzii,-83.98,10.05,18.65833346048991,298
Fabaceae,Inga tonduzii,-83.7875,9.763889,19.291666825612385,273.1666666666667
Fabaceae,Inga tonduzii,-83.78,9.76,18.53333330154419,237.75
Fabaceae,Inga tonduzii,-83.244444,9.275,19.666666666666668,257.6666666666667
Fabaceae,Inga tonduzii,-83.24,9.27,18.324999968210857,259.3333333333333
Fabaceae,Inga tonduzii,-83.191667,9.891667,24.208333174387615,258.5833333333333
Fabaceae,Inga tonduzii,-83.19,9.89,24.699999809265137,269.25
Fabaceae,Inga tonduzii,-84.17,9.72,16.47500006357829,209.25
Fabaceae,Inga tonduzii,-83.533333,9.811111,21.90833346048991,252
Fabaceae,Inga tonduzii,-83.53,9.81,21.90833346048991,252
Fabaceae,Inga tonduzii,-83.78,9.73,18.300000190734863,268.8333333333333
Fabaceae,Inga tonduzii,-84.16,10.17,16.816666841506958,244.16666666666666
Fabaceae,Inga tonduzii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Fabaceae,Inga tonduzii,-84.658333,10.452778,24.68333339691162,298.9166666666667
Fabaceae,Inga tonduzii,-84.722222,10.494444,23.8166667620341,320.5833333333333
Fabaceae,Inga tonduzii,-84.72222,10.494444,23.8166667620341,320.5833333333333
Fabaceae,Inga tonduzii,-84.219104,10.700795,25.53333346048991,277.4166666666667
Fabaceae,Inga tonduzii,-84.190278,9.729167,18.858333428700764,220.33333333333334
Fabaceae,Inga tonduzii,-84.117778,10.235278,18.700000286102295,250.58333333333334
Fabaceae,Inga tonduzii,-84.1108,10.241266,18.675000190734863,250.66666666666666
Fabaceae,Inga tonduzii,-84.110797,10.241266,18.675000190734863,250.66666666666666
