familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Rubiaceae,Ixora floribunda,-76.833336,7.75,27.333333333333332,217.75
Rubiaceae,Ixora floribunda,-85.494167,12.285278,25.34166653951009,131.66666666666666
Rubiaceae,Ixora floribunda,-78,8.525,26.55833355585734,200.41666666666666
Rubiaceae,Ixora floribunda,-85.6,9.95,25.758333047231037,169.66666666666666
Rubiaceae,Ixora floribunda,-85.6,9.95,25.758333047231037,169.66666666666666
Rubiaceae,Ixora floribunda,-72.7,9.1,28.21666653951009,235.5
Rubiaceae,Ixora floribunda,-86.068194,11.608472,26.483333428700764,121.58333333333333
Rubiaceae,Ixora floribunda,-74.165842,10.650728,27.808332920074463,107.08333333333333
Rubiaceae,Ixora floribunda,-88.1,13.916667,22.36666663487752,159.33333333333334
Rubiaceae,Ixora floribunda,-83.93,14.32,24.708333492279053,226.91666666666666
Rubiaceae,Ixora floribunda,-85.474,10.89,23.3083332379659,161.66666666666666
Rubiaceae,Ixora floribunda,-85.578,10.963,25.68333355585734,143.83333333333334
Rubiaceae,Ixora floribunda,-85.614,10.844,25.766666730244953,139.66666666666666
Rubiaceae,Ixora floribunda,-79.65472,8.95388,26.3166667620341,174.08333333333334
Rubiaceae,Ixora floribunda,-85.31666,10.53333,27.15000009536743,147
Rubiaceae,Ixora floribunda,-81.4333,7.7,25.96666653951009,232.16666666666666
Rubiaceae,Ixora floribunda,-85.340556,9.849167,26.666666348775227,164.91666666666666
Rubiaceae,Ixora floribunda,-85.033333,13.633333,24.63333336512248,167.25
Rubiaceae,Ixora floribunda,-84.567222,10.041667,24.575000127156574,208
Rubiaceae,Ixora floribunda,-85.6,9.95,25.758333047231037,169.66666666666666
Rubiaceae,Ixora floribunda,-85.01666,11.58333,26.208333174387615,169.58333333333334
Rubiaceae,Ixora floribunda,-83.8,22.466667,23.666666666666668,131.33333333333334
Rubiaceae,Ixora floribunda,-85.55,11,24.274999777475994,157.41666666666666
Rubiaceae,Ixora floribunda,-85.5,10.916667,23.774999777475994,178.58333333333334
