familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Bignoniaceae,Jacaranda caucana,-83.30444,8.53611,26.600000222524006,287.1666666666667
Bignoniaceae,Jacaranda caucana,-79.62055,9.02388,26.65833314259847,198.5
Bignoniaceae,Jacaranda caucana,-83.29,9,25.108333269755047,300.1666666666667
Bignoniaceae,Jacaranda caucana,-73.08825,7.068625,22.883333206176758,131.41666666666666
Bignoniaceae,Jacaranda caucana,-73.421019,7.112331,27.15000009536743,193.41666666666666
Bignoniaceae,Jacaranda caucana,-74.9006,5.2054,25.791666507720947,200.5
Bignoniaceae,Jacaranda caucana,-74.8956,5.16109,26.299999872843426,169
Bignoniaceae,Jacaranda caucana,-74.5031,4.26944,23.375,165.08333333333334
Bignoniaceae,Jacaranda caucana,-74.5029,4.26942,23.375,165.08333333333334
Bignoniaceae,Jacaranda caucana,-73.8784,3.75764,23.31666628519694,304.1666666666667
Bignoniaceae,Jacaranda caucana,-75.306694,3.35325,24.941666920979817,150.16666666666666
Bignoniaceae,Jacaranda caucana,-83.32,9,23.949999968210857,259.75
Bignoniaceae,Jacaranda caucana,-83.3,8.53,26.5666667620341,275.25
Bignoniaceae,Jacaranda caucana,-83.26,8.97,25.55833355585734,213.5
Bignoniaceae,Jacaranda caucana,-83.23,9.02,25.791666348775227,222.41666666666666
Bignoniaceae,Jacaranda caucana,-72.8667,3.8811,26.583333174387615,229.33333333333334
Bignoniaceae,Jacaranda caucana,-72.8667,3.8811,26.583333174387615,229.33333333333334
Bignoniaceae,Jacaranda caucana,-72.8667,3.8811,26.583333174387615,229.33333333333334
Bignoniaceae,Jacaranda caucana,-72.8667,3.8811,26.583333174387615,229.33333333333334
Bignoniaceae,Jacaranda caucana,-72.8667,3.8811,26.583333174387615,229.33333333333334
Bignoniaceae,Jacaranda caucana,-83.45,8.96,26.30833339691162,261.1666666666667
Bignoniaceae,Jacaranda caucana,-83.9519,10.0114,17.35000006357829,334.6666666666667
Bignoniaceae,Jacaranda caucana,-72.8667,3.8811,26.583333174387615,229.33333333333334
Bignoniaceae,Jacaranda caucana,-69.8333,8.1667,27.708333333333332,132.33333333333334
Bignoniaceae,Jacaranda caucana,-84.8333,10,26.93333339691162,153
Bignoniaceae,Jacaranda caucana,-65.9119,7.0758,27.366666952768963,155.91666666666666
Bignoniaceae,Jacaranda caucana,-84.8333,10,26.93333339691162,153
Bignoniaceae,Jacaranda caucana,-73.76666667,3.98333333,24.675000031789143,302.5833333333333
Bignoniaceae,Jacaranda caucana,-83.45,8.96,26.30833339691162,261.1666666666667
Bignoniaceae,Jacaranda caucana,-58.97472,4.79194,26.5,183.08333333333334
Bignoniaceae,Jacaranda caucana,-74.8333,5.25,26.633333206176758,173.33333333333334
Bignoniaceae,Jacaranda caucana,-77.68333,8.08333,26.666666507720947,181.16666666666666
Bignoniaceae,Jacaranda caucana,-79.59166,9.00833,26.80833355585734,214.41666666666666
Bignoniaceae,Jacaranda caucana,-75.71666,7.11666,21.550000031789143,198.83333333333334
Bignoniaceae,Jacaranda caucana,-76.861694,5.108222,26.391666730244953,614.1666666666666
Bignoniaceae,Jacaranda caucana,-71.92492,6.38358,22.666666666666668,187.41666666666666
Bignoniaceae,Jacaranda caucana,-75.24041,8.65522,27.80833339691162,131.58333333333334
Bignoniaceae,Jacaranda caucana,-76.861694,5.108222,26.391666730244953,614.1666666666666
Bignoniaceae,Jacaranda caucana,-67.668111,5.508306,27.35000006357829,211.08333333333334
Bignoniaceae,Jacaranda caucana,-73.853333,9.274722,28.291666825612385,142.41666666666666
Bignoniaceae,Jacaranda caucana,-76.6928,3.6603,23.05833355585734,134.16666666666666
Bignoniaceae,Jacaranda caucana,-72.726059,2.716724,27.56666644414266,238.75
Bignoniaceae,Jacaranda caucana,-73.579664,4.271896,23.96666669845581,312.8333333333333
Bignoniaceae,Jacaranda caucana,-83.2625,8.972222,25.55833355585734,213.5
Bignoniaceae,Jacaranda caucana,-83.466667,8.983333,25.424999872843426,289.4166666666667
Bignoniaceae,Jacaranda caucana,-83.427778,8.525,24.97499990463257,289.1666666666667
Bignoniaceae,Jacaranda caucana,-83.231389,9.02,25.791666348775227,222.41666666666666
Bignoniaceae,Jacaranda caucana,-83.243056,9.009722,25.1833332379659,229.91666666666666
Bignoniaceae,Jacaranda caucana,-83.266667,9.105556,25.40833330154419,199.33333333333334
Bignoniaceae,Jacaranda caucana,-82.938889,8.680556,24.125,258.25
Bignoniaceae,Jacaranda caucana,-83.295556,8.535278,26.608333587646484,297.9166666666667
Bignoniaceae,Jacaranda caucana,-83.367944,8.498694,25.716666380564373,264.3333333333333
Bignoniaceae,Jacaranda caucana,-83.41,8.51,24.97499990463257,291.1666666666667
