familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Bignoniaceae,Jacaranda copaia,-76.366,-0.55,25.016666730244953,276.9166666666667
Bignoniaceae,Jacaranda copaia,-76.366,-0.55,25.016666730244953,276.9166666666667
Bignoniaceae,Jacaranda copaia,-76.183,0.016,25.175000349680584,296.75
Bignoniaceae,Jacaranda copaia,-57.304406,3.390891,26.008333047231037,168.08333333333334
Bignoniaceae,Jacaranda copaia,-57.289986,3.273014,26.008333047231037,169.91666666666666
Bignoniaceae,Jacaranda copaia,-57.21326,2.9672,26.06666644414266,162.16666666666666
Bignoniaceae,Jacaranda copaia,-57.21114,3.076823,26.058333079020183,162.91666666666666
Bignoniaceae,Jacaranda copaia,-57.117675,2.776403,26.06666644414266,158.66666666666666
Bignoniaceae,Jacaranda copaia,-57.060547,2.686886,26.166666666666668,161.08333333333334
Bignoniaceae,Jacaranda copaia,-57.013008,2.566108,26.12499984105428,158.08333333333334
Bignoniaceae,Jacaranda copaia,-56.805833,2.334444,26.15833330154419,156.33333333333334
Bignoniaceae,Jacaranda copaia,-55.613311,3.844753,26.391666730244953,195
Bignoniaceae,Jacaranda copaia,-70.1,-12.57,25.058333079020183,287.6666666666667
Bignoniaceae,Jacaranda copaia,-65.031944,-9.563611,26.291666507720947,146.08333333333334
Bignoniaceae,Jacaranda copaia,-64.713333,-9.360833,26.041666825612385,156
Bignoniaceae,Jacaranda copaia,-68.75,-10.75,25.09166653951009,141.08333333333334
Bignoniaceae,Jacaranda copaia,-74.7833,6,26.458333174387615,213.5
Bignoniaceae,Jacaranda copaia,-78.3617,1.35722,24.30833339691162,305.1666666666667
Bignoniaceae,Jacaranda copaia,-74.2931,5.55486,21.675000190734863,201.25
Bignoniaceae,Jacaranda copaia,-73.8922,3.80472,23.31666628519694,302.9166666666667
Bignoniaceae,Jacaranda copaia,-68.733,-13.633,24.86666663487752,191.5
Bignoniaceae,Jacaranda copaia,-77.208,-2.262,24.949999650319416,279.3333333333333
Bignoniaceae,Jacaranda copaia,-64.922,6.08,27.016666412353516,210.66666666666666
Bignoniaceae,Jacaranda copaia,-64.875,6.972,27.37499984105428,156.75
Bignoniaceae,Jacaranda copaia,-64.487,6.282,26.166666507720947,212.5
Bignoniaceae,Jacaranda copaia,-58.812,3.192,26.77499993642171,141.5
Bignoniaceae,Jacaranda copaia,-66.717,4.083,27.4416667620341,263.0833333333333
Bignoniaceae,Jacaranda copaia,-66.517,4.183,27.52499993642171,233.25
Bignoniaceae,Jacaranda copaia,-75.196624,5.89142,20.72499990463257,221.75
Bignoniaceae,Jacaranda copaia,-75.146561,5.929549,23.84999990463257,215.5
Bignoniaceae,Jacaranda copaia,-75.000569,5.814278,22.75000015894572,235
Bignoniaceae,Jacaranda copaia,-75.00025,5.813333,22.75000015894572,235
Bignoniaceae,Jacaranda copaia,-74.971639,5.768611,25.06666660308838,212.08333333333334
Bignoniaceae,Jacaranda copaia,-74.838778,5.772556,26.449999968210857,210.91666666666666
Bignoniaceae,Jacaranda copaia,-74.969157,6.37595,22.18333339691162,255.58333333333334
Bignoniaceae,Jacaranda copaia,-74.955804,5.904155,24.625,216.91666666666666
Bignoniaceae,Jacaranda copaia,-74.949023,5.956019,25.28333346048991,205.16666666666666
Bignoniaceae,Jacaranda copaia,-74.925394,5.976671,24.99999984105428,210.75
Bignoniaceae,Jacaranda copaia,-74.910082,6.003458,23.90833314259847,229.16666666666666
Bignoniaceae,Jacaranda copaia,-74.86002,6.35336,24.583333015441895,224.83333333333334
Bignoniaceae,Jacaranda copaia,-74.856516,5.932739,26.008333047231037,210.33333333333334
Bignoniaceae,Jacaranda copaia,-74.94153,6.072217,25.14999993642171,217.83333333333334
Bignoniaceae,Jacaranda copaia,-74.927651,6.216752,23.383333206176758,233.83333333333334
Bignoniaceae,Jacaranda copaia,-74.925934,6.245082,23.15833330154419,226.41666666666666
Bignoniaceae,Jacaranda copaia,-74.803489,6.300982,24.80833339691162,225.83333333333334
Bignoniaceae,Jacaranda copaia,-74.995227,6.045004,22.600000222524006,241.66666666666666
Bignoniaceae,Jacaranda copaia,-74.974617,5.979487,24.516666571299236,229.66666666666666
Bignoniaceae,Jacaranda copaia,-74.943103,6.354955,22.833333492279053,239.5
Bignoniaceae,Jacaranda copaia,-74.942955,6.249503,23.09166653951009,255.58333333333334
Bignoniaceae,Jacaranda copaia,-74.904572,6.408626,23.074999968210857,241.41666666666666
Bignoniaceae,Jacaranda copaia,-74.895292,6.243476,24.00833336512248,245.66666666666666
Bignoniaceae,Jacaranda copaia,-74.889909,5.857734,24.583333333333332,213
Bignoniaceae,Jacaranda copaia,-74.865094,6.058066,25.258333683013916,224.41666666666666
Bignoniaceae,Jacaranda copaia,-74.845055,6.323626,23.90833330154419,230.16666666666666
Bignoniaceae,Jacaranda copaia,-74.803489,6.300982,24.80833339691162,225.83333333333334
Bignoniaceae,Jacaranda copaia,-74.780068,6.255198,25.49166663487752,221
Bignoniaceae,Jacaranda copaia,-74.746615,5.880493,27.208333492279053,209
Bignoniaceae,Jacaranda copaia,-74.951127,6.163757,21.300000190734863,224.91666666666666
Bignoniaceae,Jacaranda copaia,-74.932858,6.313308,22.241666952768963,252.58333333333334
Bignoniaceae,Jacaranda copaia,-75.160549,5.835623,20.583333492279053,234.83333333333334
Bignoniaceae,Jacaranda copaia,-74.916044,5.824061,25.108333428700764,200.08333333333334
Bignoniaceae,Jacaranda copaia,-74.914962,5.825192,25.541666507720947,199.58333333333334
Bignoniaceae,Jacaranda copaia,-74.8718,6.153112,23.283333619435627,244.33333333333334
Bignoniaceae,Jacaranda copaia,-74.870589,6.084885,24.074999809265137,223
Bignoniaceae,Jacaranda copaia,-74.859746,5.917997,25.499999682108562,223
Bignoniaceae,Jacaranda copaia,-74.857012,5.899962,26.38333336512248,206.75
Bignoniaceae,Jacaranda copaia,-74.844306,6.08032,24.866666475931805,221.83333333333334
Bignoniaceae,Jacaranda copaia,-74.966309,6.013415,24.30833339691162,229.66666666666666
Bignoniaceae,Jacaranda copaia,-74.942757,6.133246,21.050000031789143,267.5
Bignoniaceae,Jacaranda copaia,-74.938935,6.160884,21.483333269755047,234.41666666666666
Bignoniaceae,Jacaranda copaia,-74.926551,6.133462,22.641666730244953,248.66666666666666
Bignoniaceae,Jacaranda copaia,-74.90913,6.147929,23.483333269755047,246
Bignoniaceae,Jacaranda copaia,-74.908121,6.13831,23.574999809265137,250.08333333333334
Bignoniaceae,Jacaranda copaia,-74.90191,5.852563,25.12500015894572,221.08333333333334
Bignoniaceae,Jacaranda copaia,-74.888042,6.287584,23.38333336512248,249.66666666666666
Bignoniaceae,Jacaranda copaia,-74.886565,6.161092,22.358333110809326,239.91666666666666
Bignoniaceae,Jacaranda copaia,-74.878136,6.118373,23.750000317891438,227.33333333333334
Bignoniaceae,Jacaranda copaia,-74.876386,6.144769,22.866666475931805,251.41666666666666
Bignoniaceae,Jacaranda copaia,-74.874278,6.08147,23.800000190734863,231.58333333333334
Bignoniaceae,Jacaranda copaia,-74.873492,6.148634,23.166666666666668,254.91666666666666
Bignoniaceae,Jacaranda copaia,-74.871574,6.164795,22.99166663487752,249.25
Bignoniaceae,Jacaranda copaia,-74.86605,6.186594,22.983333269755047,237
Bignoniaceae,Jacaranda copaia,-74.865513000000007,6.098138,24.074999809265137,218.08333333333334
Bignoniaceae,Jacaranda copaia,-74.864772,6.085517,24.250000317891438,224.16666666666666
Bignoniaceae,Jacaranda copaia,-74.862803,6.16582,23.675000031789143,238.25
Bignoniaceae,Jacaranda copaia,-74.848791,6.09687,24.56666660308838,231.41666666666666
Bignoniaceae,Jacaranda copaia,-74.845155,5.919219,26.40833330154419,210.33333333333334
Bignoniaceae,Jacaranda copaia,-74.799915,6.304242,24.883333206176758,223
Bignoniaceae,Jacaranda copaia,-74.798517,6.306188,24.883333206176758,223
Bignoniaceae,Jacaranda copaia,-74.789049,6.03062,26.25000015894572,212.33333333333334
Bignoniaceae,Jacaranda copaia,-74.781211,6.231778,25.1916667620341,217.41666666666666
Bignoniaceae,Jacaranda copaia,-74.132167,1.990417,25.25000015894572,200.16666666666666
Bignoniaceae,Jacaranda copaia,-74.103806,2.056861,25.541666666666668,194.75
Bignoniaceae,Jacaranda copaia,-74.086806,2.057306,25.53333330154419,193.58333333333334
Bignoniaceae,Jacaranda copaia,-74.073611,1.986972,25.37500015894572,193.08333333333334
Bignoniaceae,Jacaranda copaia,-74.071278,1.963278,25.416666507720947,203
Bignoniaceae,Jacaranda copaia,-74.070778,1.965056,25.416666507720947,203
Bignoniaceae,Jacaranda copaia,-74.039806,1.986861,25.550000031789143,206.33333333333334
Bignoniaceae,Jacaranda copaia,-75,-4,26.225000222524006,209
Bignoniaceae,Jacaranda copaia,-74.14,-9.1839,26.22499990463257,146.33333333333334
Bignoniaceae,Jacaranda copaia,-74.14,-9.1839,26.22499990463257,146.33333333333334
Bignoniaceae,Jacaranda copaia,-74.14,-9.1839,26.22499990463257,146.33333333333334
Bignoniaceae,Jacaranda copaia,-74.14,-9.1839,26.22499990463257,146.33333333333334
Bignoniaceae,Jacaranda copaia,-52.8731,-10.8339,25.53333346048991,172.25
Bignoniaceae,Jacaranda copaia,-74.14,-9.1839,26.22499990463257,146.33333333333334
Bignoniaceae,Jacaranda copaia,-84,10.5,26.02499993642171,310.25
Bignoniaceae,Jacaranda copaia,-72.8667,3.8811,26.583333174387615,229.33333333333334
Bignoniaceae,Jacaranda copaia,-59,5,26.199999968210857,191.58333333333334
Bignoniaceae,Jacaranda copaia,-52.8731,-10.8339,25.53333346048991,172.25
