familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Ochnaceae,Lacunaria crenata,-76.2,0,25.28333330154419,294
Ochnaceae,Lacunaria crenata,-64.676944,-9.354167,26.033333619435627,157.5
Ochnaceae,Lacunaria crenata,-64.405,-9.267222,26.1833332379659,167.91666666666666
Ochnaceae,Lacunaria crenata,-39.696111,-14.735,21.19166660308838,104.58333333333333
Ochnaceae,Lacunaria crenata,-84.18,10.76,25.89999993642171,287.4166666666667
Ochnaceae,Lacunaria crenata,-84.06,10.45,25.933333079020183,302.4166666666667
Ochnaceae,Lacunaria crenata,-84.04,10.4,25.424999713897705,310.6666666666667
Ochnaceae,Lacunaria crenata,-84.00361,10.43138,26.008333206176758,307.9166666666667
Ochnaceae,Lacunaria crenata,-84.00361,10.43138,26.008333206176758,307.9166666666667
Ochnaceae,Lacunaria crenata,-84.01,10.43,25.949999809265137,317.4166666666667
Ochnaceae,Lacunaria crenata,-84.0036111,10.4313889,26.008333206176758,307.9166666666667
Ochnaceae,Lacunaria crenata,-84.02,10.42,25.766666889190674,314.9166666666667
Ochnaceae,Lacunaria crenata,-83.9519,10.0114,17.35000006357829,334.6666666666667
Ochnaceae,Lacunaria crenata,-52.9708,3.8558,25.333333333333332,235.08333333333334
Ochnaceae,Lacunaria crenata,-52.8731,-10.8339,25.53333346048991,172.25
Ochnaceae,Lacunaria crenata,-52.8731,-10.8339,25.53333346048991,172.25
Ochnaceae,Lacunaria crenata,-84,10.5,26.02499993642171,310.25
Ochnaceae,Lacunaria crenata,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Ochnaceae,Lacunaria crenata,-76.5,-0.6333333,25.09166685740153,279.5
Ochnaceae,Lacunaria crenata,-82.133333,8.916667,24.174999713897705,248.58333333333334
Ochnaceae,Lacunaria crenata,-53.25,5.35,25.875,232
Ochnaceae,Lacunaria crenata,-53.05,5.283333,25.666666825612385,227.83333333333334
Ochnaceae,Lacunaria crenata,-52.2,3.616667,25.46666653951009,251.83333333333334
Ochnaceae,Lacunaria crenata,-48.341667,-1.2,26.49166663487752,222.75
Ochnaceae,Lacunaria crenata,-47.533333,-4.283333,25.59999990463257,137.33333333333334
Ochnaceae,Lacunaria crenata,-52.7,4.05,25.391666730244953,257.25
Ochnaceae,Lacunaria crenata,-60.083333,-2.316667,26.441667079925537,201.83333333333334
Ochnaceae,Lacunaria crenata,-52.7,4.05,25.391666730244953,257.25
Ochnaceae,Lacunaria crenata,-53.833333,3.666667,25.416666666666668,216.75
Ochnaceae,Lacunaria crenata,-84.066667,10.45,25.824999968210857,307.1666666666667
Ochnaceae,Lacunaria crenata,-56.880556,4.758333,26.616666475931805,170.41666666666666
Ochnaceae,Lacunaria crenata,-75.665556,-0.356667,25.333333492279053,249.58333333333334
Ochnaceae,Lacunaria crenata,-54.258611,3.221389,25.800000190734863,202.75
Ochnaceae,Lacunaria crenata,-52.35,4.866667,25.616666793823242,261.4166666666667
Ochnaceae,Lacunaria crenata,-39.537778,-14.772778,20.391666412353516,117.91666666666667
Ochnaceae,Lacunaria crenata,-76.666667,-0.6625,24.87499984105428,290.75
Ochnaceae,Lacunaria crenata,-76.6666667,-0.6625,24.87499984105428,290.75
Ochnaceae,Lacunaria crenata,-74.787,7.934167,28.21666653951009,320.6666666666667
Ochnaceae,Lacunaria crenata,-48.48972,-1.45528,26.616666793823242,246.58333333333334
Ochnaceae,Lacunaria crenata,-84.05,10.4,25.34166653951009,309.8333333333333
Ochnaceae,Lacunaria crenata,-84.0167,10.4333,25.949999809265137,316.25
Ochnaceae,Lacunaria crenata,-73.83267,3.3314,25.6833332379659,251.91666666666666
Ochnaceae,Lacunaria crenata,-72.61605,5.1906,25.233333428700764,216.41666666666666
Ochnaceae,Lacunaria crenata,-72.61603,5.19015,25.233333428700764,216.41666666666666
Ochnaceae,Lacunaria crenata,-72.6128,5.225,25.208333333333332,244.91666666666666
Ochnaceae,Lacunaria crenata,-84.33333,10.96666,25.708333333333332,263.75
Ochnaceae,Lacunaria crenata,-84.35,11.13333,25.799999872843426,261.4166666666667
Ochnaceae,Lacunaria crenata,-48.5044,-1.4558,26.59166685740153,232.91666666666666
Ochnaceae,Lacunaria crenata,-48.1522,-2.4189,26.416666348775227,185
Ochnaceae,Lacunaria crenata,-65.3,-10.016667,26.62500015894572,143.75
Ochnaceae,Lacunaria crenata,-83.46,8.73,25.833333333333332,322
Ochnaceae,Lacunaria crenata,-83.408333,10.016667,25.041666666666668,296.6666666666667
Ochnaceae,Lacunaria crenata,-84.080556,10.329167,23.71666669845581,291
Ochnaceae,Lacunaria crenata,-82.9,9.541667,26.050000031789143,240.58333333333334
Ochnaceae,Lacunaria crenata,-84.045833,10.400278,25.5,306.0833333333333
Ochnaceae,Lacunaria crenata,-84.01667,10.433333,25.949999809265137,316.25
Ochnaceae,Lacunaria crenata,-84.066667,10.45,25.824999968210857,307.1666666666667
Ochnaceae,Lacunaria crenata,-84.044444,10.4,25.34166653951009,309.8333333333333
Ochnaceae,Lacunaria crenata,-84.183333,10.766667,25.841666380564373,277.3333333333333
Ochnaceae,Lacunaria crenata,-83.9,10.409722,26.041666666666668,295.9166666666667
Ochnaceae,Lacunaria crenata,-83.470833,8.748611,25.741666475931805,266.1666666666667
Ochnaceae,Lacunaria crenata,-83.863889,10.2,24.74166711171468,312.4166666666667
Ochnaceae,Lacunaria crenata,-83.452778,9.972222,24.291666666666668,281.75
Ochnaceae,Lacunaria crenata,-84.066667,10.333333,23.75,293.6666666666667
Ochnaceae,Lacunaria crenata,-84.919444,9.944444,NA,NA
Ochnaceae,Lacunaria crenata,-84.079646,10.732093,25.8083332379659,298.25
Ochnaceae,Lacunaria crenata,-84.016669,10.433333,25.949999809265137,316.25
Ochnaceae,Lacunaria crenata,-83.86075,10.192028,24.74166711171468,312.4166666666667
Ochnaceae,Lacunaria crenata,-83.4525,8.7325,25.733333110809326,300.75
Ochnaceae,Lacunaria crenata,-63.316667,0.816667,26.574999809265137,190.75
Ochnaceae,Lacunaria crenata,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Ochnaceae,Lacunaria crenata,-59.966667,-2.883333,26.508333683013916,193.08333333333334
Ochnaceae,Lacunaria crenata,-59.932624,-2.958398,26.37500015894572,191.66666666666666
Ochnaceae,Lacunaria crenata,-65.016944,-3.988611,26.75833336512248,197.25
Ochnaceae,Lacunaria crenata,-73.83267,3.3314,25.6833332379659,251.91666666666666
Ochnaceae,Lacunaria crenata,-72.33389,-0.60277,26.28333314259847,226.41666666666666
Ochnaceae,Lacunaria crenata,-72.61605,5.1906,25.233333428700764,216.41666666666666
Ochnaceae,Lacunaria crenata,-72.61603,5.19015,25.233333428700764,216.41666666666666
Ochnaceae,Lacunaria crenata,-72.6128,5.225,25.208333333333332,244.91666666666666
