familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Lecointea amazonica,-91.312972,16.182889,24.208333492279053,191.16666666666666
Fabaceae,Lecointea amazonica,-91.312056,16.182417,24.208333492279053,191.16666666666666
Fabaceae,Lecointea amazonica,-91.313,16.183,24.208333492279053,191.16666666666666
Fabaceae,Lecointea amazonica,-91.312,16.182,24.208333492279053,191.16666666666666
Fabaceae,Lecointea amazonica,-52.8731,-10.8339,25.53333346048991,172.25
Fabaceae,Lecointea amazonica,-52.8731,-10.8339,25.53333346048991,172.25
Fabaceae,Lecointea amazonica,-52.53,-5.64861,24.61666663487752,156
Fabaceae,Lecointea amazonica,-52.8731,-10.8339,25.53333346048991,172.25
Fabaceae,Lecointea amazonica,-52.8731,-10.8339,25.53333346048991,172.25
Fabaceae,Lecointea amazonica,-52.53,-5.64861,24.61666663487752,156
Fabaceae,Lecointea amazonica,-70,-8,24.916666507720947,187.33333333333334
Fabaceae,Lecointea amazonica,-89.033333,15.95,25.49166663487752,283.8333333333333
Fabaceae,Lecointea amazonica,-63,-5,26.766666730244953,200.91666666666666
Fabaceae,Lecointea amazonica,-88.9,16.26666,25.4333332379659,275.8333333333333
Fabaceae,Lecointea amazonica,-63.5,6.3333,25.949999809265137,193.25
Fabaceae,Lecointea amazonica,-62.21666,8.26666,24.14999993642171,123
Fabaceae,Lecointea amazonica,-88.83333,16.43333,24.28333346048991,215.08333333333334
Fabaceae,Lecointea amazonica,-66.05,5.25,27.583333174387615,214.08333333333334
Fabaceae,Lecointea amazonica,-63,-5,26.766666730244953,200.91666666666666
Fabaceae,Lecointea amazonica,-44.97,-4.43,27.416666666666668,135.16666666666666
Fabaceae,Lecointea amazonica,-44.9667,-4.4333,27.416666666666668,135.16666666666666
Fabaceae,Lecointea amazonica,-44,-4.433333,27.299999872843426,124.25
Fabaceae,Lecointea amazonica,-84,10.4,25.866666316986084,317.5833333333333
Fabaceae,Lecointea amazonica,-63.22,-9.08,25.416666666666668,193.66666666666666
Fabaceae,Lecointea amazonica,-85.3,10.76,21.916666825612385,202.25
Fabaceae,Lecointea amazonica,-85.3,10.766667,21.21666669845581,192.83333333333334
Fabaceae,Lecointea amazonica,-85.3,10.77,21.21666669845581,192.83333333333334
Fabaceae,Lecointea amazonica,-84.5,10.5,26.18333339691162,277.0833333333333
Fabaceae,Lecointea amazonica,-83.566667,8.666667,24.883333524068195,267.8333333333333
Fabaceae,Lecointea amazonica,-83.56,8.66,25.14999993642171,267.3333333333333
Fabaceae,Lecointea amazonica,-83.433333,10.033333,24.208333333333332,288.75
Fabaceae,Lecointea amazonica,-83.43,10.03,24.208333333333332,288.75
Fabaceae,Lecointea amazonica,-84.486111,10.883333,26.041666666666668,249.75
Fabaceae,Lecointea amazonica,-84.48,10.88,26.05833339691162,256.1666666666667
Fabaceae,Lecointea amazonica,-84.15,9.37,NA,NA
Fabaceae,Lecointea amazonica,-84.15,9.395833,26.05833339691162,178.41666666666666
