familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Chrysobalanaceae,Leptobalanus jefensis,-79.38,9.23,21.90000009536743,228.25
Chrysobalanaceae,Leptobalanus jefensis,-79.38,9.23,21.90000009536743,228.25
Chrysobalanaceae,Leptobalanus jefensis,-79.5,9.25,25.166666825612385,217.25
Chrysobalanaceae,Leptobalanus jefensis,-85.316667,10.8,18.574999968210857,192.91666666666666
Chrysobalanaceae,Leptobalanus jefensis,-81.12,8.5,20.266666571299236,265.4166666666667
Chrysobalanaceae,Leptobalanus jefensis,-85.01,10.71,22.075000127156574,284.6666666666667
Chrysobalanaceae,Leptobalanus jefensis,-83.145833,9.788333,18.391666730244953,342.25
Chrysobalanaceae,Leptobalanus jefensis,-79.42,9.25,23.516666412353516,248.83333333333334
Chrysobalanaceae,Leptobalanus jefensis,-84.68,10.33,22.84166685740153,316.0833333333333
Chrysobalanaceae,Leptobalanus jefensis,-84.67,10.35,22.358333587646484,308.1666666666667
Chrysobalanaceae,Leptobalanus jefensis,-82.940278,9.375,20.53333330154419,243.83333333333334
Chrysobalanaceae,Leptobalanus jefensis,-84.7,10.36,19.96666669845581,277.1666666666667
Chrysobalanaceae,Leptobalanus jefensis,-85.43,10.99,22.574999968210857,249.33333333333334
Chrysobalanaceae,Leptobalanus jefensis,-84.62,10.3,21.46666685740153,286.9166666666667
Chrysobalanaceae,Leptobalanus jefensis,-84.0825,10.277222,21.183332920074463,285.3333333333333
Chrysobalanaceae,Leptobalanus jefensis,-85.04,10.72,23.05833339691162,280
