familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Licaria excelsa,-91.578088,16.982131,22.00000015894572,176.58333333333334
Lauraceae,Licaria excelsa,-84.176673,10.619204,25.333333333333332,297.5833333333333
Lauraceae,Licaria excelsa,-83.566586,8.668641,25.300000031789143,253.75
Lauraceae,Licaria excelsa,-91.298569,16.940006,24.358333428700764,201.83333333333334
Lauraceae,Licaria excelsa,-84.6078,10.2147,20.541666825612385,289.8333333333333
Lauraceae,Licaria excelsa,-84.6,10.21,20.87500015894572,289.25
Lauraceae,Licaria excelsa,-79.9106,8.5714,27.283333778381348,160.33333333333334
Lauraceae,Licaria excelsa,-82.666667,8.8,19.266666571299236,255.16666666666666
Lauraceae,Licaria excelsa,-93.833333,16.616667,24.958333333333332,77.08333333333333
Lauraceae,Licaria excelsa,-93.283333,16.833333,22.641666412353516,91.41666666666667
Lauraceae,Licaria excelsa,-82.96,8.78,20.333333333333332,230.16666666666666
Lauraceae,Licaria excelsa,-93.295,16.901667,23.56666660308838,117.83333333333333
Lauraceae,Licaria excelsa,-91.933333,17.5,26.541666666666668,221.66666666666666
Lauraceae,Licaria excelsa,-79.375,9.233889,23.300000031789143,239.16666666666666
Lauraceae,Licaria excelsa,-100.761667,18.314167,27.97500006357829,83.83333333333333
Lauraceae,Licaria excelsa,-100.698333,18.326111,28.36666663487752,77.83333333333333
Lauraceae,Licaria excelsa,-78.944444,9.311111,24.5666667620341,231.25
Lauraceae,Licaria excelsa,-93.716667,16.683333,25.31666628519694,85.75
Lauraceae,Licaria excelsa,-79.308611,9.284167,23.84166653951009,217.5
Lauraceae,Licaria excelsa,-77.233333,8.116667,19.84166685740153,170.25
Lauraceae,Licaria excelsa,-97.934722,20.522778,21.225000222524006,193.25
Lauraceae,Licaria excelsa,-94.910278,18.35,20.391666730244953,207.08333333333334
Lauraceae,Licaria excelsa,-84.53,10.23,22.28333330154419,272.4166666666667
Lauraceae,Licaria excelsa,-94.883333,18.416667,22.258333524068195,179.58333333333334
Lauraceae,Licaria excelsa,-94.85,18.316667,19.766666730244953,205.16666666666666
Lauraceae,Licaria excelsa,-93.833333,16.7,24.600000222524006,78.66666666666667
Lauraceae,Licaria excelsa,-93.716667,16.683333,25.31666628519694,85.75
Lauraceae,Licaria excelsa,-78.5,8.4833,26.633333206176758,184.75
Lauraceae,Licaria excelsa,-96.5,17,21.041666666666668,54.916666666666664
Lauraceae,Licaria excelsa,-96.316667,17.683333,23.13333336512248,225.41666666666666
Lauraceae,Licaria excelsa,-95.108333,18.583333,24.3166667620341,194.75
Lauraceae,Licaria excelsa,-84.83333,10.33333,19.083333492279053,200.25
Lauraceae,Licaria excelsa,-84.83,10.33,19.083333492279053,200.25
Lauraceae,Licaria excelsa,-84.06,10.45,25.933333079020183,302.4166666666667
Lauraceae,Licaria excelsa,-78.92,9.32,24.72500006357829,219.83333333333334
Lauraceae,Licaria excelsa,-78.9167,9.31667,24.72500006357829,219.83333333333334
Lauraceae,Licaria excelsa,-83.633334,10.683333,26.27499993642171,306.4166666666667
Lauraceae,Licaria excelsa,-83.633333,10.683333,26.299999872843426,305.3333333333333
Lauraceae,Licaria excelsa,-85.81,10.76,NA,NA
Lauraceae,Licaria excelsa,-85.32,10.8,18.574999968210857,192.91666666666666
Lauraceae,Licaria excelsa,-85.316667,10.766667,21.40833346048991,166
Lauraceae,Licaria excelsa,-84.60777,10.21472,20.541666825612385,289.8333333333333
Lauraceae,Licaria excelsa,-79.666667,9.383333,24.55833339691162,254.41666666666666
Lauraceae,Licaria excelsa,-96.4,17.6,17.708333412806194,268.75
Lauraceae,Licaria excelsa,-84.995833,10.720833,22.9333332379659,275.9166666666667
Lauraceae,Licaria excelsa,-84.99583,10.72083,22.9333332379659,275.9166666666667
Lauraceae,Licaria excelsa,-84.9958,10.7208,22.9333332379659,275.9166666666667
Lauraceae,Licaria excelsa,-84.99,10.72,22.891667048136394,283
