familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lauraceae,Licaria multinervis,-92.058333,16.125,19.791666666666668,92.25
Lauraceae,Licaria multinervis,-85.228333,12.311111,24.333333333333332,155.16666666666666
Lauraceae,Licaria multinervis,-83.65,9.89166,23.074999968210857,283.0833333333333
Lauraceae,Licaria multinervis,-83.65,9.883333,23.125,259.4166666666667
Lauraceae,Licaria multinervis,-83.65,9.88,23.125,259.4166666666667
Lauraceae,Licaria multinervis,-83.65,9.89,23.074999968210857,283.0833333333333
Lauraceae,Licaria multinervis,-91.616667,16.109722,20.30833339691162,246.83333333333334
Lauraceae,Licaria multinervis,-83.43,10,24.63333336512248,297.5833333333333
Lauraceae,Licaria multinervis,-83.433333,10,24.63333336512248,297.5833333333333
Lauraceae,Licaria multinervis,-85.666667,13.283333,18.574999968210857,168.5
Lauraceae,Licaria multinervis,-86.216667,13.25,18.666666507720947,125.41666666666667
Lauraceae,Licaria multinervis,-86.2,13.166667,21.3083332379659,91.41666666666667
Lauraceae,Licaria multinervis,-83.65,9.891667,22.93333371480306,281.0833333333333
Lauraceae,Licaria multinervis,-83.65,9.88,23.125,259.4166666666667
Lauraceae,Licaria multinervis,-83.65,9.9,22.93333371480306,281.0833333333333
Lauraceae,Licaria multinervis,-83.65,9.883333,23.125,259.4166666666667
