familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Verbenaceae,Lippia myriocephala,-92.329926,15.36974,17.016666730244953,111.08333333333333
Verbenaceae,Lippia myriocephala,-106.910491,24.017518,25.22500006357829,59.083333333333336
Verbenaceae,Lippia myriocephala,-93.088603,16.808832,21.766666889190674,90.91666666666667
Verbenaceae,Lippia myriocephala,-93.079912,16.793863,23.675000190734863,96.58333333333333
Verbenaceae,Lippia myriocephala,-92.776812,16.767475,18.34999966621399,103.08333333333333
Verbenaceae,Lippia myriocephala,-90.3714,15.4708,19.266666412353516,200.41666666666666
Verbenaceae,Lippia myriocephala,-90.37083,15.47083,19.266666412353516,200.41666666666666
Verbenaceae,Lippia myriocephala,-100.31167,22.43861,20.133333206176758,51.166666666666664
Verbenaceae,Lippia myriocephala,-99.48,21.93,20.27500009536743,56.916666666666664
Verbenaceae,Lippia myriocephala,-99.390648,21.920029,23.4333332379659,140.25
Verbenaceae,Lippia myriocephala,-99.38,21.814167,21.52499993642171,87.66666666666667
Verbenaceae,Lippia myriocephala,-90.295,14.39027,23.05833355585734,129.41666666666666
Verbenaceae,Lippia myriocephala,-90.3725,14.40777,21.18333339691162,140.16666666666666
Verbenaceae,Lippia myriocephala,-96.816667,17.977778,20.52500009536743,183.91666666666666
Verbenaceae,Lippia myriocephala,-90.3714,15.4708,19.266666412353516,200.41666666666666
Verbenaceae,Lippia myriocephala,-83.736111,9.949167,20.116666475931805,302.6666666666667
Verbenaceae,Lippia myriocephala,-90.42,15.676667,25.62500015894572,347.75
Verbenaceae,Lippia myriocephala,-97.291667,20.458333,23.65833330154419,125.83333333333333
Verbenaceae,Lippia myriocephala,-96.972222,18.563889,16.800000031789143,164.33333333333334
Verbenaceae,Lippia myriocephala,-94.97,17.97,25.641666889190674,141.75
Verbenaceae,Lippia myriocephala,-96.93,18.89,21.633333206176758,135.58333333333334
Verbenaceae,Lippia myriocephala,-98.333333,20.433333,18.358333190282185,140.33333333333334
Verbenaceae,Lippia myriocephala,-96.859444,19.2025,20.674999872843426,117.66666666666667
Verbenaceae,Lippia myriocephala,-96.825,19.991667,22.166666825612385,166.66666666666666
Verbenaceae,Lippia myriocephala,-90.37083,15.47083,19.266666412353516,200.41666666666666
Verbenaceae,Lippia myriocephala,-96.78333,19.18333,22.05833339691162,106.25
Verbenaceae,Lippia myriocephala,-96.758333,19.258333,22.824999968210857,96.41666666666667
Verbenaceae,Lippia myriocephala,-96.827222,17.964167,18.88333336512248,163.33333333333334
Verbenaceae,Lippia myriocephala,-96.56,19.25,24.6833332379659,91.41666666666667
Verbenaceae,Lippia myriocephala,-83.79222,9.89722,19.25833336512248,273.25
Verbenaceae,Lippia myriocephala,-89.07138,17.15611,25.325000127156574,142.83333333333334
Verbenaceae,Lippia myriocephala,-96.859444,19.2025,20.674999872843426,117.66666666666667
Verbenaceae,Lippia myriocephala,-90.11472,16.78805,25.758333524068195,188
Verbenaceae,Lippia myriocephala,-90.11472,16.78805,25.758333524068195,188
Verbenaceae,Lippia myriocephala,-92.28333,15.66666,19.733333269755047,131.41666666666666
Verbenaceae,Lippia myriocephala,-84.15,10.17,16.708333333333332,247.66666666666666
Verbenaceae,Lippia myriocephala,-97.103611,18.849722,20.133333524068195,108.33333333333333
Verbenaceae,Lippia myriocephala,-91.90222,15.08527,14.058333396911621,137.58333333333334
Verbenaceae,Lippia myriocephala,-91.9022,15.0853,14.058333396911621,137.58333333333334
Verbenaceae,Lippia myriocephala,-91.546389,14.686944,20.53333330154419,313.6666666666667
Verbenaceae,Lippia myriocephala,-88.21666,13.76666,19.78333330154419,170.75
Verbenaceae,Lippia myriocephala,-87.06694,14.22111,20.200000127156574,110.25
Verbenaceae,Lippia myriocephala,-93.309722,16.9375,24.86666663487752,127.08333333333333
Verbenaceae,Lippia myriocephala,-92.750833,15.740278,21.93333339691162,219.16666666666666
Verbenaceae,Lippia myriocephala,-95.225,18.458333,24.800000031789143,177.75
Verbenaceae,Lippia myriocephala,-88.1625,20.598889,25.8083332379659,96.08333333333333
Verbenaceae,Lippia myriocephala,-99.408333,22.508333,21.87499984105428,109.33333333333333
Verbenaceae,Lippia myriocephala,-99.058333,21.341667,20.12499992052714,84.41666666666667
