familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Lonchocarpus acuminatus,-97.39,18.46,20.358333269755047,53.416666666666664
Fabaceae,Lonchocarpus acuminatus,-98.3489,20.4317,17.11666663487752,148.25
Fabaceae,Lonchocarpus acuminatus,-98.333333,20.433333,18.358333190282185,140.33333333333334
Fabaceae,Lonchocarpus acuminatus,-98.33,20.431667,18.358333190282185,140.33333333333334
Fabaceae,Lonchocarpus acuminatus,-96.758333,19.25,22.74166663487752,97.08333333333333
Fabaceae,Lonchocarpus acuminatus,-86.733333,12.1,27.375,124.66666666666667
Fabaceae,Lonchocarpus acuminatus,-84.27,9.91,22,163.41666666666666
Fabaceae,Lonchocarpus acuminatus,-102,23,17.06666660308838,30.666666666666668
Fabaceae,Lonchocarpus acuminatus,-92.5675,15.423056,24.22499990463257,192.66666666666666
Fabaceae,Lonchocarpus acuminatus,-92.5675,15.42306,24.22499990463257,192.66666666666666
Fabaceae,Lonchocarpus acuminatus,-92.56,15.42,24.208333174387615,191.25
Fabaceae,Lonchocarpus acuminatus,-86.316667,12.116667,26.741666793823242,114.75
Fabaceae,Lonchocarpus acuminatus,-86.31666,12.11666,26.05833339691162,115.91666666666667
Fabaceae,Lonchocarpus acuminatus,-86.308333,12.154167,26.9333332379659,131
Fabaceae,Lonchocarpus acuminatus,-85.91666,11.45,26.59999990463257,129.25
Fabaceae,Lonchocarpus acuminatus,-84.8333,10,26.93333339691162,153
Fabaceae,Lonchocarpus acuminatus,-96.958333,19.341667,20.175000031789143,116.5
Fabaceae,Lonchocarpus acuminatus,-96.6667,19.3333,23.87499984105428,93.66666666666667
Fabaceae,Lonchocarpus acuminatus,-96.491036,18.761422,25.1833332379659,123.16666666666667
Fabaceae,Lonchocarpus acuminatus,-95.561389,18.686944,25.50833336512248,147.5
Fabaceae,Lonchocarpus acuminatus,-94.022842,16.466894,23.766666889190674,50.25
Fabaceae,Lonchocarpus acuminatus,-84.71,9.93,26.791666825612385,168.83333333333334
Fabaceae,Lonchocarpus acuminatus,-96.748056,19.460833,22.25000015894572,101.66666666666667
Fabaceae,Lonchocarpus acuminatus,-94.080555,16.476389,23.71666669845581,49.833333333333336
Fabaceae,Lonchocarpus acuminatus,-94.04,16.42,23.199999809265137,50.416666666666664
Fabaceae,Lonchocarpus acuminatus,-94.0361,16.4167,23.199999809265137,50.416666666666664
Fabaceae,Lonchocarpus acuminatus,-94.030219,16.414111,23.550000031789143,49.666666666666664
Fabaceae,Lonchocarpus acuminatus,-93.89,16.29,26.50000015894572,101.41666666666667
Fabaceae,Lonchocarpus acuminatus,-93.88,16.285556,26.916666666666668,114.25
Fabaceae,Lonchocarpus acuminatus,-84.18,9.93,21.733333269755047,221.25
Fabaceae,Lonchocarpus acuminatus,-93.883056,16.334167,24.21666669845581,61.166666666666664
Fabaceae,Lonchocarpus acuminatus,-93.875411,16.329042,24.97499990463257,75.83333333333333
Fabaceae,Lonchocarpus acuminatus,-93.8667,16.3333,25.383333206176758,87.41666666666667
Fabaceae,Lonchocarpus acuminatus,-93.401667,16.565556,21.5,82.66666666666667
Fabaceae,Lonchocarpus acuminatus,-93.3739,16.4858,20.583333174387615,88.5
Fabaceae,Lonchocarpus acuminatus,-92.36,15.31,22.77500009536743,189.33333333333334
Fabaceae,Lonchocarpus acuminatus,-92.3458,15.3167,21.474999745686848,220.83333333333334
Fabaceae,Lonchocarpus acuminatus,-94.195,16.368333,27.77500009536743,138
Fabaceae,Lonchocarpus acuminatus,-93.901667,16.235,28.108333428700764,129.5
Fabaceae,Lonchocarpus acuminatus,-93.87,16.32,25.625,90.58333333333333
Fabaceae,Lonchocarpus acuminatus,-86.3,12.11666,26.15833330154419,142.66666666666666
Fabaceae,Lonchocarpus acuminatus,-85.58,10.84,26.399999777475994,140.91666666666666
Fabaceae,Lonchocarpus acuminatus,-84.90555,10.13638,26.53333346048991,170.33333333333334
Fabaceae,Lonchocarpus acuminatus,-84.26,9.92,22.94166644414266,175.83333333333334
Fabaceae,Lonchocarpus acuminatus,-95.094067,16.741722,24.68333355585734,89.08333333333333
Fabaceae,Lonchocarpus acuminatus,-94.1239,16.411028,25.61666663487752,86.66666666666667
Fabaceae,Lonchocarpus acuminatus,-89.93333,13.81667,23.74999984105428,152.33333333333334
Fabaceae,Lonchocarpus acuminatus,-85.61666,10.88333,25.833333015441895,144.33333333333334
Fabaceae,Lonchocarpus acuminatus,-85.61,10.88,25.833333015441895,144.33333333333334
Fabaceae,Lonchocarpus acuminatus,-86.26666,12.15,27.00833336512248,148.25
Fabaceae,Lonchocarpus acuminatus,-98.478333,20.535,15.166666905085245,97.08333333333333
Fabaceae,Lonchocarpus acuminatus,-98.425,20.641667,18.491666396458943,139.41666666666666
Fabaceae,Lonchocarpus acuminatus,-93.95,16.66,22.833333492279053,66.75
Fabaceae,Lonchocarpus acuminatus,-93.929722,16.620556,24.083333492279053,61.666666666666664
Fabaceae,Lonchocarpus acuminatus,-86.35,12.166667,26.84999990463257,108.66666666666667
Fabaceae,Lonchocarpus acuminatus,-94.07,16.472778,23.608333269755047,49.416666666666664
Fabaceae,Lonchocarpus acuminatus,-94.07,16.4728,23.608333269755047,49.416666666666664
Fabaceae,Lonchocarpus acuminatus,-92.9731,16.7531,23.84166669845581,99.08333333333333
Fabaceae,Lonchocarpus acuminatus,-92.2196,16.131447,23.875,98.75
Fabaceae,Lonchocarpus acuminatus,-86.383333,11.683333,26.97499990463257,120.91666666666667
Fabaceae,Lonchocarpus acuminatus,-85.17,11.97,26.40000009536743,138.16666666666666
Fabaceae,Lonchocarpus acuminatus,-85.166667,11.966667,26.40000009536743,138.16666666666666
Fabaceae,Lonchocarpus acuminatus,-86.266667,12.116667,26.52500009536743,146.5
Fabaceae,Lonchocarpus acuminatus,-95.3728,16.78344,23.99166663487752,82.83333333333333
Fabaceae,Lonchocarpus acuminatus,-94.74781,16.68631,25.5666667620341,118.66666666666667
Fabaceae,Lonchocarpus acuminatus,-86.283333,12.033333,22.96666669845581,121.91666666666667
Fabaceae,Lonchocarpus acuminatus,-96.579026,19.30458,24.766666889190674,92.08333333333333
Fabaceae,Lonchocarpus acuminatus,-85.95,11.65,26.833333333333332,121.91666666666667
Fabaceae,Lonchocarpus acuminatus,-94.2167,16.45,27.09999990463257,124.83333333333333
Fabaceae,Lonchocarpus acuminatus,-94.216667,16.45,27.09999990463257,124.83333333333333
Fabaceae,Lonchocarpus acuminatus,-94.21666,16.45,26.99166663487752,121.75
Fabaceae,Lonchocarpus acuminatus,-93.12514,16.84439,21.358333269755047,93.41666666666667
Fabaceae,Lonchocarpus acuminatus,-93.100833,16.794444,24.27500009536743,99.25
Fabaceae,Lonchocarpus acuminatus,-92.157222,15.460278,16.03333322207133,107.08333333333333
Fabaceae,Lonchocarpus acuminatus,-92.11506,15.47011,22.64999993642171,132
Fabaceae,Lonchocarpus acuminatus,-95.099769,16.802791,25.483333428700764,100.16666666666667
Fabaceae,Lonchocarpus acuminatus,-95.072222,16.801111,25.391666730244953,103.75
Fabaceae,Lonchocarpus acuminatus,-84.27,9.91,22,163.41666666666666
Fabaceae,Lonchocarpus acuminatus,-84.266667,9.916667,22.516666730244953,173.08333333333334
Fabaceae,Lonchocarpus acuminatus,-84.26,9.91,22.30833339691162,174.5
Fabaceae,Lonchocarpus acuminatus,-93.354167,15.966667,21.53333314259847,123.33333333333333
Fabaceae,Lonchocarpus acuminatus,-93.342778,15.953333,22.325000127156574,126.5
Fabaceae,Lonchocarpus acuminatus,-93.3325,15.977222,23.625,125.91666666666667
Fabaceae,Lonchocarpus acuminatus,-93.12,17,23.516666730244953,136.41666666666666
Fabaceae,Lonchocarpus acuminatus,-89.28333,13.58333,23.675000349680584,159.5
Fabaceae,Lonchocarpus acuminatus,-85.47,10.92,21.233333269755047,180.66666666666666
Fabaceae,Lonchocarpus acuminatus,-84.386111,9.7,24.608333269755047,232.91666666666666
Fabaceae,Lonchocarpus acuminatus,-84.386111,9.711111,23.89999993642171,231.75
Fabaceae,Lonchocarpus acuminatus,-84.38,9.71,22.641666730244953,213.08333333333334
Fabaceae,Lonchocarpus acuminatus,-91.17,14.73,18.725000222524006,187.16666666666666
Fabaceae,Lonchocarpus acuminatus,-85.267989,10.839428,22.333333333333332,279.1666666666667
Fabaceae,Lonchocarpus acuminatus,-85.26,10.83,23,269.0833333333333
Fabaceae,Lonchocarpus acuminatus,-84.833334,10.266667,21.141666571299236,199.33333333333334
Fabaceae,Lonchocarpus acuminatus,-84.83,10.26,22.69166660308838,206.58333333333334
Fabaceae,Lonchocarpus acuminatus,-84.583333,9.758333,23.799999872843426,218.08333333333334
Fabaceae,Lonchocarpus acuminatus,-84.58333,9.75833,23.799999872843426,218.08333333333334
Fabaceae,Lonchocarpus acuminatus,-84.58,9.75,24.266666571299236,222.33333333333334
Fabaceae,Lonchocarpus acuminatus,-84.58,9.76,24.49166663487752,221.58333333333334
Fabaceae,Lonchocarpus acuminatus,-84.511111,9.733333,24.883333206176758,237.25
Fabaceae,Lonchocarpus acuminatus,-84.51,9.73,24.883333206176758,237.25
Fabaceae,Lonchocarpus acuminatus,-93.005,17.345,24.208333333333332,332
Fabaceae,Lonchocarpus acuminatus,-89.93333,13.81667,23.74999984105428,152.33333333333334
Fabaceae,Lonchocarpus acuminatus,-84.844444,10.25,23.116666793823242,219.33333333333334
Fabaceae,Lonchocarpus acuminatus,-84.84,10.25,23.09166669845581,229.91666666666666
Fabaceae,Lonchocarpus acuminatus,-89.93333,13.81667,23.74999984105428,152.33333333333334
Fabaceae,Lonchocarpus acuminatus,-84.8,10.27,20.166666666666668,208.16666666666666
Fabaceae,Lonchocarpus acuminatus,-84.795834,10.275833,20.63333336512248,212.66666666666666
Fabaceae,Lonchocarpus acuminatus,-84.79,10.27,19.40000009536743,220.5
Fabaceae,Lonchocarpus acuminatus,-84.393056,9.707778,24.375,226.66666666666666
Fabaceae,Lonchocarpus acuminatus,-84.39,9.7,24.608333269755047,232.91666666666666
Fabaceae,Lonchocarpus acuminatus,-95.35,16.78333,23.875,84.83333333333333
Fabaceae,Lonchocarpus acuminatus,-85.39,9.86,26.12499984105428,176.91666666666666
Fabaceae,Lonchocarpus acuminatus,-84.48,9.84,22.491666475931805,193.25
Fabaceae,Lonchocarpus acuminatus,-84.477778,9.838889,22.491666475931805,193.25
Fabaceae,Lonchocarpus acuminatus,-84.47,9.83,22.27499993642171,220.33333333333334
Fabaceae,Lonchocarpus acuminatus,-84.266667,9.916667,22.516666730244953,173.08333333333334
Fabaceae,Lonchocarpus acuminatus,-84.26,9.92,22.94166644414266,175.83333333333334
Fabaceae,Lonchocarpus acuminatus,-85.305556,10.55,27.083333651224773,147.08333333333334
Fabaceae,Lonchocarpus acuminatus,-86.35,13.23333,22.05833339691162,92.41666666666667
Fabaceae,Lonchocarpus acuminatus,-85.96666,11.65,26.8083332379659,122.33333333333333
Fabaceae,Lonchocarpus acuminatus,-85.804444,10.894444,26.65833346048991,133.5
Fabaceae,Lonchocarpus acuminatus,-85.616667,10.894444,26.18333371480306,136.75
Fabaceae,Lonchocarpus acuminatus,-85.61,10.84,25.75833336512248,138.5
Fabaceae,Lonchocarpus acuminatus,-89.98333,13.81667,25.324999968210857,147.58333333333334
Fabaceae,Lonchocarpus acuminatus,-89.455833,13.496944,26.55833339691162,148.25
Fabaceae,Lonchocarpus acuminatus,-89.45083,13.49694,26.55833339691162,148.25
Fabaceae,Lonchocarpus acuminatus,-89.23333,13.58333,23.633333524068195,158.16666666666666
Fabaceae,Lonchocarpus acuminatus,-85.352354,10.349118,27.208333333333332,164.83333333333334
Fabaceae,Lonchocarpus acuminatus,-93.871111,16.324722,25.625,90.58333333333333
Fabaceae,Lonchocarpus acuminatus,-89.35,14.41666,14.100000143051147,138.16666666666666
Fabaceae,Lonchocarpus acuminatus,-94.975083,16.752167,25.458333492279053,107.91666666666667
Fabaceae,Lonchocarpus acuminatus,-94.034167,16.413889,23.741666475931805,50.583333333333336
Fabaceae,Lonchocarpus acuminatus,-94.03416,16.41388,23.741666475931805,50.583333333333336
Fabaceae,Lonchocarpus acuminatus,-93.876667,16.288333,26.916666666666668,114.25
Fabaceae,Lonchocarpus acuminatus,-93.876667,16.305,26.558333079020183,110.5
Fabaceae,Lonchocarpus acuminatus,-93.87666,16.28833,26.916666666666668,114.25
Fabaceae,Lonchocarpus acuminatus,-93.783333,16.166667,25.72500006357829,92.16666666666667
Fabaceae,Lonchocarpus acuminatus,-93.773056,16.176389,24.97500006357829,83.58333333333333
Fabaceae,Lonchocarpus acuminatus,-93.5475,16.274722,22.90833330154419,84.08333333333333
Fabaceae,Lonchocarpus acuminatus,-92.5475,16.274722,24.550000190734863,107.33333333333333
Fabaceae,Lonchocarpus acuminatus,-89.35,14.41666,14.100000143051147,138.16666666666666
Fabaceae,Lonchocarpus acuminatus,-89.05,13.65,24.03333346048991,161.08333333333334
Fabaceae,Lonchocarpus acuminatus,-85.4,10.013889,24.041666825612385,191.91666666666666
Fabaceae,Lonchocarpus acuminatus,-84.81191,10.14432,25.308333079020183,186.33333333333334
Fabaceae,Lonchocarpus acuminatus,-84.81166,10.14416,25.308333079020183,186.33333333333334
Fabaceae,Lonchocarpus acuminatus,-84.8,10.14,25.71666653951009,190
Fabaceae,Lonchocarpus acuminatus,-84.627778,9.759722,26.74999984105428,162.66666666666666
Fabaceae,Lonchocarpus acuminatus,-94.086389,16.448055,24.333333333333332,59
Fabaceae,Lonchocarpus acuminatus,-94.086389,16.448056,24.333333333333332,59
Fabaceae,Lonchocarpus acuminatus,-94.031667,16.413611,23.550000031789143,49.666666666666664
Fabaceae,Lonchocarpus acuminatus,-94.024444,16.465,23.583333174387615,50.666666666666664
