familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Lonchocarpus hedyosmus,-55.159049,5.846517,27.108333428700764,170.5
Fabaceae,Lonchocarpus hedyosmus,-76.08333,-5.9,27.200000286102295,174.66666666666666
Fabaceae,Lonchocarpus hedyosmus,-76.08,-5.9,27.200000286102295,174.66666666666666
Fabaceae,Lonchocarpus hedyosmus,-66.16944,7.1225,26.941666920979817,156.33333333333334
Fabaceae,Lonchocarpus hedyosmus,-52.4957,-3.601317,25.62499984105428,162.33333333333334
Fabaceae,Lonchocarpus hedyosmus,-52.53,-5.64861,24.61666663487752,156
Fabaceae,Lonchocarpus hedyosmus,-52.4957,-3.601317,25.62499984105428,162.33333333333334
Fabaceae,Lonchocarpus hedyosmus,-60.320089,-2.545115,26.716666380564373,195.83333333333334
Fabaceae,Lonchocarpus hedyosmus,-60.32,-2.545,26.716666380564373,195.83333333333334
Fabaceae,Lonchocarpus hedyosmus,-47.27,-1.083333,26.1916667620341,204.91666666666666
Fabaceae,Lonchocarpus hedyosmus,-86.769722,15.749444,26.699999650319416,178.5
Fabaceae,Lonchocarpus hedyosmus,-86.619143,14.819222,23.0666667620341,112.33333333333333
Fabaceae,Lonchocarpus hedyosmus,-86.4556,14.8364,24.641666571299236,94
Fabaceae,Lonchocarpus hedyosmus,-59.83,3.16,27.699999809265137,136.33333333333334
Fabaceae,Lonchocarpus hedyosmus,-65.9119,7.0758,27.366666952768963,155.91666666666666
Fabaceae,Lonchocarpus hedyosmus,-65.9119,7.0758,27.366666952768963,155.91666666666666
Fabaceae,Lonchocarpus hedyosmus,-61.88,8.03,25.3083332379659,126.91666666666667
Fabaceae,Lonchocarpus hedyosmus,-65.9119,7.0758,27.366666952768963,155.91666666666666
Fabaceae,Lonchocarpus hedyosmus,-56.7,5.666667,26.991666475931805,166
Fabaceae,Lonchocarpus hedyosmus,-56.669167,5.7575,27.074999809265137,161
Fabaceae,Lonchocarpus hedyosmus,-55.916667,5.8,26.97500006357829,161.08333333333334
Fabaceae,Lonchocarpus hedyosmus,-65.9119,7.0758,27.366666952768963,155.91666666666666
Fabaceae,Lonchocarpus hedyosmus,-54.41,4.33,26.333333492279053,209.25
Fabaceae,Lonchocarpus hedyosmus,-93.03,17.40639,24.766666571299236,355.75
Fabaceae,Lonchocarpus hedyosmus,-52.01,4.5,25.90833330154419,274.4166666666667
Fabaceae,Lonchocarpus hedyosmus,-94.683651,17.226091,25.208333174387615,281.6666666666667
Fabaceae,Lonchocarpus hedyosmus,-94.612229,17.253336,25.291666666666668,304.6666666666667
Fabaceae,Lonchocarpus hedyosmus,-64.216667,10.016667,20.574999968210857,99.08333333333333
Fabaceae,Lonchocarpus hedyosmus,-63.116667,7.583333,26.09166669845581,128.5
Fabaceae,Lonchocarpus hedyosmus,-59.65,2.96,27.75,128.41666666666666
Fabaceae,Lonchocarpus hedyosmus,-59.65,2.966667,27.74166663487752,127.25
Fabaceae,Lonchocarpus hedyosmus,-60.67,2.83,27.93333339691162,139.08333333333334
Fabaceae,Lonchocarpus hedyosmus,-61.733333,3.433333,26.483333428700764,178.58333333333334
Fabaceae,Lonchocarpus hedyosmus,-61.73,3.43,26.483333428700764,178.58333333333334
Fabaceae,Lonchocarpus hedyosmus,-84.497222,9.794444,22.05833339691162,203.5
Fabaceae,Lonchocarpus hedyosmus,-84.49,9.79,22.208333492279053,196
Fabaceae,Lonchocarpus hedyosmus,-88.6975,15.106944,24.491666475931805,127.33333333333333
Fabaceae,Lonchocarpus hedyosmus,-86.99,15.37,25.608333746592205,96.91666666666667
Fabaceae,Lonchocarpus hedyosmus,-53.166667,5.333333,25.941666920979817,237.33333333333334
Fabaceae,Lonchocarpus hedyosmus,-84.608333,9.797222,26.766666571299236,185.33333333333334
Fabaceae,Lonchocarpus hedyosmus,-84.520833,9.805556,25.27499993642171,219.08333333333334
Fabaceae,Lonchocarpus hedyosmus,-83.777778,10.213889,25.15000041325887,329.5833333333333
Fabaceae,Lonchocarpus hedyosmus,-84.644444,9.666389,26.55833355585734,239.66666666666666
Fabaceae,Lonchocarpus hedyosmus,-84.64444,9.666389,26.55833355585734,239.66666666666666
Fabaceae,Lonchocarpus hedyosmus,-63.65,-18.1,21.85000006357829,74.75
Fabaceae,Lonchocarpus hedyosmus,-62.83333,8.15,26.808333079020183,107.25
Fabaceae,Lonchocarpus hedyosmus,-61.565556,3.391944,26.72499990463257,172.91666666666666
Fabaceae,Lonchocarpus hedyosmus,-73.88028,-4.27667,26.40833314259847,208.91666666666666
Fabaceae,Lonchocarpus hedyosmus,-67.8833,-15.4833,24.24166663487752,132.5
Fabaceae,Lonchocarpus hedyosmus,-67.72,-16.18,21.325000127156574,104.66666666666667
