familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Lonchocarpus minimiflorus,-85.614,10.844,25.766666730244953,139.66666666666666
Fabaceae,Lonchocarpus minimiflorus,-86.266667,12.133333,26.666666507720947,142.33333333333334
Fabaceae,Lonchocarpus minimiflorus,-86.25,11.866667,23.375,109
Fabaceae,Lonchocarpus minimiflorus,-85.95,11.858333,25.27500009536743,122.91666666666667
Fabaceae,Lonchocarpus minimiflorus,-93.116667,16.752778,24.9416667620341,95.5
Fabaceae,Lonchocarpus minimiflorus,-93.116944,16.713889000000002,23.89999993642171,86.66666666666667
Fabaceae,Lonchocarpus minimiflorus,-93.1,16.726944,24.641666730244953,90.5
Fabaceae,Lonchocarpus minimiflorus,-92.959722,16.506944,25.541666507720947,92.33333333333333
Fabaceae,Lonchocarpus minimiflorus,-92.916667,16.05,24.52500009536743,134.08333333333334
Fabaceae,Lonchocarpus minimiflorus,-92.675,16.122222,25.050000031789143,124
Fabaceae,Lonchocarpus minimiflorus,-92.330556,17.170833,22.21666669845581,196.5
Fabaceae,Lonchocarpus minimiflorus,-92.419444,15.219444,25.450000286102295,216.91666666666666
Fabaceae,Lonchocarpus minimiflorus,-86.800278,13.783333,24.699999809265137,67.5
Fabaceae,Lonchocarpus minimiflorus,-93.779444,16.27,25.616666793823242,95
Fabaceae,Lonchocarpus minimiflorus,-93.260556,16.292222,24.71666685740153,88.25
Fabaceae,Lonchocarpus minimiflorus,-87.094167,13.874722,23.583333333333332,88.16666666666667
Fabaceae,Lonchocarpus minimiflorus,-86.806389,13.929167,24.116666952768963,65.33333333333333
Fabaceae,Lonchocarpus minimiflorus,-103.3677003,18.75757485,24.09166685740153,87.25
Fabaceae,Lonchocarpus minimiflorus,-92.9893515,16.23964449,24.84166685740153,99.25
Fabaceae,Lonchocarpus minimiflorus,-92.96605757,15.73109474,21.65000009536743,200.75
Fabaceae,Lonchocarpus minimiflorus,-85.311111,10.766667,21.50833336512248,177.58333333333334
Fabaceae,Lonchocarpus minimiflorus,-84.833333,10.266667,22.141666571299236,207.16666666666666
Fabaceae,Lonchocarpus minimiflorus,-85.291111,10.75,22.46666685740153,208.5
Fabaceae,Lonchocarpus minimiflorus,-85.7375,10.922222,26.474999745686848,141.5
Fabaceae,Lonchocarpus minimiflorus,-85.213889,10.336111,27.274999777475994,161.5
Fabaceae,Lonchocarpus minimiflorus,-84.816667,10.266667,22.37500015894572,205.25
Fabaceae,Lonchocarpus minimiflorus,-85.383056,9.855556,26.62499984105428,156.41666666666666
Fabaceae,Lonchocarpus minimiflorus,-85.318056,10.440278,26.958333492279053,154.16666666666666
