familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Lonchocarpus monteviridis,-84.987028,10.715194,22.65833314259847,277.9166666666667
Fabaceae,Lonchocarpus monteviridis,-85.005556,10.72,22.766666571299236,279.1666666666667
Fabaceae,Lonchocarpus monteviridis,-84.71,10.4,20.083333174387615,292.6666666666667
Fabaceae,Lonchocarpus monteviridis,-85.38,10.88,22.791666666666668,260.4166666666667
Fabaceae,Lonchocarpus monteviridis,-84.8,10.3,18.574999968210857,210.08333333333334
Fabaceae,Lonchocarpus monteviridis,-84.8,10.3,18.574999968210857,210.08333333333334
Fabaceae,Lonchocarpus monteviridis,-85.388611,10.884167,23.50833336512248,250.33333333333334
Fabaceae,Lonchocarpus monteviridis,-85.005556,10.720833,22.766666571299236,279.1666666666667
Fabaceae,Lonchocarpus monteviridis,-84.839722,10.3375,19.050000190734863,203
Fabaceae,Lonchocarpus monteviridis,-84.666667,10.35,22.358333587646484,308.1666666666667
Fabaceae,Lonchocarpus monteviridis,-84.85,10.35,19.47499990463257,206.66666666666666
Fabaceae,Lonchocarpus monteviridis,-84.85,10.35,19.47499990463257,206.66666666666666
Fabaceae,Lonchocarpus monteviridis,-84.833333,10.333333,19.083333492279053,200.25
Fabaceae,Lonchocarpus monteviridis,-84.8075,10.30861,18.28333330154419,196.58333333333334
Fabaceae,Lonchocarpus monteviridis,-84.80416,10.30944,18.28333330154419,196.58333333333334
Fabaceae,Lonchocarpus monteviridis,-84.83333,10.33333,19.083333492279053,200.25
Fabaceae,Lonchocarpus monteviridis,-84.83333,10.33333,19.083333492279053,200.25
Fabaceae,Lonchocarpus monteviridis,-84.800004,10.3,18.699999968210857,200.83333333333334
Fabaceae,Lonchocarpus monteviridis,-84.800006,10.3,18.699999968210857,200.83333333333334
Fabaceae,Lonchocarpus monteviridis,-84.80416,10.30944,18.28333330154419,196.58333333333334
Fabaceae,Lonchocarpus monteviridis,-84.800007,10.3,18.699999968210857,200.83333333333334
Fabaceae,Lonchocarpus monteviridis,-84.66,10.35,23.258333206176758,303.75
Fabaceae,Lonchocarpus monteviridis,-84.8,10.35,17.733333110809326,253.16666666666666
Fabaceae,Lonchocarpus monteviridis,-84.8,10.3,18.574999968210857,210.08333333333334
Fabaceae,Lonchocarpus monteviridis,-84.716667,10.4,20.074999968210857,298.25
Fabaceae,Lonchocarpus monteviridis,-84.8,10.35,17.733333110809326,253.16666666666666
Fabaceae,Lonchocarpus monteviridis,-84.512778,10.2025,21.516666889190674,281.9166666666667
Fabaceae,Lonchocarpus monteviridis,-85,10.611111,21.37500015894572,285.8333333333333
Fabaceae,Lonchocarpus monteviridis,-84.51278,10.2025,21.516666889190674,281.9166666666667
Fabaceae,Lonchocarpus monteviridis,-85,10.611111,21.37500015894572,285.8333333333333
