familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Lonchocarpus salvadorensis,-89.73833,13.71638,25.849999745686848,146.33333333333334
Fabaceae,Lonchocarpus salvadorensis,-89.2,13.71666,23.583333333333332,152.08333333333334
Fabaceae,Lonchocarpus salvadorensis,-89.20305,13.70861,23.37500015894572,152.58333333333334
Fabaceae,Lonchocarpus salvadorensis,-84.96638,10.46916,23.608333110809326,192.66666666666666
Fabaceae,Lonchocarpus salvadorensis,-84.21,9.93,21.949999809265137,206.66666666666666
Fabaceae,Lonchocarpus salvadorensis,-102.5039,18.5925,21.27500009536743,83.75
Fabaceae,Lonchocarpus salvadorensis,-92.5225,15.4406,22.350000222524006,197.25
Fabaceae,Lonchocarpus salvadorensis,-92.633889,15.241667,27.47500006357829,176
Fabaceae,Lonchocarpus salvadorensis,-104.775,20.2128,18.52500009536743,99.25
Fabaceae,Lonchocarpus salvadorensis,-104.32342,19.44764,24.0666667620341,141.33333333333334
Fabaceae,Lonchocarpus salvadorensis,-84.25,9.91,22.408332983652752,214.16666666666666
Fabaceae,Lonchocarpus salvadorensis,-84.18,9.93,21.733333269755047,221.25
Fabaceae,Lonchocarpus salvadorensis,-84.96916,10.21222,26.699999809265137,162.16666666666666
Fabaceae,Lonchocarpus salvadorensis,-84.59611,10.01694,24.833333333333332,197.16666666666666
Fabaceae,Lonchocarpus salvadorensis,-89.51666,13.93333,22.991666793823242,141.25
Fabaceae,Lonchocarpus salvadorensis,-84.71666,9.95,26.71666653951009,172.25
Fabaceae,Lonchocarpus salvadorensis,-84.71,10,26.833333492279053,200.16666666666666
Fabaceae,Lonchocarpus salvadorensis,-104.627753,19.4893,25.4416667620341,120.66666666666667
Fabaceae,Lonchocarpus salvadorensis,-89.99055,14.12527,24.641666730244953,122.33333333333333
Fabaceae,Lonchocarpus salvadorensis,-84.32,10.1,21.233333269755047,212.58333333333334
Fabaceae,Lonchocarpus salvadorensis,-101.266997,17.956814,24,98.91666666666667
Fabaceae,Lonchocarpus salvadorensis,-93.225,15.675,28.116666475931805,180.66666666666666
Fabaceae,Lonchocarpus salvadorensis,-93.0175,15.538333,27.666666666666668,200.25
Fabaceae,Lonchocarpus salvadorensis,-93.016667,15.538889,27.666666666666668,200.25
Fabaceae,Lonchocarpus salvadorensis,-96.43333,15.85,24.96666653951009,104.66666666666667
Fabaceae,Lonchocarpus salvadorensis,-96.43,15.85,24.96666653951009,104.66666666666667
Fabaceae,Lonchocarpus salvadorensis,-96.419208,15.870556,23.324999968210857,138.66666666666666
Fabaceae,Lonchocarpus salvadorensis,-95.09133,18.43125,24.708333651224773,163.08333333333334
Fabaceae,Lonchocarpus salvadorensis,-84.54,10.03,22.53333330154419,207.91666666666666
Fabaceae,Lonchocarpus salvadorensis,-92.42,15.0125,27.78333346048991,171.83333333333334
Fabaceae,Lonchocarpus salvadorensis,-92.375,15.025,27.199999968210857,206.58333333333334
Fabaceae,Lonchocarpus salvadorensis,-92.188333,14.868333,27.108333269755047,252.58333333333334
Fabaceae,Lonchocarpus salvadorensis,-104.325,19.508333,23.55833355585734,123.58333333333333
Fabaceae,Lonchocarpus salvadorensis,-103.975,19.575,22.18333339691162,70.58333333333333
Fabaceae,Lonchocarpus salvadorensis,-92.465828,15.1389,27.541666507720947,186.75
Fabaceae,Lonchocarpus salvadorensis,-92.408333,15.108333,27.15833314259847,191.5
Fabaceae,Lonchocarpus salvadorensis,-89.45,14.62,24.074999809265137,84
Fabaceae,Lonchocarpus salvadorensis,-104.495833,19.580556,25.63333336512248,125.91666666666667
Fabaceae,Lonchocarpus salvadorensis,-104.414722,19.614722,24.00833336512248,137.33333333333334
Fabaceae,Lonchocarpus salvadorensis,-104.408056,19.580556,22.883333047231037,117.91666666666667
Fabaceae,Lonchocarpus salvadorensis,-104.219444,19.4375,23.14999993642171,101.66666666666667
Fabaceae,Lonchocarpus salvadorensis,-104.2194,19.4375,23.14999993642171,101.66666666666667
Fabaceae,Lonchocarpus salvadorensis,-104.2,19.465833,21.87499984105428,89.75
Fabaceae,Lonchocarpus salvadorensis,-93.371389,16.898889,22.766666730244953,107.08333333333333
Fabaceae,Lonchocarpus salvadorensis,-89.38333,13.73333,23.950000127156574,147
Fabaceae,Lonchocarpus salvadorensis,-89.38,13.73,23.950000127156574,147
Fabaceae,Lonchocarpus salvadorensis,-85,10.25,26.90833330154419,166.25
Fabaceae,Lonchocarpus salvadorensis,-84.85,10.21,24.491666793823242,214.08333333333334
Fabaceae,Lonchocarpus salvadorensis,-84.85,10.216667,24.43333339691162,212.83333333333334
Fabaceae,Lonchocarpus salvadorensis,-84.85,10.22,24.43333339691162,212.83333333333334
Fabaceae,Lonchocarpus salvadorensis,-84.566667,9.766667,24.24999984105428,217.25
Fabaceae,Lonchocarpus salvadorensis,-84.56,9.76,24.083333333333332,229.5
Fabaceae,Lonchocarpus salvadorensis,-103.76,19.320278,25.666666666666668,77.41666666666667
Fabaceae,Lonchocarpus salvadorensis,-89.933334,13.816667,24.333333015441895,149.08333333333334
Fabaceae,Lonchocarpus salvadorensis,-89.93333,13.81666,23.78333330154419,153.91666666666666
Fabaceae,Lonchocarpus salvadorensis,-89.93333,13.81667,23.74999984105428,152.33333333333334
Fabaceae,Lonchocarpus salvadorensis,-89.93,13.82,23.74999984105428,152.33333333333334
Fabaceae,Lonchocarpus salvadorensis,-89.25,13.666667,22.583333333333332,157.66666666666666
Fabaceae,Lonchocarpus salvadorensis,-89.25,13.67,22.583333333333332,157.66666666666666
Fabaceae,Lonchocarpus salvadorensis,-89.2,13.7,23.658332983652752,152.91666666666666
Fabaceae,Lonchocarpus salvadorensis,-89.199997,13.7,23.658332983652752,152.91666666666666
Fabaceae,Lonchocarpus salvadorensis,-92.838611,15.565278,24.5583332379659,211
Fabaceae,Lonchocarpus salvadorensis,-91.57,14.65,23.19166660308838,335.75
Fabaceae,Lonchocarpus salvadorensis,-89.50222,14.72833,25.508333206176758,72.91666666666667
Fabaceae,Lonchocarpus salvadorensis,-89.48,14.72,24.266666730244953,83.25
Fabaceae,Lonchocarpus salvadorensis,-104.413333,19.587778,23.341666380564373,127.5
Fabaceae,Lonchocarpus salvadorensis,-99.37,17.25,24.43333355585734,129.08333333333334
Fabaceae,Lonchocarpus salvadorensis,-93.92,16.25,28.05833339691162,129.75
