familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lacistemaceae,Lozania mutisiana,-77.983333,1.15,17.46666685740153,135.83333333333334
Lacistemaceae,Lozania mutisiana,-77.983333,1.316667,18.25,165.41666666666666
Lacistemaceae,Lozania mutisiana,-77.983333,1.15,17.46666685740153,135.83333333333334
Lacistemaceae,Lozania mutisiana,-84.55,10.13,19.85000006357829,233.33333333333334
Lacistemaceae,Lozania mutisiana,-83.9519,10.0114,17.35000006357829,334.6666666666667
Lacistemaceae,Lozania mutisiana,-74.14,-9.1839,26.22499990463257,146.33333333333334
Lacistemaceae,Lozania mutisiana,-73.37,5.53,12.675000031789144,83.75
Lacistemaceae,Lozania mutisiana,-72.5,5.5,23.425000031789143,218.41666666666666
Lacistemaceae,Lozania mutisiana,-76.86638,-5.92194,22.19166660308838,129
Lacistemaceae,Lozania mutisiana,-84.15,10.17,16.708333333333332,247.66666666666666
Lacistemaceae,Lozania mutisiana,-76,3,7.324999968210856,136.16666666666666
Lacistemaceae,Lozania mutisiana,-76.75,3.1,19.550000190734863,185.16666666666666
Lacistemaceae,Lozania mutisiana,-76,3,7.324999968210856,136.16666666666666
Lacistemaceae,Lozania mutisiana,-82.461667,8.838333,16.274999856948853,202.16666666666666
Lacistemaceae,Lozania mutisiana,-75.5,7,16.18333339691162,220.91666666666666
Lacistemaceae,Lozania mutisiana,-75.392375,7.352906,25.424999713897705,292.5
Lacistemaceae,Lozania mutisiana,-75.4992,6.29616,15.599999904632568,185.33333333333334
Lacistemaceae,Lozania mutisiana,-83.77722,9.72527,18.300000190734863,268.8333333333333
Lacistemaceae,Lozania mutisiana,-84,10.03,18.891666889190674,270.4166666666667
Lacistemaceae,Lozania mutisiana,-83.78,9.73,18.300000190734863,268.8333333333333
Lacistemaceae,Lozania mutisiana,-82.25,8.766667,17.75000015894572,302.0833333333333
Lacistemaceae,Lozania mutisiana,-84.15,10.2,17.89999993642171,255.5
Lacistemaceae,Lozania mutisiana,-77.4,8.666667,25.625,157.83333333333334
Lacistemaceae,Lozania mutisiana,-78.27555,-4.41,26.11666663487752,168.66666666666666
Lacistemaceae,Lozania mutisiana,-77.98333,-1.46666,20.983333269755047,369.5833333333333
Lacistemaceae,Lozania mutisiana,-84.5,10.5,26.18333339691162,277.0833333333333
Lacistemaceae,Lozania mutisiana,-84.7875,10.3175,17.40000009536743,220.33333333333334
Lacistemaceae,Lozania mutisiana,-84.78611,10.30027,17.666666507720947,225.66666666666666
Lacistemaceae,Lozania mutisiana,-76.21666,4.98333,18,230.91666666666666
Lacistemaceae,Lozania mutisiana,-84.80666,10.3175,17.65833314259847,214.41666666666666
Lacistemaceae,Lozania mutisiana,-79.921944,8.687222,22.799999713897705,215.25
Lacistemaceae,Lozania mutisiana,-75.50828,6.22154,14.975000063578287,179.83333333333334
Lacistemaceae,Lozania mutisiana,-75.432375,5.983075,14.733333349227905,184.58333333333334
Lacistemaceae,Lozania mutisiana,-75.045326,6.19737,19.574999968210857,256.6666666666667
Lacistemaceae,Lozania mutisiana,-75.011944,6.018611,19.766666571299236,245.08333333333334
Lacistemaceae,Lozania mutisiana,-78.47,0.82,20.850000222524006,175.25
Lacistemaceae,Lozania mutisiana,-78.466667,0.833333,20.850000222524006,175
Lacistemaceae,Lozania mutisiana,-78.466,0.833,21.53333330154419,186.58333333333334
Lacistemaceae,Lozania mutisiana,-69.916667,9.466667,22.541666666666668,114.16666666666667
Lacistemaceae,Lozania mutisiana,-69.9,9.433333,19.108333110809326,94.5
Lacistemaceae,Lozania mutisiana,-76.666667,5.633333,26.90833346048991,587.75
Lacistemaceae,Lozania mutisiana,-76.64674,5.18635,26.574999809265137,569.5833333333334
Lacistemaceae,Lozania mutisiana,-76.64507,5.62491,26.858333269755047,575.25
Lacistemaceae,Lozania mutisiana,-75.2936,5.76626,14.691666762034098,197.75
Lacistemaceae,Lozania mutisiana,-83.98,10.06,19.90000009536743,282.4166666666667
Lacistemaceae,Lozania mutisiana,-83.78,9.78,18.608333269755047,281.4166666666667
Lacistemaceae,Lozania mutisiana,-83.78,9.783333,18.608333269755047,281.4166666666667
