familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Lacistemaceae,Lozania pittieri,-79.9106,8.5714,27.283333778381348,160.33333333333334
Lacistemaceae,Lozania pittieri,-79.79805,9.1725,26.49999984105428,200.08333333333334
Lacistemaceae,Lozania pittieri,-79.84361,9.17805,26.53333314259847,205.08333333333334
Lacistemaceae,Lozania pittieri,-82.15,9.31666,25.87500015894572,224.66666666666666
Lacistemaceae,Lozania pittieri,-79.9,8.68333,26.21666669845581,173.08333333333334
Lacistemaceae,Lozania pittieri,-79.65,9.55,26.133333524068195,209.58333333333334
Lacistemaceae,Lozania pittieri,-79.41638,9.16722,23.450000286102295,210.91666666666666
Lacistemaceae,Lozania pittieri,-84.379444,10.373056,23.80833339691162,297.6666666666667
Lacistemaceae,Lozania pittieri,-79.61666,9.20888,26.44166628519694,204.5
Lacistemaceae,Lozania pittieri,-79.91638,8.6875,24.22499990463257,202.58333333333334
Lacistemaceae,Lozania pittieri,-77.733333,8.916667,NA,NA
Lacistemaceae,Lozania pittieri,-79.916389,8.6875,24.22499990463257,202.58333333333334
Lacistemaceae,Lozania pittieri,-79.84333,9.15472,26.041666507720947,184.16666666666666
Lacistemaceae,Lozania pittieri,-79.65,9.55,26.133333524068195,209.58333333333334
Lacistemaceae,Lozania pittieri,-79.641667,9.491667,25.60000006357829,280.5833333333333
Lacistemaceae,Lozania pittieri,-84.57,10.39,25.575000127156574,299
Lacistemaceae,Lozania pittieri,-84.01,10.43,25.949999809265137,317.4166666666667
Lacistemaceae,Lozania pittieri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Lacistemaceae,Lozania pittieri,-84,10.5,26.02499993642171,310.25
Lacistemaceae,Lozania pittieri,-79.71666,9.43333,25.49166663487752,221.83333333333334
Lacistemaceae,Lozania pittieri,-81.171389,8.550833,23.641666730244953,308
Lacistemaceae,Lozania pittieri,-79.92194,8.68722,22.799999713897705,215.25
Lacistemaceae,Lozania pittieri,-79.89138,8.72083,26.550000031789143,190.08333333333334
Lacistemaceae,Lozania pittieri,-79.666667,9.483333,24.574999968210857,235.66666666666666
Lacistemaceae,Lozania pittieri,-79.65,9.5,25.60000006357829,280.5833333333333
Lacistemaceae,Lozania pittieri,-79.91666,8.68333,24.349999745686848,206.75
Lacistemaceae,Lozania pittieri,-79.756667,9.171667,26.05833339691162,214.75
Lacistemaceae,Lozania pittieri,-82.84305,9.73361,26.458333333333332,274
Lacistemaceae,Lozania pittieri,-83.7,8.6,25.733333110809326,273
Lacistemaceae,Lozania pittieri,-83.66,8.54,NA,NA
Lacistemaceae,Lozania pittieri,-83.15277,8.64416,24.5666667620341,279.25
Lacistemaceae,Lozania pittieri,-83.15246963,8.64536246,24.5666667620341,279.25
Lacistemaceae,Lozania pittieri,-83.15,8.63,24.974999745686848,264.75
Lacistemaceae,Lozania pittieri,-81.123611,8.509444,21.47499990463257,285.4166666666667
Lacistemaceae,Lozania pittieri,-79.91666,8.68333,24.349999745686848,206.75
Lacistemaceae,Lozania pittieri,-78.422222,8.934167,25.300000031789143,205.33333333333334
Lacistemaceae,Lozania pittieri,-83.7,8.6,25.733333110809326,273
Lacistemaceae,Lozania pittieri,-80.957222,8.7825,25.958333174387615,251.41666666666666
Lacistemaceae,Lozania pittieri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Lacistemaceae,Lozania pittieri,-79.921944,8.687222,22.799999713897705,215.25
Lacistemaceae,Lozania pittieri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Lacistemaceae,Lozania pittieri,-79.916667,8.7,23.749999682108562,207.58333333333334
Lacistemaceae,Lozania pittieri,-79.91666,8.7,24.1916667620341,210.91666666666666
Lacistemaceae,Lozania pittieri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Lacistemaceae,Lozania pittieri,-79.92055,8.68916,22.799999713897705,215.25
Lacistemaceae,Lozania pittieri,-79.916667,8.666667,23.96666653951009,190.16666666666666
Lacistemaceae,Lozania pittieri,-79.91666,8.7,24.1916667620341,210.91666666666666
Lacistemaceae,Lozania pittieri,-78.5,8.75,25.03333346048991,199.66666666666666
Lacistemaceae,Lozania pittieri,-84.00361,10.43138,26.008333206176758,307.9166666666667
Lacistemaceae,Lozania pittieri,-79.933333,8.7,24.166666825612385,218
Lacistemaceae,Lozania pittieri,-79.916667,8.666667,23.96666653951009,190.16666666666666
Lacistemaceae,Lozania pittieri,-77.450556,8.658889,26.37500015894572,159.5
Lacistemaceae,Lozania pittieri,-77.416667,8.666667,NA,NA
Lacistemaceae,Lozania pittieri,-83.633333,10.683333,26.299999872843426,305.3333333333333
Lacistemaceae,Lozania pittieri,-83.63,10.68,26.299999872843426,305.3333333333333
Lacistemaceae,Lozania pittieri,-83.48,10.1,25.81666644414266,284.9166666666667
Lacistemaceae,Lozania pittieri,-79.416389,9.166667,23.450000286102295,210.91666666666666
Lacistemaceae,Lozania pittieri,-84.05,9.48,25.30833339691162,257.4166666666667
Lacistemaceae,Lozania pittieri,-84.05,9.483333,25.30833339691162,257.4166666666667
Lacistemaceae,Lozania pittieri,-83.633333,10.683333,26.299999872843426,305.3333333333333
Lacistemaceae,Lozania pittieri,-83.433333,10.033333,24.208333333333332,288.75
Lacistemaceae,Lozania pittieri,-83.43,10.03,24.208333333333332,288.75
Lacistemaceae,Lozania pittieri,-79.916667,8.666667,23.96666653951009,190.16666666666666
Lacistemaceae,Lozania pittieri,-84.683333,10.35,21.63333336512248,285.1666666666667
Lacistemaceae,Lozania pittieri,-84.68,10.35,21.63333336512248,285.1666666666667
Lacistemaceae,Lozania pittieri,-84.666667,10.35,22.358333587646484,308.1666666666667
Lacistemaceae,Lozania pittieri,-84.66,10.35,23.258333206176758,303.75
Lacistemaceae,Lozania pittieri,-79.916667,8.666667,23.96666653951009,190.16666666666666
Lacistemaceae,Lozania pittieri,-83.75,10.63,26.0583332379659,306.25
Lacistemaceae,Lozania pittieri,-83.75,10.633333,26.0583332379659,306.25
Lacistemaceae,Lozania pittieri,-83.463099,8.729248,25.833333333333332,322
Lacistemaceae,Lozania pittieri,-83.46,8.71,NA,NA
Lacistemaceae,Lozania pittieri,-83.45,8.4,NA,NA
Lacistemaceae,Lozania pittieri,-83.45,8.72,NA,NA
Lacistemaceae,Lozania pittieri,-83.283333,8.4,NA,NA
Lacistemaceae,Lozania pittieri,-83.28,8.4,NA,NA
Lacistemaceae,Lozania pittieri,-83.77,8.52,NA,NA
Lacistemaceae,Lozania pittieri,-83.584722,8.733333,25.733333110809326,253.75
Lacistemaceae,Lozania pittieri,-83.58,8.73,25.46666669845581,249.91666666666666
Lacistemaceae,Lozania pittieri,-83.522222,8.675,26.21666653951009,240.5
Lacistemaceae,Lozania pittieri,-83.52,8.67,26.21666653951009,240.5
Lacistemaceae,Lozania pittieri,-82.833333,9.633333,25.633333206176758,247.66666666666666
Lacistemaceae,Lozania pittieri,-82.83,9.63,25.633333206176758,247.66666666666666
Lacistemaceae,Lozania pittieri,-82.763889,9.641667,26.15833346048991,244.75
Lacistemaceae,Lozania pittieri,-82.76,9.64,25.90833346048991,274
Lacistemaceae,Lozania pittieri,-85.427779,10.990556,22.574999968210857,249.33333333333334
Lacistemaceae,Lozania pittieri,-85.427778,10.990556,22.574999968210857,249.33333333333334
Lacistemaceae,Lozania pittieri,-85.42,10.99,22.90000009536743,256.0833333333333
Lacistemaceae,Lozania pittieri,-84.0825,10.277222,21.183332920074463,285.3333333333333
Lacistemaceae,Lozania pittieri,-84.078889,10.332778,23.71666669845581,291
Lacistemaceae,Lozania pittieri,-83.156944,8.656944,24.8166667620341,268.8333333333333
Lacistemaceae,Lozania pittieri,-83.15,8.65,24.99999984105428,265.8333333333333
