familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Malvaceae,Luehea candida,-57.3,-25.13333,22.81666660308838,117.83333333333333
Malvaceae,Luehea candida,-89.98333,13.81666,25.791666507720947,145.33333333333334
Malvaceae,Luehea candida,-89.41666,14.08333,24.766666571299236,134.41666666666666
Malvaceae,Luehea candida,-89.35,14.41666,14.100000143051147,138.16666666666666
Malvaceae,Luehea candida,-89.41666,14.08333,24.766666571299236,134.41666666666666
Malvaceae,Luehea candida,-89.93333,13.81666,23.78333330154419,153.91666666666666
Malvaceae,Luehea candida,-89.35,13.85,24.550000190734863,145.41666666666666
Malvaceae,Luehea candida,-89.28333,13.48333,26.349999745686848,150.41666666666666
Malvaceae,Luehea candida,-89.93333,13.81666,23.78333330154419,153.91666666666666
Malvaceae,Luehea candida,-88.98333,13.86666,24.14999993642171,162.5
Malvaceae,Luehea candida,-89.9333333,13.8166667,23.74999984105428,152.33333333333334
Malvaceae,Luehea candida,-88.7397222,13.6161111,25.275000254313152,163.83333333333334
Malvaceae,Luehea candida,-89.9333333,13.8166667,23.74999984105428,152.33333333333334
Malvaceae,Luehea candida,-85.8069444,15.135,24.950000127156574,108.25
Malvaceae,Luehea candida,-85.61472,10.83611,25.75833336512248,138.5
Malvaceae,Luehea candida,-93.248056,15.918056,22.84166669845581,136.91666666666666
Malvaceae,Luehea candida,-93.1065,15.767139,23.024999777475994,172.5
Malvaceae,Luehea candida,-93.170139,17.023167,24.075000286102295,150.75
Malvaceae,Luehea candida,-92.588889,15.375,25.574999968210857,202.25
Malvaceae,Luehea candida,-92.666667,15.316667,27.416666666666668,182.91666666666666
Malvaceae,Luehea candida,-93.95,16.266667,27.858333269755047,128
Malvaceae,Luehea candida,-94.033333,16.466667,23.700000127156574,50
Malvaceae,Luehea candida,-93.45,16.886111,22.508333206176758,100
Malvaceae,Luehea candida,-92.966667,16.758333,23.84166669845581,99.08333333333333
Malvaceae,Luehea candida,-92.716667,16.55,25.291666666666668,94.83333333333333
Malvaceae,Luehea candida,-92.966667,16.758333,23.84166669845581,99.08333333333333
Malvaceae,Luehea candida,-92.966667,16.758333,23.84166669845581,99.08333333333333
Malvaceae,Luehea candida,-94.033333,16.461111,23.233333587646484,52.833333333333336
Malvaceae,Luehea candida,-92.091667,15.698611,24.28333346048991,121.41666666666667
Malvaceae,Luehea candida,-94.068056,16.475,23.608333269755047,49.416666666666664
Malvaceae,Luehea candida,-93.6,15.933333,26.983333428700764,135.16666666666666
Malvaceae,Luehea candida,-92.988889,16.311111,24.891666730244953,93.16666666666667
Malvaceae,Luehea candida,-94.1333333,16.6833333,21.53333330154419,73
Malvaceae,Luehea candida,-94.1333333,16.6833333,21.53333330154419,73
Malvaceae,Luehea candida,-88.752778,19.793056,25.9416667620341,105.58333333333333
Malvaceae,Luehea candida,-88.741667,19.805556,25.9416667620341,105.5
Malvaceae,Luehea candida,-89.458333,20.254167,25.47500006357829,93.25
Malvaceae,Luehea candida,-89.105556000000007,20.066667,25.766666412353516,97.25
Malvaceae,Luehea candida,-88.870278,20.908333,25.766666730244953,90.91666666666667
Malvaceae,Luehea candida,-89.711667,20.485833,25.72499990463257,92.5
Malvaceae,Luehea candida,-94.9825,16.367778,27.366666793823242,81.66666666666667
Malvaceae,Luehea candida,-89.45,20.258333,25.508333206176758,93.66666666666667
Malvaceae,Luehea candida,-87.688889,20.841667,25.49166663487752,97.25
Malvaceae,Luehea candida,-100.901111,18.235281,27.31666660308838,87.41666666666667
Malvaceae,Luehea candida,-92.658331,15.319439,27.266666730244953,187.41666666666666
Malvaceae,Luehea candida,-104.978569,21.163572,22.224999745686848,96.5
Malvaceae,Luehea candida,-99.475731,17.380364,23.108333269755047,96.16666666666667
Malvaceae,Luehea candida,-94.537983,16.531578,27.641666571299236,97.91666666666667
Malvaceae,Luehea candida,-94.609014,16.544086,27.46666669845581,93.25
Malvaceae,Luehea candida,-94.530503,16.528483,27.641666571299236,98.33333333333333
Malvaceae,Luehea candida,-94.336942,16.475814,27.916666984558105,115.91666666666667
Malvaceae,Luehea candida,-104.739167,19.268617,24.97500006357829,101.41666666666667
Malvaceae,Luehea candida,-93.933836,16.257292,27.983333428700764,129.41666666666666
Malvaceae,Luehea candida,-94.022928,16.472317,23.766666889190674,50.25
Malvaceae,Luehea candida,-93.517972,16.719561,24.000000317891438,80.66666666666667
Malvaceae,Luehea candida,-92.977219,16.730222,25.074999968210857,100.83333333333333
Malvaceae,Luehea candida,-92.72,16.568889,25.11666663487752,97.25
Malvaceae,Luehea candida,-92.711939,16.414439,25.483333428700764,96.25
Malvaceae,Luehea candida,-92.977219,16.730222,25.074999968210857,100.83333333333333
Malvaceae,Luehea candida,-96.75,19.45,22.0666667620341,101.91666666666667
Malvaceae,Luehea candida,-96.499697,19.340142,24.966666380564373,88.66666666666667
Malvaceae,Luehea candida,-105.027883,19.548889,25.49166663487752,79.5
Malvaceae,Luehea candida,-100.927517,18.268333,26.891666889190674,89.25
Malvaceae,Luehea candida,-96.466667,19.3,25.00833288828532,88.66666666666667
Malvaceae,Luehea candida,-102.087758,18.435317,24.21666653951009,70.91666666666667
Malvaceae,Luehea candida,-100.858464,18.250117,27.608333110809326,87.83333333333333
Malvaceae,Luehea candida,-96.32222,15.83417,26.324999968210857,104.08333333333333
Malvaceae,Luehea candida,-96.564719,19.846939,23.358333428700764,125.16666666666667
Malvaceae,Luehea candida,-96.533333,19.283333,24.825000127156574,90.16666666666667
Malvaceae,Luehea candida,-105.75,22.95,23.71666669845581,103.41666666666667
Malvaceae,Luehea candida,-96.202811,18.020158,25.691666920979817,248
Malvaceae,Luehea candida,-97.073203,15.976117,25.108332951863606,65.16666666666667
Malvaceae,Luehea candida,-90.82045,16.663919,25.549999872843426,242.33333333333334
Malvaceae,Luehea candida,-89.652156,20.176854,25.50833336512248,90.33333333333333
Malvaceae,Luehea candida,-94.116667,16.75,21.55833355585734,78.91666666666667
Malvaceae,Luehea candida,-101.74295,18.150881,24.875000317891438,74.91666666666667
Malvaceae,Luehea candida,-106,23.3,24.116666793823242,85.91666666666667
Malvaceae,Luehea candida,-97.891603,17.039628,23.37499984105428,125.75
Malvaceae,Luehea candida,-104.933333,19.516667,25.22499990463257,93
Malvaceae,Luehea candida,-93.626722,16.384003,23.583333174387615,75.25
Malvaceae,Luehea candida,-94.030219,16.414111,23.550000031789143,49.666666666666664
Malvaceae,Luehea candida,-64.914,6.994,27.37499984105428,154.66666666666666
Malvaceae,Luehea candida,-85.65,10.79,26.47500006357829,140.33333333333334
Malvaceae,Luehea candida,-85.3611111,10.4416666,27.40833346048991,154.5
Malvaceae,Luehea candida,-85.35,10.35,27.075000127156574,158.5
Malvaceae,Luehea candida,-96.789444,19.481111,20.99166663487752,108.16666666666667
Malvaceae,Luehea candida,-86.95368046,14.02813339,22.450000127156574,79.33333333333333
Malvaceae,Luehea candida,-88.396667,19.254167,25.81666644414266,100.5
Malvaceae,Luehea candida,-88.339167,19.186111,25.86666663487752,103
Malvaceae,Luehea candida,-88.315278,19.233333,25.891666730244953,103.83333333333333
Malvaceae,Luehea candida,-88.312222,19.221389,25.86666663487752,103.91666666666667
Malvaceae,Luehea candida,-88.285556,19.3225,25.891666730244953,105.91666666666667
Malvaceae,Luehea candida,-88.284444,19.240556,25.833333174387615,105.08333333333333
Malvaceae,Luehea candida,-88.277778,19.253611,25.84166653951009,105.41666666666667
Malvaceae,Luehea candida,-88.2675,19.314167,25.858333269755047,106
