familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Lysiloma divaricatum,-96.690833,19.250833,23.77499993642171,93.25
Fabaceae,Lysiloma divaricatum,-96.4975,19.521667,24.641666412353516,82.58333333333333
Fabaceae,Lysiloma divaricatum,-106.414,24.929167,23.24166663487752,72.58333333333333
Fabaceae,Lysiloma divaricatum,-97.051944,18.010278,25.233333110809326,66.58333333333333
Fabaceae,Lysiloma divaricatum,-97.014444,17.723333,23.925000031789143,83.58333333333333
Fabaceae,Lysiloma divaricatum,-97.011111,17.723889,23.925000031789143,83.58333333333333
Fabaceae,Lysiloma divaricatum,-96.9775,17.746667,25.35000006357829,44.916666666666664
Fabaceae,Lysiloma divaricatum,-97.453056,18.227667,18.058333317438763,44.25
Fabaceae,Lysiloma divaricatum,-97.462167,18.315972,21.008333206176758,41.75
Fabaceae,Lysiloma divaricatum,-97.013361,17.628085,22.541666666666668,75.83333333333333
Fabaceae,Lysiloma divaricatum,-97.011507,17.630478,22.541666666666668,75.83333333333333
Fabaceae,Lysiloma divaricatum,-96.918583,17.859639,22.708333492279053,126.5
Fabaceae,Lysiloma divaricatum,-93.087588,16.657688,25.00833336512248,85.16666666666667
Fabaceae,Lysiloma divaricatum,-110.103434,23.884709,20.55833339691162,36.416666666666664
Fabaceae,Lysiloma divaricatum,-106.74633,23.646942,24.533333619435627,58.25
Fabaceae,Lysiloma divaricatum,-102.79992,20.810227,18.71666653951009,70.41666666666667
Fabaceae,Lysiloma divaricatum,-110.159955,23.788706,21.65833314259847,27.833333333333332
Fabaceae,Lysiloma divaricatum,-110.104811,23.886972,20.55833339691162,36.416666666666664
Fabaceae,Lysiloma divaricatum,-109.844055,23.859591000000002,20.199999968210857,43.416666666666664
Fabaceae,Lysiloma divaricatum,-106.439194,23.300389,24.883333206176758,66.5
Fabaceae,Lysiloma divaricatum,-104.366372,23.467236,17.841666618982952,41.25
Fabaceae,Lysiloma divaricatum,-93.607435,16.280756,23.15833346048991,80.25
Fabaceae,Lysiloma divaricatum,-91.660995,16.398355,20.850000222524006,187.75
Fabaceae,Lysiloma divaricatum,-91.660309,16.402966,19.68333339691162,231.5
Fabaceae,Lysiloma divaricatum,-110.128326,23.893717,20.925000111262005,33.583333333333336
Fabaceae,Lysiloma divaricatum,-108.954536,27.00982,23.05833355585734,50.333333333333336
Fabaceae,Lysiloma divaricatum,-108.934492,27.019003,23.575000286102295,50.666666666666664
Fabaceae,Lysiloma divaricatum,-106.936342,23.889401,24.583333333333332,56.083333333333336
Fabaceae,Lysiloma divaricatum,-96.952492,17.694117,24.833333174387615,67.66666666666667
Fabaceae,Lysiloma divaricatum,-93.47397,16.808182,23.533333619435627,86.66666666666667
Fabaceae,Lysiloma divaricatum,-93.082393,16.796405,23.675000190734863,96.58333333333333
Fabaceae,Lysiloma divaricatum,-110.195618,29.102377,18.024999856948853,63.166666666666664
Fabaceae,Lysiloma divaricatum,-109.882649,23.565223,20.53333353996277,37.5
Fabaceae,Lysiloma divaricatum,-106.66136,24.097197,25.299999872843426,68.41666666666667
Fabaceae,Lysiloma divaricatum,-93.090123,16.801912,22.325000286102295,91.16666666666667
Fabaceae,Lysiloma divaricatum,-110.60112,29.05956,22.258333047231037,35.166666666666664
Fabaceae,Lysiloma divaricatum,-103.3461,20.6761,21.27499993642171,78.66666666666667
Fabaceae,Lysiloma divaricatum,-110.8989,27.9183,25.099999745686848,19.5
Fabaceae,Lysiloma divaricatum,-102.2128,20.3117,19.816666841506958,63.916666666666664
Fabaceae,Lysiloma divaricatum,-102.21,20.3,19.666666825612385,64.08333333333333
Fabaceae,Lysiloma divaricatum,-102.2128,20.3117,19.816666841506958,63.916666666666664
Fabaceae,Lysiloma divaricatum,-102.21,20.3,19.666666825612385,64.08333333333333
Fabaceae,Lysiloma divaricatum,-96.98225,17.71969,25.14999993642171,50.916666666666664
Fabaceae,Lysiloma divaricatum,-96.96,17.75,25.34166669845581,44.75
Fabaceae,Lysiloma divaricatum,-103.1892,20.29,19.866666793823242,74.16666666666667
Fabaceae,Lysiloma divaricatum,-97.217222,17.45,17.53333314259847,50.666666666666664
Fabaceae,Lysiloma divaricatum,-90.1792,15.7422,23.483333428700764,387.5
Fabaceae,Lysiloma divaricatum,-102,23,17.06666660308838,30.666666666666668
Fabaceae,Lysiloma divaricatum,-97.366667,18.116667,22.483333587646484,43.166666666666664
Fabaceae,Lysiloma divaricatum,-98.0689,20.325,19.15000033378601,208.5
Fabaceae,Lysiloma divaricatum,-97.49,18.04,18.858333269755047,42.916666666666664
Fabaceae,Lysiloma divaricatum,-108.93219,27.02331,23.633333524068195,51
Fabaceae,Lysiloma divaricatum,-108.6172,26.4161,24.37499984105428,48.333333333333336
Fabaceae,Lysiloma divaricatum,-106.4153,23.2361,25.166666666666668,68.75
Fabaceae,Lysiloma divaricatum,-111.24661,28.05431,NA,NA
Fabaceae,Lysiloma divaricatum,-111.24,28.05,NA,NA
Fabaceae,Lysiloma divaricatum,-106.58169,21.62164,21.241666316986084,76
Fabaceae,Lysiloma divaricatum,-106.524444,21.618333,NA,NA
Fabaceae,Lysiloma divaricatum,-106.266667,23.466667,24.766666412353516,72.66666666666667
Fabaceae,Lysiloma divaricatum,-104.3156,19.0517,NA,NA
Fabaceae,Lysiloma divaricatum,-110.966667,28.816667,23.25833336512248,22.75
Fabaceae,Lysiloma divaricatum,-110.05,23.816667,21.783333381017048,29.5
Fabaceae,Lysiloma divaricatum,-106.15,23.066667,25.22500006357829,70.08333333333333
Fabaceae,Lysiloma divaricatum,-106.04469,23.40969,24.099999745686848,80.75
Fabaceae,Lysiloma divaricatum,-108.76,26.0761,25.083333651224773,40.416666666666664
Fabaceae,Lysiloma divaricatum,-110.189444,23.904167,20.266666491826374,37.083333333333336
Fabaceae,Lysiloma divaricatum,-110.23164,23.72628,22.166666984558105,21.833333333333332
Fabaceae,Lysiloma divaricatum,-106.38,23.22,25.141666730244953,69.41666666666667
Fabaceae,Lysiloma divaricatum,-100.428061,18.776389000000002,26.94166660308838,92.5
Fabaceae,Lysiloma divaricatum,-100.428058,18.7764,26.94166660308838,92.5
Fabaceae,Lysiloma divaricatum,-100.42,18.77,26.96666669845581,94
Fabaceae,Lysiloma divaricatum,-87.98833,15.03388,26.049999872843426,132.25
Fabaceae,Lysiloma divaricatum,-108.845833,27.391667,24.708333333333332,59.083333333333336
Fabaceae,Lysiloma divaricatum,-106.416667,23.233333,25.008333206176758,68
Fabaceae,Lysiloma divaricatum,-100.68,18.29,28.3166667620341,80.25
Fabaceae,Lysiloma divaricatum,-110.26,23.91,22.608333587646484,20.083333333333332
Fabaceae,Lysiloma divaricatum,-108.85,27.4,24.708333333333332,59.083333333333336
Fabaceae,Lysiloma divaricatum,-99.56,24.85,22.608333349227905,65.58333333333333
