familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Euphorbiaceae,Mabea montana,-64.49,5.901,25.833333333333332,237.41666666666666
Euphorbiaceae,Mabea montana,-58.812,3.192,26.77499993642171,141.5
Euphorbiaceae,Mabea montana,-58.779,3.268,26.766666571299236,140.25
Euphorbiaceae,Mabea montana,-75.370306,3.289417,25.099999745686848,143.75
Euphorbiaceae,Mabea montana,-74.944806,3.677056,27.34166653951009,146
Euphorbiaceae,Mabea montana,-71.901806,5.571972,26.5,211.08333333333334
Euphorbiaceae,Mabea montana,-71.5965,6.231556,26.274999777475994,183.33333333333334
Euphorbiaceae,Mabea montana,-71.566083,6.220806,26.299999872843426,178.08333333333334
Euphorbiaceae,Mabea montana,-73.879017,7.179883,28.083333492279053,228.83333333333334
Euphorbiaceae,Mabea montana,-72.8667,3.8811,26.583333174387615,229.33333333333334
Euphorbiaceae,Mabea montana,-80.102665,8.507188,26.266666730244953,185.25
Euphorbiaceae,Mabea montana,-65.9119,7.0758,27.366666952768963,155.91666666666666
Euphorbiaceae,Mabea montana,-58.7017,4.7364,26.74999984105428,194.58333333333334
Euphorbiaceae,Mabea montana,-61.25,10.5,26.24166663487752,183.83333333333334
Euphorbiaceae,Mabea montana,-63.56,8.16,27.549999872843426,98.75
Euphorbiaceae,Mabea montana,-58.7017,4.7364,26.74999984105428,194.58333333333334
Euphorbiaceae,Mabea montana,-79.57444,8.98083,26.983333428700764,165.25
Euphorbiaceae,Mabea montana,-73.9667,9,28.5583332379659,144.25
Euphorbiaceae,Mabea montana,-66.16944,7.1225,26.941666920979817,156.33333333333334
Euphorbiaceae,Mabea montana,-63.46,6.35,26.10000006357829,202.5
Euphorbiaceae,Mabea montana,-73.22,7.08,21.89999993642171,146
Euphorbiaceae,Mabea montana,-58.65,6.4,NA,NA
Euphorbiaceae,Mabea montana,-62.53,5.91,22.875,193.16666666666666
Euphorbiaceae,Mabea montana,-65.9119,7.0758,27.366666952768963,155.91666666666666
Euphorbiaceae,Mabea montana,-67.0927,6.22266,27.550000190734863,196.16666666666666
Euphorbiaceae,Mabea montana,-65.9119,7.0758,27.366666952768963,155.91666666666666
Euphorbiaceae,Mabea montana,-74.5,10,27.725000222524006,109.75
Euphorbiaceae,Mabea montana,-79.581111,8.895833,NA,NA
Euphorbiaceae,Mabea montana,-80.97055,8.24444,26.52499993642171,214.91666666666666
Euphorbiaceae,Mabea montana,-79.6,8.925,26.891666730244953,171.25
Euphorbiaceae,Mabea montana,-85.25,10.56,26.824999809265137,159.41666666666666
