familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Fabaceae,Macrolobium hartshornii,-84.177911,10.631469,25.72500006357829,297.8333333333333
Fabaceae,Macrolobium hartshornii,-84.02,10.42,25.766666889190674,314.9166666666667
Fabaceae,Macrolobium hartshornii,-84,10.4,25.866666316986084,317.5833333333333
Fabaceae,Macrolobium hartshornii,-84.033333,10.3,23.52500009536743,302.3333333333333
Fabaceae,Macrolobium hartshornii,-84.03,10.3,23.52500009536743,302.3333333333333
Fabaceae,Macrolobium hartshornii,-83.566667,10.416667,26.116666952768963,298.5833333333333
Fabaceae,Macrolobium hartshornii,-83.56,10.41,25.858332951863606,304.6666666666667
Fabaceae,Macrolobium hartshornii,-84.033334,10.283333,22.78333330154419,294.5
Fabaceae,Macrolobium hartshornii,-84.03,10.28,23.1916667620341,298.8333333333333
Fabaceae,Macrolobium hartshornii,-82.983333,9.347222,19.09999990463257,281
Fabaceae,Macrolobium hartshornii,-82.9833,9.3472,19.09999990463257,281
Fabaceae,Macrolobium hartshornii,-82.98,9.34,17.758333524068195,322.1666666666667
Fabaceae,Macrolobium hartshornii,-82.9639,9.5028,25.774999777475994,273.5833333333333
Fabaceae,Macrolobium hartshornii,-82.963889,9.502778,25.774999777475994,273.5833333333333
Fabaceae,Macrolobium hartshornii,-82.96,9.5,25.78333314259847,264.5833333333333
Fabaceae,Macrolobium hartshornii,-84.183333,10.65,25.93333355585734,293.9166666666667
Fabaceae,Macrolobium hartshornii,-84.18,10.65,25.93333355585734,293.9166666666667
Fabaceae,Macrolobium hartshornii,-83.98,10.34,25.750000317891438,317.3333333333333
Fabaceae,Macrolobium hartshornii,-82.956275,9.519349,26.133333524068195,237
Fabaceae,Macrolobium hartshornii,-84.047222,10.569444,25.058332920074463,298.5
Fabaceae,Macrolobium hartshornii,-84.04,10.56,25.78333346048991,319.9166666666667
Fabaceae,Macrolobium hartshornii,-84.1,10.35,24.30833339691162,275.75
