familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Apocynaceae,Malouetia guatemalensis,-76.486472,7.1869440000000004,26.47500006357829,316.0833333333333
Apocynaceae,Malouetia guatemalensis,-85.7,11.51666,26.36666663487752,142.25
Apocynaceae,Malouetia guatemalensis,-80.102665,8.507188,26.266666730244953,185.25
Apocynaceae,Malouetia guatemalensis,-80.1,9.15,26.416666666666668,213.33333333333334
Apocynaceae,Malouetia guatemalensis,-80,9,26.5583332379659,194.08333333333334
Apocynaceae,Malouetia guatemalensis,-79.9106,8.5714,27.283333778381348,160.33333333333334
Apocynaceae,Malouetia guatemalensis,-79.88111,9.38305,26.916666825612385,191.5
Apocynaceae,Malouetia guatemalensis,-88.30166,16.72416,26.02499993642171,177.75
Apocynaceae,Malouetia guatemalensis,-86.769722,15.749444,26.699999650319416,178.5
Apocynaceae,Malouetia guatemalensis,-86.767222,15.724445,25.108333110809326,123.08333333333333
Apocynaceae,Malouetia guatemalensis,-86.59305,15.76277,24.166666666666668,106.33333333333333
Apocynaceae,Malouetia guatemalensis,-88.59388,15.72611,26.174999872843426,229.41666666666666
Apocynaceae,Malouetia guatemalensis,-88.83333,15.46666,26.299999872843426,185.16666666666666
Apocynaceae,Malouetia guatemalensis,-88.83,15.47,26.299999872843426,186.66666666666666
Apocynaceae,Malouetia guatemalensis,-82.38333,9.245,25.324999968210857,239.41666666666666
Apocynaceae,Malouetia guatemalensis,-82,9.05,NA,NA
Apocynaceae,Malouetia guatemalensis,-88.48333,16.36666,NA,NA
Apocynaceae,Malouetia guatemalensis,-82.15,9.31666,25.87500015894572,224.66666666666666
Apocynaceae,Malouetia guatemalensis,-72.8667,3.8811,26.583333174387615,229.33333333333334
Apocynaceae,Malouetia guatemalensis,-83.78333,12.15,25.78333346048991,284.5
Apocynaceae,Malouetia guatemalensis,-83.6,12.9,25.333333333333332,203
Apocynaceae,Malouetia guatemalensis,-74.030012,8.670438,26.674999872843426,178.41666666666666
Apocynaceae,Malouetia guatemalensis,-88.3025,16.8675,26.016666571299236,182.41666666666666
Apocynaceae,Malouetia guatemalensis,-88.201944,15.575556,21.60000006357829,145.33333333333334
Apocynaceae,Malouetia guatemalensis,-79.97444,9.32777,26.233333110809326,215
Apocynaceae,Malouetia guatemalensis,-77.71666,8.16666,26.883333206176758,178.83333333333334
Apocynaceae,Malouetia guatemalensis,-79.86916,9.40277,26.88333336512248,173
Apocynaceae,Malouetia guatemalensis,-79.54861,8.98888,26.891666730244953,184.41666666666666
Apocynaceae,Malouetia guatemalensis,-77.87638,9.115,NA,NA
Apocynaceae,Malouetia guatemalensis,-89.085278,15.411944,26.525000254313152,199.66666666666666
Apocynaceae,Malouetia guatemalensis,-79.869167,9.353889,26.891666730244953,183.91666666666666
Apocynaceae,Malouetia guatemalensis,-79.84138,9.13833,26.59999990463257,198.83333333333334
Apocynaceae,Malouetia guatemalensis,-79.84305,9.14138,26.524999777475994,196
Apocynaceae,Malouetia guatemalensis,-79.84138,9.13833,26.59999990463257,198.83333333333334
Apocynaceae,Malouetia guatemalensis,-79.84,9.17,26.458333333333332,228.83333333333334
Apocynaceae,Malouetia guatemalensis,-89.00166,15.65916,26.233333428700764,240
Apocynaceae,Malouetia guatemalensis,-88.935,15.59583,26.12499984105428,223.33333333333334
Apocynaceae,Malouetia guatemalensis,-88.750278,15.803056,25.608333428700764,249.41666666666666
Apocynaceae,Malouetia guatemalensis,-83.55,14.13333,25.533333619435627,226.66666666666666
Apocynaceae,Malouetia guatemalensis,-79.84305,9.14138,26.524999777475994,196
Apocynaceae,Malouetia guatemalensis,-79.84,9.17,26.458333333333332,228.83333333333334
Apocynaceae,Malouetia guatemalensis,-89.338889,15.520833,27.03333346048991,225.16666666666666
Apocynaceae,Malouetia guatemalensis,-79.878611,9.371389,26.9416667620341,202.08333333333334
Apocynaceae,Malouetia guatemalensis,-85.960556,15.083611,22.72499990463257,106.08333333333333
Apocynaceae,Malouetia guatemalensis,-85.937778,15.918889,27.108333428700764,179
Apocynaceae,Malouetia guatemalensis,-72.8667,3.8811,26.583333174387615,229.33333333333334
Apocynaceae,Malouetia guatemalensis,-89.28694,15.5175,26.991666793823242,223.41666666666666
Apocynaceae,Malouetia guatemalensis,-79.66666,9.5,25.133333524068195,246.08333333333334
Apocynaceae,Malouetia guatemalensis,-84.65,15.866667,NA,NA
Apocynaceae,Malouetia guatemalensis,-79.86666,9.4,26.858333269755047,177.58333333333334
Apocynaceae,Malouetia guatemalensis,-82.98333,9.88333,26.34166685740153,255.66666666666666
Apocynaceae,Malouetia guatemalensis,-83.55,14.1,25.666666507720947,226.66666666666666
Apocynaceae,Malouetia guatemalensis,-82.809167,9.7,26.425000190734863,259.0833333333333
Apocynaceae,Malouetia guatemalensis,-85.90833,15.95833,27.34999990463257,174.58333333333334
Apocynaceae,Malouetia guatemalensis,-85.89138,15.92972,27.208333333333332,166.83333333333334
Apocynaceae,Malouetia guatemalensis,-79.73333,9.46611,26.50833336512248,187.66666666666666
Apocynaceae,Malouetia guatemalensis,-87.450556,15.733611,26.674999872843426,209.16666666666666
Apocynaceae,Malouetia guatemalensis,-87.426111,15.773889,26.541666825612385,198.16666666666666
Apocynaceae,Malouetia guatemalensis,-85.7,11.3,26.61666663487752,137.41666666666666
Apocynaceae,Malouetia guatemalensis,-84.3,12.16666,25.75,239.91666666666666
Apocynaceae,Malouetia guatemalensis,-84.21666,13.48333,25.958333492279053,213.58333333333334
Apocynaceae,Malouetia guatemalensis,-83.766667,11.983333,NA,NA
Apocynaceae,Malouetia guatemalensis,-83.71666,11.6,25.90833330154419,291.9166666666667
Apocynaceae,Malouetia guatemalensis,-83.666667,11.6,NA,NA
Apocynaceae,Malouetia guatemalensis,-83.663333,11.604167,26.083333333333332,274.25
Apocynaceae,Malouetia guatemalensis,-83.66111,11.59583,NA,NA
Apocynaceae,Malouetia guatemalensis,-83.65,11.583333,NA,NA
Apocynaceae,Malouetia guatemalensis,-79.84777,9.17111,26.40000009536743,208
