familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Moraceae,Maquira guianensis,-56.515,4.537,26.641666412353516,180.25
Moraceae,Maquira guianensis,-52.9708,3.8558,25.333333333333332,235.08333333333334
Moraceae,Maquira guianensis,-53,-4,25.233333110809326,142.33333333333334
Moraceae,Maquira guianensis,-83.9519,10.0114,17.35000006357829,334.6666666666667
Moraceae,Maquira guianensis,-63,-5,26.766666730244953,200.91666666666666
Moraceae,Maquira guianensis,-84.43,10.32,23.00833336512248,315.1666666666667
Moraceae,Maquira guianensis,-76.8333,2.5,18.86666663487752,199.16666666666666
Moraceae,Maquira guianensis,-48.506461,-1.461156,26.60000006357829,236.08333333333334
Moraceae,Maquira guianensis,-48.5044,-1.4558,26.59166685740153,232.91666666666666
Moraceae,Maquira guianensis,-48.44475,-1.438098,26.5,234.66666666666666
Moraceae,Maquira guianensis,-48.406626,-1.399729,26.59166669845581,235.5
Moraceae,Maquira guianensis,-48.50489144,-1.45916693,26.60000006357829,236.08333333333334
Moraceae,Maquira guianensis,-48.5044,-1.4558,26.59166685740153,232.91666666666666
Moraceae,Maquira guianensis,-41.0944,-12.0817,22.52499993642171,54.5
Moraceae,Maquira guianensis,-84.316667,12.166667,25.891667048136394,238
Moraceae,Maquira guianensis,-83.9519,10.0114,17.35000006357829,334.6666666666667
Moraceae,Maquira guianensis,-54.96,5.45,26.699999968210857,192.83333333333334
Moraceae,Maquira guianensis,-48.44475,-1.438098,26.5,234.66666666666666
Moraceae,Maquira guianensis,-51.32,3.6,25.88333336512248,258.1666666666667
Moraceae,Maquira guianensis,-51.31666,3.6,25.983333110809326,259.25
Moraceae,Maquira guianensis,-77.63333,8.18333,26.766666571299236,176.75
Moraceae,Maquira guianensis,-76.8173,7.72558,27.358333428700764,225.08333333333334
Moraceae,Maquira guianensis,-74.0437,2.17289,25.74166663487752,188
Moraceae,Maquira guianensis,-48.44475,-1.438098,26.5,234.66666666666666
Moraceae,Maquira guianensis,-83.815,10.08722,21.0583332379659,289.8333333333333
Moraceae,Maquira guianensis,-63,-5,26.766666730244953,200.91666666666666
Moraceae,Maquira guianensis,-77.733333,7.916667,23.55833339691162,233.5
Moraceae,Maquira guianensis,-79.84333,9.15472,26.041666507720947,184.16666666666666
Moraceae,Maquira guianensis,-78.15,8.65,26.708333333333332,192.08333333333334
Moraceae,Maquira guianensis,-77.63333,8.45,26.291666507720947,189.66666666666666
Moraceae,Maquira guianensis,-77.43333,6.76666,26.508333524068195,342
Moraceae,Maquira guianensis,-77,6,26.47500006357829,536.25
Moraceae,Maquira guianensis,-84.4,10.36,23.550000031789143,279.3333333333333
Moraceae,Maquira guianensis,-82.188333,8.833333,23.90000009536743,279.25
Moraceae,Maquira guianensis,-79.37277,9.23611,23.300000031789143,239.16666666666666
Moraceae,Maquira guianensis,-52.600822,-0.880931,25.53333330154419,184.75
Moraceae,Maquira guianensis,-79.86805,9.15694,26.549999713897705,203
Moraceae,Maquira guianensis,-79.85527,9.17444,26.450000127156574,187.08333333333334
Moraceae,Maquira guianensis,-63.575,2.742,23.775000254313152,216.75
Moraceae,Maquira guianensis,-63.56,2.71,23.80833339691162,215.41666666666666
Moraceae,Maquira guianensis,-63.55,-4.1677,26.700000127156574,178.33333333333334
Moraceae,Maquira guianensis,-63.55,2.7,23.80833339691162,213.16666666666666
Moraceae,Maquira guianensis,-53,-4,25.233333110809326,142.33333333333334
Moraceae,Maquira guianensis,-79.85277,9.15555,25.983333269755047,199.5
Moraceae,Maquira guianensis,-79.841667,9.1625,26.141666730244953,184.41666666666666
Moraceae,Maquira guianensis,-79.83888,9.15833,26.30833339691162,207.5
Moraceae,Maquira guianensis,-84.02,10.42,25.766666889190674,314.9166666666667
Moraceae,Maquira guianensis,-79.84166,9.1625,26.30833339691162,215.33333333333334
Moraceae,Maquira guianensis,-79.82222,9.15833,26.53333330154419,214.33333333333334
Moraceae,Maquira guianensis,-79.745555,9.16,26.27499993642171,219.75
Moraceae,Maquira guianensis,-79.74555,9.16,26.27499993642171,219.75
Moraceae,Maquira guianensis,-78.76916,8.875,26.71666685740153,181.33333333333334
Moraceae,Maquira guianensis,-63.6,2.88,24.416666348775227,217.16666666666666
Moraceae,Maquira guianensis,-63.4,1.37076,26.674999872843426,184.08333333333334
Moraceae,Maquira guianensis,-63.4,3.33333,25.266666730244953,210.58333333333334
Moraceae,Maquira guianensis,-63.225,3.375,25.3083332379659,218.33333333333334
Moraceae,Maquira guianensis,-79.9525,9.2175,26.241666475931805,213.91666666666666
Moraceae,Maquira guianensis,-78.933333,9.3,24.75,191.58333333333334
Moraceae,Maquira guianensis,-59.35,-10.2,24.674999872843426,162.83333333333334
Moraceae,Maquira guianensis,-84.01,10.43,25.949999809265137,317.4166666666667
Moraceae,Maquira guianensis,-79.366667,-0.6,24.31666660308838,217
Moraceae,Maquira guianensis,-79.36666,-0.58333,24.46666669845581,217.75
Moraceae,Maquira guianensis,-78.92916,9.27222,24.991666793823242,189.08333333333334
Moraceae,Maquira guianensis,-52.5,4,25.574999650319416,261.0833333333333
Moraceae,Maquira guianensis,-79.41666,-0.58333,24.358333269755047,212.66666666666666
Moraceae,Maquira guianensis,-79.36666,-0.58333,24.46666669845581,217.75
Moraceae,Maquira guianensis,-79.366,-0.5833,24.46666669845581,217.75
Moraceae,Maquira guianensis,-79.341,-0.588,24.016666889190674,220.66666666666666
Moraceae,Maquira guianensis,-79.36666,-0.58333,24.46666669845581,217.75
Moraceae,Maquira guianensis,-76.367974,4.930776,25.291666507720947,187
Moraceae,Maquira guianensis,-84.433333,11.816667,25.391666889190674,206
Moraceae,Maquira guianensis,-84.2,11.133333,25.13333336512248,271.75
Moraceae,Maquira guianensis,-83.78,10.5,26.03333346048991,305.9166666666667
Moraceae,Maquira guianensis,-78.36666,7.96666,22.39999993642171,194.16666666666666
Moraceae,Maquira guianensis,-84.00361,10.43138,26.008333206176758,307.9166666666667
Moraceae,Maquira guianensis,-76.560568,5.749527,26.78333330154419,569.8333333333334
Moraceae,Maquira guianensis,-76.53333,5.75,26.90833346048991,548.5833333333334
Moraceae,Maquira guianensis,-71.40944,-11.88666,25.050000031789143,212.83333333333334
Moraceae,Maquira guianensis,-70.25,-12,24.558333079020183,225.75
Moraceae,Maquira guianensis,-47.538503,-4.436442,26.008333047231037,136
