familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sabiaceae,Meliosma allenii,-83.55,8.69,25.608333587646484,237.83333333333334
Sabiaceae,Meliosma allenii,-83.51,8.56,25.40833314259847,247.75
Sabiaceae,Meliosma allenii,-82.976056,8.786972,19.425000031789143,227.66666666666666
Sabiaceae,Meliosma allenii,-82.967972,8.792556,21.016666730244953,239.83333333333334
Sabiaceae,Meliosma allenii,-82.445833,8.825,16.974999745686848,203.66666666666666
Sabiaceae,Meliosma allenii,-83.45,8.96,26.30833339691162,261.1666666666667
Sabiaceae,Meliosma allenii,-83.9519,10.0114,17.35000006357829,334.6666666666667
Sabiaceae,Meliosma allenii,-84.39,9.7,24.608333269755047,232.91666666666666
Sabiaceae,Meliosma allenii,-83.51,8.7,26.125000317891438,247.33333333333334
Sabiaceae,Meliosma allenii,-82.966667,8.3,24.858333587646484,273.9166666666667
Sabiaceae,Meliosma allenii,-83.516667,8.7,25.516666571299236,242.16666666666666
Sabiaceae,Meliosma allenii,-83.583333,8.5,25.74999984105428,278.4166666666667
Sabiaceae,Meliosma allenii,-84.6,9.78,26.016666889190674,178.91666666666666
Sabiaceae,Meliosma allenii,-84.6,9.783333,26.016666889190674,178.91666666666666
Sabiaceae,Meliosma allenii,-84.558333,9.75,23.641666571299236,235
Sabiaceae,Meliosma allenii,-84.55,9.75,23.43333339691162,225.91666666666666
Sabiaceae,Meliosma allenii,-84.35,9.7,23.991666793823242,244.41666666666666
Sabiaceae,Meliosma allenii,-84.33,9.68,24.799999872843426,245
Sabiaceae,Meliosma allenii,-84.33,9.69,24.31666660308838,245.58333333333334
Sabiaceae,Meliosma allenii,-84.391667,9.7,24.758333047231037,230.58333333333334
Sabiaceae,Meliosma allenii,-84.38,9.7,24.3083332379659,236.25
Sabiaceae,Meliosma allenii,-84.5,9.78,22.891666571299236,218.16666666666666
Sabiaceae,Meliosma allenii,-84,9.6667,17.50833336512248,180.33333333333334
Sabiaceae,Meliosma allenii,-83.583335,8.466667,26.05833339691162,305.3333333333333
Sabiaceae,Meliosma allenii,-83.583333,8.716667,24.63333336512248,255.83333333333334
Sabiaceae,Meliosma allenii,-83.58,8.71,24.96666669845581,245.25
Sabiaceae,Meliosma allenii,-83.55,8.45,25.458333333333332,291.5833333333333
Sabiaceae,Meliosma allenii,-83.566667,8.683333,25.22499990463257,247.58333333333334
Sabiaceae,Meliosma allenii,-83.56,8.68,25.424999872843426,241.83333333333334
Sabiaceae,Meliosma allenii,-83.1,9.79,22.858333428700764,278.25
Sabiaceae,Meliosma allenii,-84.6,9.76,25.28333330154419,191.66666666666666
Sabiaceae,Meliosma allenii,-84.6,9.766667,25.916666825612385,203.83333333333334
Sabiaceae,Meliosma allenii,-84.6,9.78,26.016666889190674,178.91666666666666
Sabiaceae,Meliosma allenii,-84.6,9.780556,26.016666889190674,178.91666666666666
Sabiaceae,Meliosma allenii,-84.597222,9.780556,26.016666889190674,178.91666666666666
Sabiaceae,Meliosma allenii,-84.59,9.78,25.75833336512248,200.5
Sabiaceae,Meliosma allenii,-84.563889,9.75,24.21666669845581,226.33333333333334
Sabiaceae,Meliosma allenii,-84.56,9.75,24.21666669845581,226.33333333333334
Sabiaceae,Meliosma allenii,-84.475,9.791667,18.666666507720947,203.25
Sabiaceae,Meliosma allenii,-84.47,9.79,19.11666663487752,201
Sabiaceae,Meliosma allenii,-83.6,8.48,26.258333206176758,305.3333333333333
Sabiaceae,Meliosma allenii,-83.6,8.483333,26.258333206176758,305.3333333333333
Sabiaceae,Meliosma allenii,-83.580556,8.680556,24.61666663487752,239.08333333333334
Sabiaceae,Meliosma allenii,-83.58,8.68,24.61666663487752,239.08333333333334
Sabiaceae,Meliosma allenii,-83.559722,8.716667,24.99166663487752,245.5
Sabiaceae,Meliosma allenii,-83.554167,8.708333,24.858333428700764,260.3333333333333
Sabiaceae,Meliosma allenii,-83.55,8.69,25.608333587646484,237.83333333333334
Sabiaceae,Meliosma allenii,-83.55,8.7,25.19166644414266,257.0833333333333
Sabiaceae,Meliosma allenii,-84.393056,9.701667,24.375,226.66666666666666
Sabiaceae,Meliosma allenii,-84.39,9.7,24.608333269755047,232.91666666666666
Sabiaceae,Meliosma allenii,-83.268056,8.872222,23.75,238.75
Sabiaceae,Meliosma allenii,-83.26,8.87,23.791666507720947,238.58333333333334
Sabiaceae,Meliosma allenii,-83.055556,9.430556,23.699999809265137,289.9166666666667
Sabiaceae,Meliosma allenii,-83.05,9.43,23.616666475931805,290.8333333333333
Sabiaceae,Meliosma allenii,-84.533333,9.766667,25.616666952768963,203
Sabiaceae,Meliosma allenii,-84.53,9.76,25.36666663487752,212.5
Sabiaceae,Meliosma allenii,-83.583337,8.466667,26.05833339691162,305.3333333333333
Sabiaceae,Meliosma allenii,-83.58,8.46,25.71666653951009,305.5833333333333
Sabiaceae,Meliosma allenii,-83.516667,8.566667,25.608333587646484,247.58333333333334
Sabiaceae,Meliosma allenii,-83.51,8.71,24.21666653951009,261.6666666666667
Sabiaceae,Meliosma allenii,-83.455556,8.647222,26.449999809265137,291.5
Sabiaceae,Meliosma allenii,-83.45,8.64,26.44166660308838,301.5
Sabiaceae,Meliosma allenii,-83.41,8.53,25.65000009536743,259.5833333333333
