familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sabiaceae,Meliosma donnellsmithii,-84,10,19.008333206176758,234.75
Sabiaceae,Meliosma donnellsmithii,-83.67,9.66,12.650000015894571,296.5
Sabiaceae,Meliosma donnellsmithii,-83.35,8.86,26.483333269755047,303.4166666666667
Sabiaceae,Meliosma donnellsmithii,-84.029167,10.451944,26.041666666666668,310.0833333333333
Sabiaceae,Meliosma donnellsmithii,-84.02,10.42,25.766666889190674,314.9166666666667
Sabiaceae,Meliosma donnellsmithii,-84.003611,10.431389,26.008333206176758,307.9166666666667
Sabiaceae,Meliosma donnellsmithii,-84.68,10.48,24.200000127156574,296.6666666666667
Sabiaceae,Meliosma donnellsmithii,-84.01,10.42,25.874999682108562,310.5
Sabiaceae,Meliosma donnellsmithii,-84.003611,10.431389,26.008333206176758,307.9166666666667
Sabiaceae,Meliosma donnellsmithii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sabiaceae,Meliosma donnellsmithii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sabiaceae,Meliosma donnellsmithii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sabiaceae,Meliosma donnellsmithii,-84.06,10.38,25.050000031789143,305.3333333333333
Sabiaceae,Meliosma donnellsmithii,-84.05,10.38,25.041666666666668,318.5
Sabiaceae,Meliosma donnellsmithii,-84.003611,10.431389,26.008333206176758,307.9166666666667
Sabiaceae,Meliosma donnellsmithii,-84.003611,10.431389,26.008333206176758,307.9166666666667
Sabiaceae,Meliosma donnellsmithii,-83.95,10.33,25.891666253407795,327.25
Sabiaceae,Meliosma donnellsmithii,-83.666667,10.666667,26.208333492279053,308.25
Sabiaceae,Meliosma donnellsmithii,-83.66,10.66,26.175000190734863,306.4166666666667
Sabiaceae,Meliosma donnellsmithii,-83.65,10.7,26.13333336512248,309.0833333333333
Sabiaceae,Meliosma donnellsmithii,-83.633333,10.683333,26.299999872843426,305.3333333333333
Sabiaceae,Meliosma donnellsmithii,-83.63,10.68,26.299999872843426,305.3333333333333
Sabiaceae,Meliosma donnellsmithii,-83.583339,8.466667,26.05833339691162,305.3333333333333
Sabiaceae,Meliosma donnellsmithii,-83.55,8.45,25.458333333333332,291.5833333333333
Sabiaceae,Meliosma donnellsmithii,-83.55,10.4,25.5666667620341,301.5833333333333
Sabiaceae,Meliosma donnellsmithii,-83.5,10.4,26.166666825612385,309.25
Sabiaceae,Meliosma donnellsmithii,-84.666667,10.35,22.358333587646484,308.1666666666667
Sabiaceae,Meliosma donnellsmithii,-84.66,10.35,23.258333206176758,303.75
Sabiaceae,Meliosma donnellsmithii,-83.091667,9.797222,22.983333428700764,284.4166666666667
Sabiaceae,Meliosma donnellsmithii,-82.925,9.525,25.64999993642171,252.5
Sabiaceae,Meliosma donnellsmithii,-82.91,9.51,25.425000190734863,250.33333333333334
Sabiaceae,Meliosma donnellsmithii,-83.533333,8.716667,24.208333174387615,289.3333333333333
Sabiaceae,Meliosma donnellsmithii,-83.53,8.71,24.416666825612385,286.0833333333333
Sabiaceae,Meliosma donnellsmithii,-83.516667,10.366667,26.116666952768963,300.25
Sabiaceae,Meliosma donnellsmithii,-83.51,10.36,26.15833346048991,304.9166666666667
Sabiaceae,Meliosma donnellsmithii,-82.769444,9.633333,26.03333330154419,269.3333333333333
Sabiaceae,Meliosma donnellsmithii,-82.76,9.63,26.1916667620341,279.4166666666667
Sabiaceae,Meliosma donnellsmithii,-84.616667,10.3,21.46666685740153,286.9166666666667
Sabiaceae,Meliosma donnellsmithii,-84.61,10.3,21.93333339691162,290.5833333333333
Sabiaceae,Meliosma donnellsmithii,-84.016667,10.433333,25.949999809265137,316.25
Sabiaceae,Meliosma donnellsmithii,-83.516667,8.566667,25.608333587646484,247.58333333333334
Sabiaceae,Meliosma donnellsmithii,-83.51,8.56,25.40833314259847,247.75
Sabiaceae,Meliosma donnellsmithii,-83.51,8.71,24.21666653951009,261.6666666666667
Sabiaceae,Meliosma donnellsmithii,-83.18,8.82,19.53333330154419,290.25
Sabiaceae,Meliosma donnellsmithii,-82.770833,9.640556,25.858333269755047,267.9166666666667
Sabiaceae,Meliosma donnellsmithii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sabiaceae,Meliosma donnellsmithii,-83.922222,10.425,26.041666666666668,314.5
Sabiaceae,Meliosma donnellsmithii,-83.77,9.31,21.533333619435627,239.75
Sabiaceae,Meliosma donnellsmithii,-83.454919,8.73059,25.733333110809326,300.75
Sabiaceae,Meliosma donnellsmithii,-83.45,8.71,NA,NA
Sabiaceae,Meliosma donnellsmithii,-83.99,9.54,19.733333269755047,237.83333333333334
Sabiaceae,Meliosma donnellsmithii,-83.426667,8.534815,25.15833330154419,260.5833333333333
Sabiaceae,Meliosma donnellsmithii,-84.370833,9.693056,24.083333333333332,244.83333333333334
Sabiaceae,Meliosma donnellsmithii,-83.25,8.68,24.266666571299236,255.25
Sabiaceae,Meliosma donnellsmithii,-83.452778,9.972222,24.291666666666668,281.75
Sabiaceae,Meliosma donnellsmithii,-83.45,9.97,24.291666666666668,283.9166666666667
Sabiaceae,Meliosma donnellsmithii,-83.425512,8.536614,25.15833330154419,260.5833333333333
Sabiaceae,Meliosma donnellsmithii,-83.418889,8.539722,25.3166667620341,269.6666666666667
Sabiaceae,Meliosma donnellsmithii,-83.41,8.52,25.358333428700764,275
Sabiaceae,Meliosma donnellsmithii,-83.21667,8.68333,25.69166644414266,249.16666666666666
Sabiaceae,Meliosma donnellsmithii,-84.98,10.69,21.674999872843426,289.4166666666667
Sabiaceae,Meliosma donnellsmithii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sabiaceae,Meliosma donnellsmithii,-84.921389,10.536945,23.216666380564373,256.5833333333333
Sabiaceae,Meliosma donnellsmithii,-84.033333,10.433333,25.858332951863606,310.9166666666667
Sabiaceae,Meliosma donnellsmithii,-84.066667,10.333333,23.75,293.6666666666667
Sabiaceae,Meliosma donnellsmithii,-84.033333,10.433333,25.858332951863606,310.9166666666667
Sabiaceae,Meliosma donnellsmithii,-84.03333,10.433333,25.858332951863606,310.9166666666667
Sabiaceae,Meliosma donnellsmithii,-84.606944,9.776389,26.40833346048991,177.83333333333334
Sabiaceae,Meliosma donnellsmithii,-84.180556,10.686111,25.84999990463257,278.8333333333333
Sabiaceae,Meliosma donnellsmithii,-84.010919,10.439193,25.99999984105428,309.0833333333333
Sabiaceae,Meliosma donnellsmithii,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sabiaceae,Meliosma donnellsmithii,-83.857778,10.191111,24.616666793823242,312.0833333333333
Sabiaceae,Meliosma donnellsmithii,-83.5047,8.6717,26.324999968210857,246.33333333333334
Sabiaceae,Meliosma donnellsmithii,-83.4808,8.6147,26.133333683013916,235.5
Sabiaceae,Meliosma donnellsmithii,-83.618694,9.996944,23.5583332379659,286.5833333333333
Sabiaceae,Meliosma donnellsmithii,-83.616667,9.983333,23.56666660308838,271.25
Sabiaceae,Meliosma donnellsmithii,-83.466389,8.752889,25.30833339691162,272.25
Sabiaceae,Meliosma donnellsmithii,-83.2167,8.68333,25.69166644414266,249.16666666666666
Sabiaceae,Meliosma donnellsmithii,-83.2167,8.68333,25.69166644414266,249.16666666666666
