familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sabiaceae,Meliosma glabrata,-102,23,17.06666660308838,30.666666666666668
Sabiaceae,Meliosma glabrata,-83.9519,10.0114,17.35000006357829,334.6666666666667
Sabiaceae,Meliosma glabrata,-84,10,19.008333206176758,234.75
Sabiaceae,Meliosma glabrata,-83.721231,9.853303,22.233333110809326,240.75
Sabiaceae,Meliosma glabrata,-84.15,10.17,16.708333333333332,247.66666666666666
Sabiaceae,Meliosma glabrata,-82.383333,9.245,25.324999968210857,239.41666666666666
Sabiaceae,Meliosma glabrata,-82.716667,9.383333,25.10000006357829,258.8333333333333
Sabiaceae,Meliosma glabrata,-80.133333,8.645833,22.299999713897705,232.91666666666666
Sabiaceae,Meliosma glabrata,-80.133333,8.65,22.299999713897705,232.91666666666666
Sabiaceae,Meliosma glabrata,-95.083333,18.416667,24.700000127156574,159.83333333333334
Sabiaceae,Meliosma glabrata,-85.35,10.8,20.208333174387615,179.5
Sabiaceae,Meliosma glabrata,-84.1,10.39,25.291666825612385,304.25
Sabiaceae,Meliosma glabrata,-80.11666,8.60833,23.96666685740153,204.75
Sabiaceae,Meliosma glabrata,-83.76,9.81,18.666666666666668,249.83333333333334
Sabiaceae,Meliosma glabrata,-95.016667,18.45,24.416666348775227,164.5
Sabiaceae,Meliosma glabrata,-94.95,18.383333,21.991666475931805,182.75
Sabiaceae,Meliosma glabrata,-80.108333,8.625,22.975000222524006,195.75
Sabiaceae,Meliosma glabrata,-83.4,9.81,19.46666653951009,245.5
Sabiaceae,Meliosma glabrata,-80.591667,8.666667,22.791666348775227,291.25
Sabiaceae,Meliosma glabrata,-83.53,10.56,26.266666889190674,357.5
Sabiaceae,Meliosma glabrata,-76.5462,5.7484,26.949999968210857,580
Sabiaceae,Meliosma glabrata,-82.573333,9.345,25.108333428700764,235.25
Sabiaceae,Meliosma glabrata,-82.530556,9.372222,25.85000006357829,223.33333333333334
Sabiaceae,Meliosma glabrata,-94.716667,17.058333,24.583333333333332,216
Sabiaceae,Meliosma glabrata,-85.666667,13.566667,19.699999809265137,158.58333333333334
Sabiaceae,Meliosma glabrata,-76.58333,5.76666,26.90000009536743,584.5833333333334
Sabiaceae,Meliosma glabrata,-85.05,10.73,23.733333110809326,281
Sabiaceae,Meliosma glabrata,-84.082778,10.056111,17.766666571299236,198.91666666666666
Sabiaceae,Meliosma glabrata,-83.67,9.87,22.358333587646484,248.5
Sabiaceae,Meliosma glabrata,-83.966667,10.066667,20.64999993642171,287.5833333333333
Sabiaceae,Meliosma glabrata,-83.96,10.06,19.666666666666668,284.25
Sabiaceae,Meliosma glabrata,-84.797222,10.305556,18.12499984105428,218.08333333333334
Sabiaceae,Meliosma glabrata,-83.8,9.78,18.59166653951009,260.4166666666667
Sabiaceae,Meliosma glabrata,-83.75,9.8333,20.25833336512248,263.4166666666667
Sabiaceae,Meliosma glabrata,-80.133333,8.65,22.299999713897705,232.91666666666666
Sabiaceae,Meliosma glabrata,-84.833333,10.333333,19.083333492279053,200.25
Sabiaceae,Meliosma glabrata,-84.83,10.33,19.083333492279053,200.25
Sabiaceae,Meliosma glabrata,-84.738611,10.306667,21.0583332379659,284.4166666666667
Sabiaceae,Meliosma glabrata,-84.729444,10.3075,21.325000127156574,294.75
Sabiaceae,Meliosma glabrata,-84.18,10.26,21.6833332379659,291
Sabiaceae,Meliosma glabrata,-83.03,9.66,24.62499984105428,261.0833333333333
Sabiaceae,Meliosma glabrata,-82.195,8.776389,21.3166667620341,287.8333333333333
Sabiaceae,Meliosma glabrata,-85.3,10.76,21.916666825612385,202.25
Sabiaceae,Meliosma glabrata,-85.3,10.775,21.21666669845581,192.83333333333334
Sabiaceae,Meliosma glabrata,-84.883333,10.416667,21.833333492279053,262.5833333333333
Sabiaceae,Meliosma glabrata,-84.88,10.41,21.458333333333332,285.3333333333333
Sabiaceae,Meliosma glabrata,-84.866667,10.366667,20.03333346048991,224.16666666666666
Sabiaceae,Meliosma glabrata,-84.833333,10.333333,19.083333492279053,200.25
Sabiaceae,Meliosma glabrata,-84.833333,10.383333,19.97500006357829,258.75
Sabiaceae,Meliosma glabrata,-84.833333,10.416667,20.741666475931805,269.5
Sabiaceae,Meliosma glabrata,-84.83,10.41,20.291666666666668,267.75
Sabiaceae,Meliosma glabrata,-83.77,9.71,16.34166677792867,280.0833333333333
Sabiaceae,Meliosma glabrata,-83.768056,9.716667,16.858333428700764,271.75
Sabiaceae,Meliosma glabrata,-82.186111,8.815278,23.324999968210857,280.1666666666667
Sabiaceae,Meliosma glabrata,-76.36666,-0.55,25.016666730244953,276.9166666666667
Sabiaceae,Meliosma glabrata,-85.316667,10.8,18.574999968210857,192.91666666666666
Sabiaceae,Meliosma glabrata,-85.31,10.78,20.791666666666668,180.5
Sabiaceae,Meliosma glabrata,-84.866667,10.383333,19.799999872843426,240.08333333333334
Sabiaceae,Meliosma glabrata,-84.85,10.4,20.61666663487752,265.3333333333333
Sabiaceae,Meliosma glabrata,-84.733334,10.316667,19.608333269755047,265.5
Sabiaceae,Meliosma glabrata,-84.73,10.31,20.78333330154419,275.25
Sabiaceae,Meliosma glabrata,-84.61,10.21,20.09999990463257,285.6666666666667
Sabiaceae,Meliosma glabrata,-84.607778,10.214722,20.541666825612385,289.8333333333333
Sabiaceae,Meliosma glabrata,-84.716668,10.316667,20.858333587646484,282.5833333333333
Sabiaceae,Meliosma glabrata,-84.716667,10.316667,20.858333587646484,282.5833333333333
Sabiaceae,Meliosma glabrata,-84.71,10.31,21.825000127156574,299.4166666666667
Sabiaceae,Meliosma glabrata,-83.533333,10.583333,26.300000031789143,350.1666666666667
Sabiaceae,Meliosma glabrata,-83.53,10.58,26.300000031789143,350.1666666666667
Sabiaceae,Meliosma glabrata,-76.18333,0,25.28333330154419,293.6666666666667
Sabiaceae,Meliosma glabrata,-76.183,0,25.28333330154419,293.6666666666667
Sabiaceae,Meliosma glabrata,-65.5,-14,26.108333428700764,139.16666666666666
Sabiaceae,Meliosma glabrata,-85.472222,10.929167,20.908333619435627,180.91666666666666
Sabiaceae,Meliosma glabrata,-85.47,10.92,21.233333269755047,180.66666666666666
Sabiaceae,Meliosma glabrata,-85.466667,10.95,21.15000009536743,203.08333333333334
Sabiaceae,Meliosma glabrata,-85.4,11.03,24.61666663487752,230.91666666666666
Sabiaceae,Meliosma glabrata,-85.4,11.033333,24.61666663487752,230.91666666666666
Sabiaceae,Meliosma glabrata,-84.85,10.36,19.258333206176758,209.33333333333334
Sabiaceae,Meliosma glabrata,-84.85,10.366667,19.34166669845581,239.83333333333334
Sabiaceae,Meliosma glabrata,-83.516667,10.516667,26.250000317891438,317.75
Sabiaceae,Meliosma glabrata,-83.51,10.51,26.258333683013916,333.25
Sabiaceae,Meliosma glabrata,-83.46,10.95,NA,NA
Sabiaceae,Meliosma glabrata,-83.091667,9.797222,22.983333428700764,284.4166666666667
Sabiaceae,Meliosma glabrata,-83.09,9.79,22.93333355585734,270.9166666666667
Sabiaceae,Meliosma glabrata,-76.18333,0.01666,25.175000349680584,296.75
Sabiaceae,Meliosma glabrata,-76.183,0.016,25.175000349680584,296.75
Sabiaceae,Meliosma glabrata,-85.493889,10.927222,23.96666685740153,182
Sabiaceae,Meliosma glabrata,-85.49388,10.92722,23.96666685740153,182
Sabiaceae,Meliosma glabrata,-85.49,10.92,22.791666507720947,179.83333333333334
Sabiaceae,Meliosma glabrata,-85.470834,10.929167,20.908333619435627,180.91666666666666
Sabiaceae,Meliosma glabrata,-85.427778,10.990556,22.574999968210857,249.33333333333334
Sabiaceae,Meliosma glabrata,-85.42,10.99,22.90000009536743,256.0833333333333
Sabiaceae,Meliosma glabrata,-85.294444,10.768056,21.21666669845581,192.83333333333334
Sabiaceae,Meliosma glabrata,-85.29,10.76,21.96666669845581,197.91666666666666
Sabiaceae,Meliosma glabrata,-84.8,10.36,19.28333314259847,278.3333333333333
Sabiaceae,Meliosma glabrata,-84.8,10.366667,20.291666666666668,282.3333333333333
Sabiaceae,Meliosma glabrata,-84.6,10.22,21.34166685740153,290.4166666666667
Sabiaceae,Meliosma glabrata,-83.536111,10.502778,26.24166711171468,307.25
Sabiaceae,Meliosma glabrata,-83.53,10.5,26.258333683013916,303.9166666666667
Sabiaceae,Meliosma glabrata,-83.022222,9.675,25.64999993642171,256.5833333333333
Sabiaceae,Meliosma glabrata,-83.02,9.67,25.64999993642171,256.5833333333333
Sabiaceae,Meliosma glabrata,-82.841667,8.888889,20.77500009536743,213.75
