familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sabiaceae,Meliosma isthmensis,-82.87,9.59,26.38333336512248,232.83333333333334
Sabiaceae,Meliosma isthmensis,-83.426667,8.534815,25.15833330154419,260.5833333333333
Sabiaceae,Meliosma isthmensis,-80.641667,8.836389,26.041666666666668,263.0833333333333
Sabiaceae,Meliosma isthmensis,-80.65,8.716667,25.416666666666668,260.9166666666667
Sabiaceae,Meliosma isthmensis,-78.583333,9.366667,26.233333428700764,230.75
Sabiaceae,Meliosma isthmensis,-79.401111,9.225,22.641666412353516,233.91666666666666
Sabiaceae,Meliosma isthmensis,-83.59,9.93,21.78333330154419,254.91666666666666
Sabiaceae,Meliosma isthmensis,-83.788889,10.441667,26.05833339691162,301.75
Sabiaceae,Meliosma isthmensis,-83.78,10.43,26.075000127156574,311.6666666666667
Sabiaceae,Meliosma isthmensis,-79.616667,9.366667,25.44166628519694,214.91666666666666
Sabiaceae,Meliosma isthmensis,-82.96,9.39,21.266666571299236,271
Sabiaceae,Meliosma isthmensis,-79.65,9.4,24.766666889190674,235
Sabiaceae,Meliosma isthmensis,-82.963889,9.391667,22.608333428700764,270.9166666666667
