familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sabiaceae,Meliosma occidentalis,-78.91666,0.91666,25.27500009536743,208.33333333333334
Sabiaceae,Meliosma occidentalis,-79.7333333,0.35,22.84166669845581,148.5
Sabiaceae,Meliosma occidentalis,-82.8738889,9.1144444,7.9916666348775225,223.58333333333334
Sabiaceae,Meliosma occidentalis,-95.058333,18.475,23.825000127156574,167.75
Sabiaceae,Meliosma occidentalis,-94.820833,18.338889000000002,20.416666825612385,199.58333333333334
Sabiaceae,Meliosma occidentalis,-94.805556,18.363889,23.058333079020183,155.33333333333334
Sabiaceae,Meliosma occidentalis,-95.058333,18.475,23.825000127156574,167.75
Sabiaceae,Meliosma occidentalis,-94.833333,18.375,22.09999990463257,170.91666666666666
Sabiaceae,Meliosma occidentalis,-95.058333,18.475,23.825000127156574,167.75
Sabiaceae,Meliosma occidentalis,-94.791667,18.325,23.141666571299236,146.08333333333334
Sabiaceae,Meliosma occidentalis,-94.94,18.32,22.049999713897705,176.75
Sabiaceae,Meliosma occidentalis,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sabiaceae,Meliosma occidentalis,-84.00361,10.43138,26.008333206176758,307.9166666666667
Sabiaceae,Meliosma occidentalis,-84.06,10.47,25.625,303.25
Sabiaceae,Meliosma occidentalis,-79.4167,-1.5,25.158333619435627,173.5
Sabiaceae,Meliosma occidentalis,-75.5,7,16.18333339691162,220.91666666666666
Sabiaceae,Meliosma occidentalis,-78.8833333,0.7166667,25.37499984105428,188.75
Sabiaceae,Meliosma occidentalis,-79.3333,-0.566667,23.96666669845581,221.66666666666666
Sabiaceae,Meliosma occidentalis,-79.7333333,0.35,22.84166669845581,148.5
Sabiaceae,Meliosma occidentalis,-76.4166667,7.2333333,26.625000317891438,276.6666666666667
Sabiaceae,Meliosma occidentalis,-75.1333333,6.0333333,22.44166644414266,229.66666666666666
Sabiaceae,Meliosma occidentalis,-76,5.7333333,19.55833355585734,197.5
Sabiaceae,Meliosma occidentalis,-75.1333333,6.0333333,22.44166644414266,229.66666666666666
Sabiaceae,Meliosma occidentalis,-84.033333,10.4,25.46666653951009,313.3333333333333
Sabiaceae,Meliosma occidentalis,-83.94,10.15,21.875000317891438,311.5
Sabiaceae,Meliosma occidentalis,-83.19,9.455556,20.24166663487752,242.16666666666666
Sabiaceae,Meliosma occidentalis,-84.768611,10.323778,17.516666730244953,286.5
Sabiaceae,Meliosma occidentalis,-95.085556,18.4,24.75000015894572,154.5
Sabiaceae,Meliosma occidentalis,-94.816667,18.395,23.333333333333332,156.83333333333334
Sabiaceae,Meliosma occidentalis,-94.875556,18.235,24.11666663487752,117.5
Sabiaceae,Meliosma occidentalis,-94.747222,18.320833,23.983333428700764,148.83333333333334
Sabiaceae,Meliosma occidentalis,-94.908333,18.375,22.12499984105428,172.08333333333334
Sabiaceae,Meliosma occidentalis,-94.758333,18.308333,23.71666653951009,145.25
Sabiaceae,Meliosma occidentalis,-95.048056,18.465278,23.591666380564373,168.41666666666666
Sabiaceae,Meliosma occidentalis,-95.026111,18.446667,23.858333587646484,162.83333333333334
Sabiaceae,Meliosma occidentalis,-94.73,18.311667,22.291666507720947,179.75
Sabiaceae,Meliosma occidentalis,-94.7375,18.333333,24.458333333333332,154.16666666666666
Sabiaceae,Meliosma occidentalis,-77.194278,8.233556,24.96666669845581,193.16666666666666
Sabiaceae,Meliosma occidentalis,-82.59,9.57,26.333333174387615,252.33333333333334
