familia,especie,x,y,temperatura_promedio_anual,precipitacion_promedio_anual
Sabiaceae,Meliosma vernicosa,-83.86,9.8,19.84166685740153,246.75
Sabiaceae,Meliosma vernicosa,-84.8,10.35,17.733333110809326,253.16666666666666
Sabiaceae,Meliosma vernicosa,-84.8,10.35,17.733333110809326,253.16666666666666
Sabiaceae,Meliosma vernicosa,-84.8,10.35,17.733333110809326,253.16666666666666
Sabiaceae,Meliosma vernicosa,-84.1694,10.1742,16.608333349227905,255.83333333333334
Sabiaceae,Meliosma vernicosa,-83.951389,9.738611,15.066666762034098,217.91666666666666
Sabiaceae,Meliosma vernicosa,-84.004167,10.038889,18.675000190734863,264.9166666666667
Sabiaceae,Meliosma vernicosa,-84.716667,10.25,19.550000031789143,209.58333333333334
Sabiaceae,Meliosma vernicosa,-84.3,10.2,16.850000143051147,342.0833333333333
Sabiaceae,Meliosma vernicosa,-84.302778,10.208333,17.97500006357829,309.9166666666667
Sabiaceae,Meliosma vernicosa,-84.8,10.36,19.28333314259847,278.3333333333333
Sabiaceae,Meliosma vernicosa,-84.05,9.717778,17.333333333333332,203.91666666666666
Sabiaceae,Meliosma vernicosa,-84.05,9.717778,17.333333333333332,203.91666666666666
Sabiaceae,Meliosma vernicosa,-85.475,10.925,21.233333269755047,180.66666666666666
Sabiaceae,Meliosma vernicosa,-84.6,10.220833,21.34166685740153,290.4166666666667
Sabiaceae,Meliosma vernicosa,-83.945833,9.581944,16.524999698003132,216.58333333333334
Sabiaceae,Meliosma vernicosa,-83.94583,9.581944,16.524999698003132,216.58333333333334
Sabiaceae,Meliosma vernicosa,-84.833333,10.3,20.90833346048991,208.66666666666666
Sabiaceae,Meliosma vernicosa,-84.833333,10.283333,21.6833332379659,188.16666666666666
Sabiaceae,Meliosma vernicosa,-84.7825,10.306111,18.15833314259847,262.75
Sabiaceae,Meliosma vernicosa,-84.783333,10.366667,21.016666889190674,286.25
Sabiaceae,Meliosma vernicosa,-84.8,10.366667,20.291666666666668,282.3333333333333
Sabiaceae,Meliosma vernicosa,-83.775556,9.828333,19.350000381469727,213.75
Sabiaceae,Meliosma vernicosa,-84.004167,10.038889,18.675000190734863,264.9166666666667
Sabiaceae,Meliosma vernicosa,-83.81,9.94,15.574999968210856,323.8333333333333
Sabiaceae,Meliosma vernicosa,-83.889722,9.670278,12.558333396911621,185.25
Sabiaceae,Meliosma vernicosa,-84.1,10.21,17.25000015894572,317.25
Sabiaceae,Meliosma vernicosa,-84.01,10.06,17.433333079020183,322.25
Sabiaceae,Meliosma vernicosa,-84.1075,10.184167,16.391666491826374,266.25
Sabiaceae,Meliosma vernicosa,-84.106667,10.182778,15.474999904632568,262.1666666666667
Sabiaceae,Meliosma vernicosa,-85.466667,10.916667,21.233333269755047,180.66666666666666
Sabiaceae,Meliosma vernicosa,-84.1,10.18,16.125,311.5833333333333
Sabiaceae,Meliosma vernicosa,-84.1,10.18,16.125,311.5833333333333
Sabiaceae,Meliosma vernicosa,-84.369444,10.252778,16.36666663487752,217.25
Sabiaceae,Meliosma vernicosa,-84.992304,10.704603,21.883333524068195,282.25
Sabiaceae,Meliosma vernicosa,-84.799167,10.301111,18.12499984105428,218.08333333333334
Sabiaceae,Meliosma vernicosa,-84.805,10.321389,17.65833314259847,214.41666666666666
Sabiaceae,Meliosma vernicosa,-84.8,10.36,19.28333314259847,278.3333333333333
Sabiaceae,Meliosma vernicosa,-84.6,10.22,21.34166685740153,290.4166666666667
Sabiaceae,Meliosma vernicosa,-83.95,9.73,14.108333428700766,215.41666666666666
Sabiaceae,Meliosma vernicosa,-84.8,10.283333,20.63333336512248,212.66666666666666
Sabiaceae,Meliosma vernicosa,-84.800389,10.298167,18.699999968210857,200.83333333333334
Sabiaceae,Meliosma vernicosa,-84.80025,10.298778,18.699999968210857,200.83333333333334
Sabiaceae,Meliosma vernicosa,-84.101389,10.213056,17.266666889190674,278.4166666666667
Sabiaceae,Meliosma vernicosa,-84.1075,10.184167,16.391666491826374,266.25
Sabiaceae,Meliosma vernicosa,-84.106667,10.182778,15.474999904632568,262.1666666666667
Sabiaceae,Meliosma vernicosa,-83.902711,10.087344,18.68333339691162,322.9166666666667
Sabiaceae,Meliosma vernicosa,-85.436556,10.947574,21.13333336512248,263.5833333333333
Sabiaceae,Meliosma vernicosa,-84.169464,10.174392,16.608333349227905,255.83333333333334
Sabiaceae,Meliosma vernicosa,-84.805,10.321389,17.65833314259847,214.41666666666666
Sabiaceae,Meliosma vernicosa,-84.016667,10.061111,17.10000006357829,304.75
Sabiaceae,Meliosma vernicosa,-83.75,9.8333,20.25833336512248,263.4166666666667
Sabiaceae,Meliosma vernicosa,-83.75,9.8333,20.25833336512248,263.4166666666667
Sabiaceae,Meliosma vernicosa,-83.9519,10.0114,17.35000006357829,334.6666666666667
